MaxNPV,SQ,CatchShare
0,0,0
-86.2169723047092,-7.85957709917154,-77.8510076284755
-76.6903606296877,-14.7842822508807,-62.2467559557097
-64.3055039372223,-20.9395028919007,-42.46672218243
-48.6142932854922,-26.452725040059,-18.2958349419628
-32.4079256064846,-31.4239616495136,1.5451451432188
-18.8521431404171,-35.9328862338721,15.677793666689
-8.79458633616983,-40.0438330824046,24.6427567577196
-1.7468757812976,-43.8093777733533,32.586251492018
4.661364715009,-47.2729499794636,38.1765700838522
9.38598095689342,-50.4707724855901,42.0112312062381
12.8261221675555,-53.4333220808653,44.5999375294694
15.2956544697916,-59.9938693083216,46.3221410761591
17.0439945801738,-66.8927957376392,47.4545268785079
18.2669520718075,-70.0453014075711,48.1927639734493
19.1142784156432,-71.4173655001394,48.6712546474243
19.6971916053062,-72.6721224538564,48.9802268472239
20.0961848601947,-73.8216449580151,49.1792735513465
20.3683467411921,-74.3541587179404,49.3073268016571
20.5535693650153,-74.3697292440811,49.3896432401596
20.6794386771134,-74.3656221431941,49.4425367460151
20.764895270757,-76.4551694100425,49.4765174416507
20.8228822853498,-78.5218541512517,49.4983462403314
20.8622172326344,-80.4777894451221,49.5123686864566
20.8888952843084,-82.3314400955414,49.5213766820364
20.9069877257263,-84.0904248326426,49.5271636184436
20.9192573480629,-85.7616203650393,49.5308814235153
20.9275782265394,-87.3512503344296,49.5332700091366
20.933221325615,-88.8649616827725,49.5348046588413
20.9370485096238,-90.307890474025,49.5357906877344
20.9396442102653,-91.6847188406139,49.5364242360378
