"","stock","bvbmsy","finalyear","iteration","fvfmsy","msy","r","K","finalcatch"
"117247","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,47,NA,45224.7515621424,0.45999522993155,393262.78725866,2541
"117248","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,48,NA,33344.2492323581,0.476909446726436,279669.437971816,2541
"117249","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,49,NA,27083.0960378119,0.326488337303219,331810.885025999,2541
"117250","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,50,NA,45224.7515621424,0.45999522993155,393262.78725866,2541
"117251","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,51,NA,78203.968256165,0.825321894263847,379022.869984176,2541
"117252","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,52,NA,31204.9060613568,0.388033073764206,321672.64257808,2541
"117253","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,53,NA,42519.9015929904,0.404788583591976,420168.980218574,2541
"117254","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,54,NA,12561.8405623456,0.117406887090238,427976.275452757,2541
"117255","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,55,NA,54239.7394380689,0.752449936480962,288336.734755994,2541
"117256","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,56,NA,50124.8357195377,0.474817250925038,422266.340339443,2541
"117257","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,57,NA,42519.9015929904,0.404788583591976,420168.980218574,2541
"117258","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,58,NA,29264.1974338395,0.509368364551025,229807.734209281,2541
"117259","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,59,NA,33344.2492323581,0.476909446726436,279669.437971816,2541
"117260","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,60,NA,45451.0677699507,0.867054418449392,209680.346713341,2541
"117261","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,61,NA,79411.0855498196,0.725808036357815,437642.360359156,2541
"117262","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,62,NA,50471.5411761462,0.910426856560319,221748.911787741,2541
"117263","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,63,NA,31204.9060613568,0.388033073764206,321672.64257808,2541
"117264","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,64,NA,54239.7394380689,0.752449936480962,288336.734755994,2541
"117265","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,65,NA,29264.1974338395,0.509368364551025,229807.734209281,2541
"117266","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,66,NA,27300.8398992187,0.452928121363319,241105.275751418,2541
"117267","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,67,NA,57751.7392772015,0.54853586624826,421133.73312996,2541
"117268","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,68,NA,31057.7539217736,0.410944857968562,302305.803998157,2541
"117269","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,69,NA,31204.9060613568,0.388033073764206,321672.64257808,2541
"117270","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,70,NA,54239.7394380689,0.752449936480962,288336.734755994,2541
"117271","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,71,NA,45224.7515621424,0.45999522993155,393262.78725866,2541
"117272","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,72,NA,54239.7394380689,0.752449936480962,288336.734755994,2541
"117273","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,73,NA,24237.9120967889,0.388008263426121,249870.060836001,2541
"117274","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,74,NA,27300.8398992187,0.452928121363319,241105.275751418,2541
"117275","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,75,NA,50471.5411761462,0.910426856560319,221748.911787741,2541
"117276","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,76,NA,31057.7539217736,0.410944857968562,302305.803998157,2541
"117277","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,77,NA,31204.9060613568,0.388033073764206,321672.64257808,2541
"117278","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,78,NA,27083.0960378119,0.326488337303219,331810.885025999,2541
"117279","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,79,NA,70253.8396475119,0.682701394806711,411622.651905684,2541
"117280","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,80,NA,20634.364246083,0.21450632137574,384778.669714611,2541
"117281","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,81,NA,12561.8405623456,0.117406887090238,427976.275452757,2541
"117282","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,82,NA,40043.3545392715,0.426128490695903,375880.565731499,2541
"117283","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,83,NA,33289.7059652328,0.447509123738624,297555.550931527,2541
"117284","AFSC-GHALBSAI-1960-2009-STANTON",1.460237815,2008,84,NA,27300.8398992187,0.452928121363319,241105.275751418,2541
