spcat,LowerQuartile
Miscellaneous coastal fishes,0.270055563
"Flounders, halibuts, soles",0.556295177
"Herrings, sardines, anchovies",0.447923999
"Sharks, rays, chimaeras",0.177693885
Miscellaneous freshwater fishes,0.391593261
"Salmons, trouts, smelts",0.322497082
Shads,0.45951432
"Sturgeons, paddlefishes",0.110040264
"Tunas, bonitos, billfishes",0.455550469
"Cods, hakes, haddocks",0.477832709
