"","IdOrig","BvBmsy","FvFmsy","MSY","Catch"
"45","Lumped-Chub mackerel-FaoRegion61",0.299530189329583,6.83014785390379,344497.398226255,704785
"46","797-FAO-57-24",1.94281373878564,0.348075660669321,343125.045793974,232037
"47","FAJ-JMACKTSST-1973-2010-ONO",0.226,1.92,342429.9062,148000
"48","WGNSSK-SEELNSSA3-1983-2011-NEUBAUER",0.909,0.258,332946.7543,78100
"49","IFOP-PANCHCHVX-1960-2012-CHING",0.295,0.929,320705.0826,117000
"50","5501-FAO-51-35",2.00552202778776,0.376485513985526,319215.618478479,321365
"51","INIDEP-ARGANCHONARG-1989-2007-Parma",1.09,0.169,318020.85,24500
"52","Lumped-Silver pomfrets nei-FaoRegion61",0.55775422555362,1.9580146368023,312523.424854355,341304
"53","1986-FAO-61-33",0.512636787217635,2.37832507006161,309273.102206188,377071
"54","Lumped-Pacific saury-FaoRegion61",1.05133168354894,1.431638499688,306260.55230195,460961
"55","6741-FAO-61-57",1.32939079977262,0.430715860657262,295246.315589658,169055
"56","NMFS-MENATLAN-1940-2005-STANTON",0.539,0.933,276318.163275,185000
"57","IATTC-YFINEPAC-1975-2011-BRANCH",0.713,1.13,262857,256000
"58","7409-FAO-61-57",1.87751094661277,0.370334785223004,260903.226952374,181408
"59","AFSC-NRSOLEEBSAI-1975-2012-HIVELY",2.33,0.231,259310,74400
"60","1906-FAO-61-45",0.976810163467516,2.24581060105821,259165.822243356,568540
"61","AFSC-PCODBSAI-1964-2013-CHING",1.18,0.774,256004.54856046,212000
"62","AFSC-ARFLOUNDGA-1958-2010-STACHURA",2.50011387690351,0.0293316736078165,254271,22300
"63","Lumped-Cape horse mackerel-FaoRegion47",0.591890680795887,2.21035653908798,250001.254171553,327074
"64","FAO-SPNWA-SARDINWA-1990-2010-CHING",0.55,3.04,242973.556099869,540000
"65","7407-FAO-61-35",1.8259558132943,0.378782438568867,240710.486727493,221980
"66","IOTC-YFINEIO-1972-2009-BRANCH",0.993,1.15,235640,285000
"67","INIDEP-ARGANCHOSARG-1992-2007-Parma",2.28,0.0353,217369.035,3270
"68","FAO-SPNWA-CMACKWA-1990-2010-CHING",0.832,1.18,210784.159744862,206000
"69","2049-FAO-61-57",1.51555383515602,0.391910688451952,208964.635590078,124117
"70","AFSC-WPOLLGA-1970-2014-HIVELY",1.12,0.414,208037.848063209,104000
"71","12274-FAO-61-35",1.54623962066196,0.842942104258456,204628.815530756,355615
"72","14608-FAO-41-57",1.71853101821592,0.238944883878797,204437.431431831,83949
"73","Lumped-Cape hakes-FaoRegion47",0.44188285698902,1.73745734427611,202268.278776912,155292
"74","WGNSSK-POLLNS-VI-IIIa-1964-2012-CHING",0.561,0.947,2e+05,97100
"75","Lumped-Skipjack tuna-FaoRegion87",1.91043027332103,0.544885106687648,197511.923406298,205603
"76","Lumped-Kawakawa-FaoRegion71",1.65907353720599,0.557434983881931,196288.893839888,181533
"77","13428-FAO-47-35",0.507910975767157,0.826220564482941,195596.773352232,109442
"78","FAJ-JANCHOPJPN-1978-2009-ONO",0.539,1.59,195372.3021,223000
"79","8840-FAO-77-35",0.915147351932468,1.12060589582356,193415.138858664,264468
"80","FAJ-APOLLPJPN-1981-2009-ONO",0.767,1.15,192233.0661,170000
"81","Lumped-Short mackerel-FaoRegion71",1.39037943494904,0.815250291974731,190514.001430862,215949
"82","Lumped-Narrow-barred Spanish mackerel-FaoRegion71",2.05215064452311,0.338545725191414,185140.823661075,128626
"83","SWFSC-SARDPCOAST-1981-2007-PINSKY",1.75,0.389,183454.928925,150000
"84","2040-FAO-61-45",0.42234169914104,3.38009093092553,183115.398486504,261407
"85","5479-FAO-51-33",0.512636787217635,2.37832507006161,181384.457392883,221147
"86","Lumped-Chub mackerel-FaoRegion87",0.176855635737,3.2879316056021,177356.679891064,103131
"87","HAWG-HERRNS-1960-2011-NEUBAUER",1.35,0.47,177213.515896745,188000
"88","8921-FAO-77-35",1.61436938587921,0.795849500997033,175622.560544959,300852
"89","13427-FAO-47-35",0.780229155315849,1.6890654655821,174870.114045692,307272
"90","AFWG-POLLNEAR-1957-2012-CHING",0.962,0.945,172886.2183,157000
"91","Lumped-Skipjack tuna-FaoRegion77",1.91924678126268,0.655655284258748,170739.904999006,214853
"92","2093-FAO-61-47",0.514775912809231,3.33424749862679,170626.692577937,292862
"93","17046-FAO-77-57",1.78301951037443,0.324424697830291,167750.136266027,97036
"94","FAJ-BMACKPJPN-1995-2009-ONO",1.64,0.65,166511.1984,177000
"95","10630-FAO-71-33",0.821868384664406,0.340667742740017,165495.143115563,46336
"96","5768-FAO-71-33",0.821868384664406,0.340667742740017,163970.056226096,45909
"97","5582-FAO-71-33",0.913414492896937,0.190434096641635,163126.028141289,28375
"98","5469-FAO-51-33",1.52012110476431,0.710914302851477,162041.19149954,175114
"99","15089-FAO-71-33",0.821868384664406,0.340667742740017,159544.8041042,44670
"100","7187-FAO-41-57",1.587013258643,0.231125077966417,156549.141056637,57422
"101","ICCAT-SKJEATL-1950-2010-CHING",1.71,0.27,156500,116000
"102","WGNSSK-NPOUTNS-1983-2011-NEUBAUER",1.4,0.412,153914.6133,126000
"103","Lumped-Atlantic horse mackerel-FaoRegion27",0.562533050625425,2.30397129606551,153540.730934143,198998
"104","5637-FAO-71-35",1.72953158114006,0.383183036852963,150936.547488835,133373
"105","SEFSC-WSHRIMPGM-1984-2011-HIVELY",0.388,0.472,148373.4546,27100
"106","14968-FAO-71-33",0.913414492896937,0.190434096641635,148259.282457646,25789
"107","17092-FAO-67-23",1.56606933218004,0.465804866687948,146314.638559322,106734
"108","AFWG-HADNEAR-1947-2012-CHING",1.89,1.13,146222.999916397,310000
"109","NEFSC-HERRNWATLC-1960-2005-OVERHOLTZ",1.66,0.339,145500,106000
"110","1992-FAO-61-24",1.95985915740481,0.29240203532508,145291.960805632,83262
"111","ICCAT-YFINATL-1950-2011-CHING",0.67,1.15,144600,108000
"112","5607-FAO-71-57",1.59263241204734,0.50965035011996,144133.381727811,116991
"113","12909-FAO-34-35",1.80797400702001,0.374710005000767,142694.256608,128894
"114","Lumped-Alaska pollock(=Walleye poll.)-FaoRegion67",0.276323326701584,0.244903226260625,141475.542502914,9574
"115","WGNSSK-HADNS-IIIa-1963-2012-CHING",0.77,0.993,140000,46400
"116","2092-FAO-61-45",0.915346852246108,2.39293432506664,139680.379150189,305951
"117","292-FAO-41-57",1.49150837888184,0.463357858888553,137438.442193623,94984
"118","2055-FAO-61-33",1.42175345574793,0.694813447431064,136702.467459208,135042
"119","WGNSSK-SEELNSSA2-1983-2011-NEUBAUER",2.46,0.0909,136679.2005,30500
"120","7058-FAO-61-55",0.748937340682643,3.17362593537131,132691.336126624,315387
"121","INIDEP-PATGRENADIERSARG-1983-2006-Parma",2.15,0.595,132131,152000
"122","INIDEP-ARGHAKENARG-1986-2011-CHING",0.373,1.68,129495.4405,81200
"123","14954-FAO-71-35",0.600237537959694,1.44219147713669,128876.611086216,111563
"124","NIWA-HOKIWNZ-1970-2012-CORDUE",1.42,0.547,127000,86600
"125","5493-FAO-51-34",0.92842635086011,0.699861924294486,126911.011523581,82463
"126","5475-FAO-51-57",1.46411495534354,0.454176560153337,124000.195398077,82456
"127","Lumped-Indian mackerels nei-FaoRegion57",1.39037943494904,0.993350862460439,122908.3672699,169753
"128","FAO-SPNWA-ANCHOWA-1990-2010-CHING",1.61,0.457,122472.036975,120000
"129","Lumped-Jack and horse mackerels nei-FaoRegion81",0.153565187044482,2.31599282401638,120492.879405453,42854
"130","ISC-ALBANPAC-1952-2010-CHING",1.18,0.73,119094,78000
"131","2061-FAO-61-33",0.674846130949454,2.07640646721048,118748.561366138,166397
"132","MARAM-DEEPCHAKESA-1917-2013-Rademeyer",0.98,0.932441942294159,116000,106000
"133","Lumped-Frigate and bullet tunas-FaoRegion71",1.25396831173968,0.938844758025181,115852.488271743,136391
"134","2016-FAO-61-42",0.790111226162233,1.25086804531233,115101.827062033,113758
"135","Lumped-Scads nei-FaoRegion57",0.465688606799687,1.53503103813237,114624.613745355,81939
"136","IOTC-BIGEYEIO-1950-2010-CHING",1.2,0.79,114000,109000
"137","Lumped-Indian mackerels nei-FaoRegion71",1.39037943494904,0.993350862460439,113899.107852162,157310
"138","6856-FAO-61-33",0.569444910405939,0.568531212960302,113017.191697826,36589
"139","Lumped-Japanese jack mackerel-FaoRegion61",0.342238427393667,1.78782832004771,112608.439734023,68901
"140","Lumped-Bigeye scad-FaoRegion71",1.43219334639807,0.852242940010619,112407.523078878,137202
"141","WGBFAS-SPRAT22-32-1973-2011-NEUBAUER",1.58,1.17,112302.996077959,342000
"142","WGBFAS-CODBA2532-1966-2012-CHING",0.362,0.857,112187.809010476,50400
"143","12350-FAO-61-57",1.59420141155863,0.418783416832696,111628.514879185,74526
"144","Lumped-Longtail tuna-FaoRegion51",1.95822653570386,0.543332830500585,111599.140641282,118738
"145","WGNSSK-WHITNS-VIId-1989-2012-CHING",1.74,0.166,110690.9064,32000
"146","WGHMM-HAKENRTN-1961-2011-CHING",0.354,1.63,108888.917733659,72800
"147","AFSC-YSOLEBSAI-1949-2010-STACHURA",1.81,0.615,108369.65718122,108000
"148","17597-FAO-71-45",0.42234169914104,3.38009093092553,107876.879222521,154000
"149","Lumped-Yellowstripe scad-FaoRegion71",1.18685295021364,1.02960551584348,107868.282792435,131814
"150","Lumped-Kawakawa-FaoRegion57",1.95546962512456,0.320563040082196,107223.198398342,67213
"151","1587-FAO-21-35",0.42599419294999,1.87916439950733,106796.188186144,113989
"152","IFOP-PATGRENADIERCH-1977-2012-CHING",0.0655,2.9,106794.444444444,56900
"153","Lumped-Indian mackerel-FaoRegion71",1.4494889713253,0.993350862460439,106044.297150641,152688
"154","WGMHSA-SARDPVIIIc-IXa-1978-2011-NEUBAUER",0.476,0.954,105951.350625,89600
"155","Lumped-Jack and horse mackerels nei-FaoRegion37",0.153565187044482,2.31599282401638,100043.336494269,35581
"156","INIDEP-SBWHITARGS-1985-2007-Parma",0.103,1.91,99752.3809523809,39500
"157","Lumped-Argentine hake-FaoRegion41",0.367133375609548,1.64358771916211,99573.1124395965,60084
