"","X","IdOrig","CommName","Year","Fmort","BvBmsy","Biomass","Catch","Id","Dbase","BiomassMetric","BiomassUnit","FmortMetric","FmortUnit","ExploitStatus","VonBertK","VonBertKSource","VonBertKUnit","Temp","TempSource","TempUnit","MaxLength","MaxLengthSource","MaxLengthUnit","AgeMat","AgeMatSource","AgeMatUnit","SpeciesCatName","RegionFAO","Bmsy","SSBmsy","Fmsy","Umsy","SciName","SpeciesCat","CatchUnit","Country","ReferenceBiomass","ReferenceBiomassUnits","Keep","Drop","M1Marker","M1Prediction","M2Marker","M2Prediction","M3Marker","M3Prediction","M4Marker","M4Prediction","M6Marker","M6Prediction","M7Marker","M7Prediction","LogBvBmsy","YearsBack","ScaledCatch","ScaledCatch1Back","ScaledCatch2Back","ScaledCatch3Back","ScaledCatch4Back","MaxCatch","TimeToMaxCatch","InitialScaledCatchSlope","MeanScaledCatch","CatchToRollingMax","BestModel","BestBio","IdLevel","Price","BvBmsyOpenAccess","BvBmsySD","MSY","r","k","MSYLogSd","rLogSd","KLogSd","PercentGain","MarginalCost","Policy","Profits","FvFmsy"
"5350",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2021,0.311,1.08868641634358,532000,95651.1589429367,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",324079615.996309,0.89501397017598
"5351",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2022,0.311,1.0939945600067,532000,99727.8658399184,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",337355138.158668,0.928632213375742
"5352",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2023,0.311,1.08658998140065,532000,94050.7271332598,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",318865056.276019,0.881736548870782
"5353",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2024,0.311,1.0968849232116,532000,101962.425926723,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",344627780.524535,0.946937847006797
"5354",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2025,0.311,1.08250609639362,532000,90948.7551257835,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",308753076.748713,0.85587194382629
"5355",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2026,0.311,1.10246002505932,532000,106301.918569732,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",358743960.726897,0.982246825375683
"5356",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2027,0.311,1.07452532945241,532000,84946.7136591777,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",289165896.785799,0.8053270865319
"5357",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2028,0.311,1.11314372779559,532000,109271.992336618,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",369176708.363807,1
"5358",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2029,0.311,1.07546950642545,532000,85652.6639269858,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",291471309.970447,0.81130687402787
"5359",1440,"AFSC-ATKABSAI-1976-2011-STACHURA","Atka mackerel Bering Sea and Aleutian Islands",2030,0.311,1.11189434985311,532000,109149.346883432,0,"RAM","B","MT",FALSE,"1/yr","",0.67,"RAM","VB-k-cm/T",NA,"FishBase",NA,56.5,"FishBase","",3.6,"RAM","A50-yr","Miscellaneous coastal fishes",NA,298973.184,91400,NA,0.384,"Pleurogrammus monopterygius",33,"MT","USA",298973.184,"Bmsy",1,FALSE,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,FALSE,NA,0.576613364303994,NA,NA,NA,NA,NA,NA,104000,21,-0.00708791208791211,0.436713286713287,NA,"RAM",0.576613364303994,"Species",4254.1,0.270055563,NA,98165.2140761863,0.598263564097322,656334.231046151,0.420826355231142,0.452246538879473,0.350704536234939,NA,NA,"CloseDown",368654962.341407,1
