"","IdOrig","Country","CommName","Year","Catch","BvBmsy","FvFmsy","Price","MSY","Biomass","Profits","Rank","FutureYear","CatchShare_Catch","CatchShare_Biomass","Catch_ShareProfits","BAUPess_Catch","BAUPess_Biomass","BAUPess_Profits","Abs_Change_Catch","Abs_Change_Biomass","Perc_Change_Catch","Perc_Change_Biomass","Abs_Change_Catch_From_Today","Abs_Change_Biomass_From_Today","Perc_Change_Catch_From_Today","Perc_Change_Biomass_From_Today","FxB_2012"
"1","22-FAO-37-32","Albania","European hake",2012,318,0.808512171279161,1.17665837927035,1149.5916208,334.26443108348,6741.79746901471,203027.032286291,1,2050,241.462700873482,8293.0191374882,275246.646114041,169.881722728451,1929.10977884066,-74351.9849940388,71.580978145031,6363.90935864754,42.135773640258,329.888398703368,-76.5372991265175,1551.2216684735,-24.0683330586533,23.0090220835454,0.951342621077687
"2","64-FAO-37-33","Albania","Surmullets(=Red mullets) nei",2012,292,0.666955840661493,1.84164344262983,805.98590178,237.727936322773,1500.34783670659,52996.585507733,2,2050,217.962050368311,3039.75835527607,156560.360973475,166.410689153361,962.531240728144,-9093.87911512807,51.5513612149503,2077.22711454792,30.97839536464,215.808799408581,-74.0379496316888,1539.41051856948,-25.3554622026331,102.60357504488,1.2282948504779
"3","8-FAO-37-45","Albania","Caramote prawn",2012,290,1.14393119273161,4.57948857556474,3996.1061624,55.3580923033943,1536.84369150322,625145.566538561,3,2050,52.4714344221309,1729.83305988353,208638.712665691,21.5528318368962,350.104763239982,-32884.3362229292,30.9186025852347,1379.72829664355,143.454942808514,394.090124303109,-237.528565577869,192.989368380315,-81.9064019234032,12.5575144334651,5.23861982834655
"4","12-FAO-37-57","Albania","Common octopus",2012,165,1.80478576353522,0.464385287131404,3326.2455426,196.870133558114,4985.34379260506,444883.958336332,4,2050,182.706799775828,3767.62319651849,583842.952118942,133.393425751692,4983.87347631999,392728.707085378,49.3133740241355,-1216.2502798015,36.9683691278241,-24.4037150136395,17.7067997758276,-1217.72059608656,10.7313938035319,-24.4260104567483,0.838115955009973
"5","7-FAO-37-33","Albania","Bogue",2012,129,0.697000338251335,1.53543938723169,2847.4667678,120.538017543171,2199.57803038749,109442.320038572,5,2050,107.384257280266,4233.32399405237,293133.869140917,89.5570642747727,1385.5169599185,-21589.5508788582,17.8271930054933,2847.80703413388,19.9059595687473,205.541116891228,-21.615742719734,2033.74596366488,-16.7563897052201,92.4607327209301,1.07020177226491
"6","10-FAO-37-57","Albania","Common cuttlefish",2012,125,1.7989556469521,0.448247085540149,2444.7735688,155.014413868751,3898.6874334679,248143.07344641,6,2050,143.776297970889,2959.09186601826,337804.78180897,105.708635595516,3897.79934743764,228467.343461083,38.067662375373,-938.707481419372,36.0118756248404,-24.0830119189298,18.776297970889,-939.595567449636,15.0210383767112,-24.10030512792,0.806376625762275
"7","45-FAO-37-33","Albania","Mullets nei",2012,85,0.534763633124097,4.45180035686819,1833.5360616,35.7043705088532,468.548389559601,-40413.6839426628,7,2050,32.2853650920736,1165.10877270123,52470.4488443305,25.5421869740813,352.550357534997,-4063.34670826877,6.74317811799229,812.55841516623,26.400159566739,230.480099594161,-52.7146349079264,696.560383141626,-62.0172175387369,148.663488908016,2.38066093278198
"8","13-FAO-37-31","Albania","Common sole",2012,79,0.620127171046536,5.03590477538645,5437.5134778,25.296988388694,381.814737769757,97285.8230714091,8,2050,23.6412844207577,770.12290454785,129900.34786465,9.44633011622713,146.949244322117,-18102.8990139335,14.1949543045305,623.173660225733,150.269513449949,424.07408292602,-55.3587155792423,388.308166778093,-70.0743235180283,101.700675318681,3.12290138202014
"9","15-FAO-37-57","Albania","Common squids nei",2012,76,1.59263241204734,0.50965035011996,1690.4294074,93.6323051458114,2067.01925290824,100118.868600346,9,2050,87.1318654747249,1764.65183961269,131415.223465285,76.218302404192,2069.93936497594,108707.211227211,10.9135630705329,-305.287525363252,14.3188220234261,-14.7486216518618,11.1318654747249,-302.367413295556,14.6471914141117,-14.6281856286599,0.811685666412324
"10","37-FAO-37-37","Albania","Jack and horse mackerels nei",2012,59,0.153565187044482,2.31599282401638,353.1318655,165.890695965878,531.278865838909,-16230.840867627,10,2050,242.377701885876,6250.58222236401,85220.2199787712,141.206825721841,1249.81442790357,-10039.2368949123,101.170876164034,5000.76779446044,71.647298667649,400.120824565026,183.377701885876,5719.3033565251,310.809664213349,1076.51625620268,0.355655871213753
"11","119-FAO-37-35","Algeria","Sardinellas nei",2012,17300,0.633436746890611,1.39837657642092,293.25233182,19530.7404425917,297963.479802541,1262558.47758969,1,2050,17855.2364810989,631177.094296238,4653950.50093953,15860.3215797404,180282.664368143,-590967.097047576,1994.91490135841,450894.429928095,12.5780230326897,250.104152558647,555.236481098858,333213.614493697,3.2094594283171,111.830354080479,0.885783109496096
"12","98-FAO-37-37","Algeria","Jack and horse mackerels nei",2012,11992,0.153565187044482,2.31599282401638,353.1318655,33717.9868817424,107984.680663393,-3298987.18109463,2,2050,32193.4395378322,830223.817150777,11319242.5620866,18755.5759908384,166004.648551248,-1333445.95425907,13437.8635469938,664219.168599528,71.6472986676489,400.120824565026,20201.4395378322,722239.136487384,168.45763457165,668.834812540426,0.355655871213753
