order,msy_ratio,msy_ratio_sd,msy_ratio_se,predictive_error
Pleuronectiformes,0.395,0.119,0.029,0.122
Gadiformes,0.439,0.122,0.028,0.125
Perciformes,0.353,0.114,0.036,0.12
Clupeiformes,0.261,0.097,0.04,0.105
Scorpaeniformes,0.463,0.122,0.032,0.126
