Year,Species,Average US Price (USD/t),Average Price (2005 USD/t)
1950,"TUNA, BLUEFIN",195.487126,1388.740543
1950,"TUNA, BLUEFIN PACIFIC",339.5793087,2412.371409
1950,"TUNA, LITTLE TUNNY",80.96125186,575.1487332
1950,"TUNA, SKIPJACK",315.2582516,2239.59462
1950,"TUNA, YELLOWFIN",338.1970195,2402.551626
1951,"TUNA, ALBACORE",345.3788479,2249.107058
1951,"TUNA, BLUEFIN",163.8329577,1066.88022
1951,"TUNA, BLUEFIN PACIFIC",344.7642694,2245.104922
1951,"TUNA, LITTLE TUNNY",48,312.576
1951,"TUNA, SKIPJACK",314.9061241,2050.66868
1951,"TUNA, YELLOWFIN",340.6545713,2218.342568
1952,"TUNA, ALBACORE",383.6697036,2443.976012
1952,"TUNA, BLUEFIN",229.1929825,1459.959298
1952,"TUNA, BLUEFIN PACIFIC",353.1907514,2249.825087
1952,"TUNA, LITTLE TUNNY",88.1960437,561.8087983
1952,"TUNA, SKIPJACK",283.4035386,1805.280541
1952,"TUNA, YELLOWFIN",348.5693604,2220.386825
1953,"TUNA, ALBACORE",439.6182241,2776.189085
1953,"TUNA, BLUEFIN",139.0282345,877.9633008
1953,"TUNA, BLUEFIN PACIFIC",349.7439599,2208.633107
1953,"TUNA, LITTLE TUNNY",101.2903226,639.6483871
1953,"TUNA, SKIPJACK",303.742529,1918.134071
1953,"TUNA, YELLOWFIN",352.3813878,2225.288464
1954,"TUNA, ALBACORE",440.6507436,2758.473655
1954,"TUNA, BLUEFIN",168.9237183,1057.462477
1954,"TUNA, BLUEFIN PACIFIC",372.6061153,2332.514282
1954,"TUNA, LITTLE TUNNY",94.33436533,590.5331269
1954,"TUNA, SKIPJACK",334.7256801,2095.382758
1954,"TUNA, YELLOWFIN",379.8630719,2377.94283
1954,TUNAS,255,1596.3
1955,"TUNA, ALBACORE",354.5266249,2226.427204
1955,"TUNA, BLUEFIN",134.5508245,844.9791779
1955,"TUNA, BLUEFIN PACIFIC",314.3893668,1974.365223
1955,"TUNA, LITTLE TUNNY",86.12033195,540.8356846
1955,"TUNA, SKIPJACK",296.3110588,1860.833449
1955,"TUNA, YELLOWFIN",337.6286887,2120.308165
1956,"TUNA, ALBACORE",377.1225943,2330.617633
1956,"TUNA, BLUEFIN",412.0741097,2546.617998
1956,"TUNA, BLUEFIN PACIFIC",288.0318137,1780.036608
1956,"TUNA, LITTLE TUNNY",93.0075188,574.7864662
1956,"TUNA, SKIPJACK",252.8587492,1562.66707
1956,"TUNA, YELLOWFIN",297.4876036,1838.47339
1957,"TUNA, ALBACORE",317.6776494,1890.182014
1957,"TUNA, BLUEFIN",237.254297,1411.663067
1957,"TUNA, BLUEFIN PACIFIC",262.2784494,1560.556774
1957,"TUNA, LITTLE TUNNY",95.10204082,565.8571429
1957,"TUNA, SKIPJACK",242.5201413,1442.994841
1957,"TUNA, YELLOWFIN",292.1399465,1738.232682
1958,"TUNA, ALBACORE",452.2666629,2600.533311
