Year,Species,Average US Price (USD/t),Average Price (2005 USD/t)
1995,"FLOUNDER, WINDOWPANE",1333.319787,1638.832871
1995,"FLOUNDER, WINTER",3148.852654,3870.371751
1995,"FLOUNDER, WITCH",3794.279172,4663.689456
1995,"FLOUNDER, YELLOWTAIL",3133.372582,3851.344619
1995,"FLOUNDER,ATLANTIC,PLAICE",2847.742811,3500.266459
1995,"FLOUNDER,PACIFIC,SANDDAB",697.62164,857.4726685
1995,"FLOUNDERS, RIGHTEYE",109.4829956,134.5696163
1996,"FLOUNDER, ARROWTOOTH",122.7985216,148.3100566
1996,"FLOUNDER, PACIFIC, SANDDAB",766.2001771,925.3791511
1996,"FLOUNDER, SOUTHERN",4185.831601,5055.442963
1996,"FLOUNDER, STARRY",289.0719431,349.126974
1996,"FLOUNDER, SUMMER",3588.003275,4333.41511
1996,"FLOUNDER, WINDOWPANE",939.0877779,1134.184351
1996,"FLOUNDER, WINTER",3072.761007,3711.130664
1996,"FLOUNDER, WITCH",3708.722946,4479.214432
1996,"FLOUNDER, YELLOWTAIL",3187.614644,3849.845277
1996,"FLOUNDER,ATLANTIC,PLAICE",2812.955707,3397.350512
1996,"FLOUNDER,PACIFIC,SANDDAB",688.7513007,831.840181
1996,"FLOUNDERS, RIGHTEYE",104.4517346,126.1517034
1997,"FLOUNDER, ARROWTOOTH",129.4507922,153.3873906
1997,"FLOUNDER, PACIFIC, SANDDAB",715.655773,847.9868659
1997,"FLOUNDER, SOUTHERN",4310.42871,5107.465168
1997,"FLOUNDER, STARRY",640.6722251,759.1381957
1997,"FLOUNDER, SUMMER",4121.352544,4883.427144
1997,"FLOUNDER, WINDOWPANE",1110.576851,1315.93235
1997,"FLOUNDER, WINTER",2942.699536,3486.830751
1997,"FLOUNDER, WITCH",3702.984021,4387.698574
1997,"FLOUNDER, YELLOWTAIL",3308.58118,3920.367153
1997,"FLOUNDER,ATLANTIC,PLAICE",2900.151708,3436.415454
1997,"FLOUNDER,PACIFIC,SANDDAB",657.2219593,778.7481224
1997,"FLOUNDERS, RIGHTEYE",93.57529177,110.8781923
1998,"FLOUNDER, ARROWTOOTH",160.6817065,187.7554987
1998,"FLOUNDER, PACIFIC, SANDDAB",704.3449239,823.0223297
1998,"FLOUNDER, SOUTHERN",3966.88053,4635.27335
1998,"FLOUNDER, STARRY",646.6421093,755.5969771
1998,"FLOUNDER, SUMMER",3892.948579,4548.884361
1998,"FLOUNDER, WINDOWPANE",840.452184,982.0627521
1998,"FLOUNDER, WINTER",2962.228436,3461.344102
1998,"FLOUNDER, WITCH",3526.850479,4121.101181
1998,"FLOUNDER, YELLOWTAIL",3015.646449,3523.762693
1998,"FLOUNDER,ATLANTIC,PLAICE",2812.144575,3285.972115
1998,"FLOUNDER,PACIFIC,SANDDAB",501.5494297,586.0571519
1998,"FLOUNDERS, RIGHTEYE",50.27928999,58.75101385
1999,"FLOUNDER, ARROWTOOTH",121.1912291,139.5647106
1999,"FLOUNDER, PACIFIC, SANDDAB",719.8361716,828.9686289
1999,"FLOUNDER, SOUTHERN",3856.788206,4441.505661
1999,"FLOUNDER, STARRY",670.9084406,772.6230941
1999,"FLOUNDER, SUMMER",3985.14879,4589.326653
1999,"FLOUNDER, WINDOWPANE",771.8351384,888.8510215
1999,"FLOUNDER, WINTER",2791.424382,3214.624846
1999,"FLOUNDER, WITCH",3112.588174,3584.479432
1999,"FLOUNDER, YELLOWTAIL",2567.165086,2956.366192
1999,"FLOUNDER,ATLANTIC,PLAICE",2723.962951,3136.935767
1999,"FLOUNDER,PACIFIC,SANDDAB",612.9897823,705.9235413
1999,"FLOUNDERS, RIGHTEYE",828.0555556,953.5948673
2000,"FLOUNDER, ARROWTOOTH",107.1529438,120.7846671
2000,"FLOUNDER, PACIFIC, SANDDAB",825.7536077,930.8038681
2000,"FLOUNDER, SOUTHERN",3831.977107,4319.471427
2000,"FLOUNDER, STARRY",623.9705882,703.3505294
2000,"FLOUNDER, SUMMER",3939.917972,4441.144252
2000,"FLOUNDER, WINDOWPANE",708.3394563,798.4525889
2000,"FLOUNDER, WINTER",2180.635162,2458.049986
2000,"FLOUNDER, WITCH",2870.334973,3235.491642
2000,"FLOUNDER, YELLOWTAIL",2215.580953,2497.441491
2000,"FLOUNDER,ATLANTIC,PLAICE",2263.974414,2551.991444
2000,"FLOUNDER,PACIFIC,SANDDAB",554.4452055,624.9803054
2000,"FLOUNDERS, RIGHTEYE",939.5,1059.020785
2001,"FLOUNDER, ARROWTOOTH",77.35557012,85.26354239
2001,"FLOUNDER, PACIFIC, SANDDAB",859.5455116,947.4158752
2001,"FLOUNDER, SOUTHERN",3529.354976,3890.156936
2001,"FLOUNDER, STARRY",849.7212544,936.5872953
2001,"FLOUNDER, SUMMER",3565.787969,3930.314432
2001,"FLOUNDER, WINDOWPANE",785.5586907,865.8654655
2001,"FLOUNDER, WINTER",1989.243334,2192.601426
2001,"FLOUNDER, WITCH",2587.82303,2852.373246
2001,"FLOUNDER, YELLOWTAIL",2090.873609,2304.621249
2001,"FLOUNDER,ATLANTIC,PLAICE",2150.639365,2370.496791
2001,"FLOUNDER,PACIFIC,SANDDAB",703.1796802,775.064942
2001,"FLOUNDERS, RIGHTEYE",883.7288136,974.0714087
2002,"FLOUNDER, ARROWTOOTH",64.41896504,69.86983798
2002,"FLOUNDER, PACIFIC, SANDDAB",836.8565261,907.6679492
2002,"FLOUNDER, SOUTHERN",3284.609419,3562.539817
2002,"FLOUNDER, STARRY",950.5071315,1030.93521
2002,"FLOUNDER, SUMMER",3265.123886,3541.405497
2002,"FLOUNDER, WINDOWPANE",832.0512821,902.4561048
2002,"FLOUNDER, WINTER",2370.271921,2570.834769
2002,"FLOUNDER, WITCH",2686.230161,2913.52812
2002,"FLOUNDER, YELLOWTAIL",2477.05187,2686.650006
2002,"FLOUNDER,ATLANTIC,PLAICE",2522.211705,2735.631084
2002,"FLOUNDER,PACIFIC,SANDDAB",712.0827829,772.3363553
2002,"FLOUNDERS, RIGHTEYE",879.6666667,954.1005112
2003,"FLOUNDER, ARROWTOOTH",81.28195439,86.34095765
2003,"FLOUNDER, PACIFIC, SANDDAB",829.2194498,880.8302155
2003,"FLOUNDER, SOUTHERN",3633.816275,3859.985645
2003,"FLOUNDER, STARRY",978.2645804,1039.151941
2003,"FLOUNDER, SUMMER",3567.842196,3789.905327
2003,"FLOUNDER, WINDOWPANE",938.2417582,996.6380918
2003,"FLOUNDER, WINTER",2127.192863,2259.589725
2003,"FLOUNDER, WITCH",2969.242885,3154.049089
2003,"FLOUNDER, YELLOWTAIL",2541.706398,2699.902655
2003,"FLOUNDER,ATLANTIC,PLAICE",2592.402603,2753.754201
2003,"FLOUNDER,PACIFIC,SANDDAB",740.455814,786.5419152
2003,"FLOUNDERS, RIGHTEYE",970.7692308,1031.19008
2004,"FLOUNDER, ARROWTOOTH",163.7894786,169.2260821
2004,"FLOUNDER, PACIFIC, SANDDAB",860.8125,889.3851301
2004,"FLOUNDER, SOUTHERN",3451.950626,3566.529943
2004,"FLOUNDER, STARRY",1078.923465,1114.735772
2004,"FLOUNDER, SUMMER",3548.279565,3666.056292
2004,"FLOUNDER, WINDOWPANE",999.3440736,1032.514931
2004,"FLOUNDER, WINTER",2399.436711,2479.080324
2004,"FLOUNDER, WITCH",3034.088682,3134.798062
2004,"FLOUNDER, YELLOWTAIL",1616.974832,1670.646478
2004,"FLOUNDER,ATLANTIC,PLAICE",2601.576822,2687.929996
2004,"FLOUNDER,PACIFIC,SANDDAB",798.4154663,824.9169747
2004,"FLOUNDERS, RIGHTEYE",1058.571429,1093.708197
2005,"FLOUNDER, ARROWTOOTH",172.3372713,172.3372713
2005,"FLOUNDER, PACIFIC, SANDDAB",1014.602595,1014.602595
2005,"FLOUNDER, SOUTHERN",4068.422647,4068.422647
2005,"FLOUNDER, STARRY",989.333782,989.333782
2005,"FLOUNDER, SUMMER",3886.678324,3886.678324
2005,"FLOUNDER, WINDOWPANE",1098.594104,1098.594104
2005,"FLOUNDER, WINTER",2915.381658,2915.381658
2005,"FLOUNDER, WITCH",3324.743064,3324.743064
2005,"FLOUNDER, YELLOWTAIL",2582.318865,2582.318865
2005,"FLOUNDER,ATLANTIC,PLAICE",2957.605946,2957.605946
2005,"FLOUNDER,PACIFIC,SANDDAB",804.1622575,804.1622575
2005,"FLOUNDERS, RIGHTEYE",941.1764706,941.1764706
2006,"FLOUNDER, ARROWTOOTH",163.1895207,158.0895801
2006,"FLOUNDER, FOURSPOT",1348.214286,1306.080374
2006,"FLOUNDER, PACIFIC, SANDDAB",1060.36523,1027.227075
2006,"FLOUNDER, SOUTHERN",4612.836029,4468.677324
2006,"FLOUNDER, STARRY",1014.186047,982.4910663
2006,"FLOUNDER, SUMMER",4700.704054,4553.799329
2006,"FLOUNDER, WINDOWPANE",1087.121951,1053.147604
2006,"FLOUNDER, WINTER",4414.640216,4276.675456
2006,"FLOUNDER, WITCH",4340.167991,4204.53061
2006,"FLOUNDER, YELLOWTAIL",3663.150579,3548.671105
2006,"FLOUNDER,ATLANTIC,PLAICE",3761.863702,3644.299281
2006,"FLOUNDER,PACIFIC,SANDDAB",981.3322822,950.6640361
2006,"FLOUNDERS, RIGHTEYE",900,871.8735213
2007,"FLOUNDER, ARROWTOOTH",145.4897283,136.9719653
2007,"FLOUNDER, FOURSPOT",1058.90411,996.9100817
2007,"FLOUNDER, PACIFIC, SANDDAB",1016.908316,957.3729507
2007,"FLOUNDER, SOUTHERN",5180.513919,4877.218349
2007,"FLOUNDER, STARRY",930.9477756,876.4450101
2007,"FLOUNDER, SUMMER",5364.65302,5050.576942
2007,"FLOUNDER, WINDOWPANE",1007.58016,948.5909166
2007,"FLOUNDER, WINTER",4620.004875,4349.524565
2007,"FLOUNDER, WITCH",5323.561874,5011.891497
2007,"FLOUNDER, YELLOWTAIL",4114.331984,3873.456526
2007,"FLOUNDER,ATLANTIC,PLAICE",3585.005046,3375.119278
2007,"FLOUNDER,PACIFIC,SANDDAB",978.636788,921.3420474
2007,"FLOUNDERS, RIGHTEYE",1515,1426.303628
2008,"FLOUNDER, ARROWTOOTH",173.3121369,159.6354053
2008,"FLOUNDER, FOURSPOT",750.4395604,691.2194701
2008,"FLOUNDER, PACIFIC, SANDDAB",1030.722983,949.3846431
2008,"FLOUNDER, SOUTHERN",4740.147265,4366.083897
2008,"FLOUNDER, STARRY",1407.150838,1296.107119
2008,"FLOUNDER, SUMMER",5352.935475,4930.514618
2008,"FLOUNDER, WINDOWPANE",1175.557447,1082.789659
2008,"FLOUNDER, WINTER",4197.646881,3866.394318
2008,"FLOUNDER, WITCH",5191.741697,4782.041264
2008,"FLOUNDER, YELLOWTAIL",3305.078695,3044.262143
2008,"FLOUNDER,ATLANTIC,PLAICE",3761.900407,3465.034286
2008,"FLOUNDER,PACIFIC,SANDDAB",934.0988836,860.3855252
2008,"FLOUNDERS, RIGHTEYE",1160,1068.45991
2009,"FLOUNDER, ARROWTOOTH",240.5241633,219.6133075
2009,"FLOUNDER, FOURSPOT",658.8709677,601.5895887
2009,"FLOUNDER, PACIFIC, SANDDAB",1009.943228,922.1400863
2009,"FLOUNDER, SOUTHERN",4193.610433,3829.023434
2009,"FLOUNDER, STARRY",1018.055925,929.5474766
2009,"FLOUNDER, SUMMER",4566.153453,4169.178052
2009,"FLOUNDER, WINDOWPANE",1171.313507,1069.481045
2009,"FLOUNDER, WINTER",3663.776309,3345.252395
2009,"FLOUNDER, WITCH",4253.018967,3883.267068
2009,"FLOUNDER, YELLOWTAIL",2964.704124,2706.95663
2009,"FLOUNDER,ATLANTIC,PLAICE",2787.042163,2544.740367
2009,"FLOUNDER,PACIFIC,SANDDAB",975.2515723,890.4644779
2009,"FLOUNDERS, RIGHTEYE",1323.333333,1208.284466
2010,"FLOUNDER, ARROWTOOTH",199.4250907,179.6836746
2010,"FLOUNDER, FOURSPOT",849.2307692,765.1640258
2010,"FLOUNDER, PACIFIC, SANDDAB",1646.578014,1483.580562
2010,"FLOUNDER, SOUTHERN",4720.506723,4253.216039
2010,"FLOUNDER, STARRY",990.4054054,892.3635538
2010,"FLOUNDER, SUMMER",4783.715903,4310.168038
2010,"FLOUNDER, WINDOWPANE",1283.347458,1156.306793
2010,"FLOUNDER, WINTER",4385.622913,3951.482924
2010,"FLOUNDER, WITCH",4971.862242,4479.689463
2010,"FLOUNDER, YELLOWTAIL",3182.321117,2867.297942
2010,"FLOUNDER,ATLANTIC,PLAICE",3184.392298,2869.164094
2010,"FLOUNDER,PACIFIC,SANDDAB",936.3233666,843.6351844
2010,"FLOUNDERS, RIGHTEYE",1090,982.0991165
2011,"FLOUNDER, ARROWTOOTH",158.9176352,140.2032346
2011,"FLOUNDER, FOURSPOT",579.3103448,511.0898114
2011,"FLOUNDER, PACIFIC, SANDDAB",1613.86236,1423.811289
2011,"FLOUNDER, SOUTHERN",4729.323793,4172.39089
2011,"FLOUNDER, STARRY",1380.866667,1218.25355
2011,"FLOUNDER, SUMMER",4401.083918,3882.80508
2011,"FLOUNDER, WINDOWPANE",1443.544304,1273.550166
2011,"FLOUNDER, WINTER",3767.773436,3324.074275
2011,"FLOUNDER, WITCH",4544.719062,4009.525515
2011,"FLOUNDER, YELLOWTAIL",2608.4947,2301.314099
2011,"FLOUNDER,ATLANTIC,PLAICE",3082.238806,2719.269324
2011,"FLOUNDER,PACIFIC,SANDDAB",1203.125721,1061.443669
2011,"FLOUNDERS, RIGHTEYE",3020,2664.359862
2012,"FLOUNDER, ARROWTOOTH",246.3689902,212.3371215
2012,"FLOUNDER, FOURSPOT",949.5454545,818.3811948
2012,"FLOUNDER, PACIFIC, SANDDAB",1900.707692,1638.15584
2012,"FLOUNDER, SOUTHERN",5850.722145,5042.540045
2012,"FLOUNDER, STARRY",1419.008264,1222.995354
2012,"FLOUNDER, SUMMER",5359.567244,4619.230205
2012,"FLOUNDER, WINDOWPANE",1216.061644,1048.082508
2012,"FLOUNDER, WINTER",4316.526122,3720.268248
2012,"FLOUNDER, WITCH",4094.960015,3529.307896
2012,"FLOUNDER, YELLOWTAIL",2821.360455,2431.635399
2012,"FLOUNDER,ATLANTIC,PLAICE",3373.669719,2907.652121
2012,"FLOUNDER,PACIFIC,SANDDAB",1205.268065,1038.779886
2012,"FLOUNDERS, RIGHTEYE",1762.5,1519.039293
1950,"LOBSTER, AMERICAN",793.1634117,5634.632877
1950,"LOBSTER, CALIFORNIA SPINY",699.2583845,4967.531564
1950,"LOBSTER, CARIBBEAN SPINY",396.8056537,2818.907364
1951,"LOBSTER, AMERICAN",796.8732847,5189.23883
1951,"LOBSTER, CALIFORNIA SPINY",807.131016,5256.037176
1951,"LOBSTER, CARIBBEAN SPINY",418.8654804,2727.652009
1952,"LOBSTER, AMERICAN",929.6939485,5922.150452
1952,"LOBSTER, CALIFORNIA SPINY",921.7873736,5871.78557
1952,"LOBSTER, CARIBBEAN SPINY",551.13481,3510.728739
1953,"LOBSTER, AMERICAN",852.3869865,5382.82382
1953,"LOBSTER, CALIFORNIA SPINY",1037.201646,6549.928395
1953,"LOBSTER, CARIBBEAN SPINY",440.936913,2784.516606
1954,"LOBSTER, AMERICAN",841.2025479,5265.92795
1954,"LOBSTER, CALIFORNIA SPINY",1001.557838,6269.752067
1954,"LOBSTER, CARIBBEAN SPINY",485.0062267,3036.138979
1955,"LOBSTER, AMERICAN",860.6616259,5404.95501
1955,"LOBSTER, CALIFORNIA SPINY",1112.95612,6989.364434
1955,"LOBSTER, CARIBBEAN SPINY",507.0514791,3184.283289
1956,"LOBSTER, AMERICAN",989.7494555,6116.651635
1956,"LOBSTER, CALIFORNIA SPINY",1152.552427,7122.773996
1956,"LOBSTER, CARIBBEAN SPINY",584.3172805,3611.080793
1957,"LOBSTER, AMERICAN",841.5877936,5007.447372
1957,"LOBSTER, CALIFORNIA SPINY",1285.005107,7645.780388
1957,"LOBSTER, CARIBBEAN SPINY",613.1548788,3648.271529
1958,"LOBSTER, AMERICAN",1070.338783,6154.448
1958,"LOBSTER, CALIFORNIA SPINY",1355.804318,7795.874826
1958,"LOBSTER, CARIBBEAN SPINY",624.2414745,3589.388478
1959,"LOBSTER, AMERICAN",1096.568912,6262.505057
1959,"LOBSTER, CALIFORNIA SPINY",1334.6777,7622.344347
1959,"LOBSTER, CARIBBEAN SPINY",661.633502,3778.58893
1960,"LOBSTER, AMERICAN",1007.940061,5411.783281
1960,"LOBSTER, CALIFORNIA SPINY",1479.340452,7942.803578
1960,"LOBSTER, CARIBBEAN SPINY",851.5354849,4572.023354
1961,"LOBSTER, AMERICAN",1147.359743,6085.518379
1961,"LOBSTER, CALIFORNIA SPINY",1494.038968,7924.281511
1961,"LOBSTER, CARIBBEAN SPINY",762.2577855,4042.963675
1962,"LOBSTER, AMERICAN",1117.578274,5847.667769
1962,"LOBSTER, CALIFORNIA SPINY",1509.232409,7896.976814
1962,"LOBSTER, CARIBBEAN SPINY",843.2130065,4412.066372
1963,"LOBSTER, AMERICAN",1221.087397,6322.276967
1963,"LOBSTER, CALIFORNIA SPINY",1439.150943,7451.318298
1963,"LOBSTER, CARIBBEAN SPINY",865.8240069,4482.872554
1964,"LOBSTER, AMERICAN",1414.094716,7212.76305
1964,"LOBSTER, CALIFORNIA SPINY",1524.570582,7776.258719
1964,"LOBSTER, CARIBBEAN SPINY",948.4323963,4837.595436
1965,"LOBSTER, AMERICAN",1600.525844,8013.170795
1965,"LOBSTER, CALIFORNIA SPINY",1765.162919,8837.440522
1965,"LOBSTER, CARIBBEAN SPINY",1240.371578,6210.027372
1965,"LOBSTER, SLIPPER",,
1966,"LOBSTER, AMERICAN",1661.684515,8080.748934
1966,"LOBSTER, CALIFORNIA SPINY",1844.659757,8970.555015
1966,"LOBSTER, CARIBBEAN SPINY",1017.37638,4947.487339
1967,"LOBSTER, AMERICAN",1845.516886,8705.215575
1967,"LOBSTER, CALIFORNIA SPINY",1900.700637,8965.514709
1967,"LOBSTER, CARIBBEAN SPINY",1365.141858,6439.309364
1968,"LOBSTER, AMERICAN",1723.353873,7797.146991
1968,"LOBSTER, CALIFORNIA SPINY",2068.913197,9360.596545
1968,"LOBSTER, CARIBBEAN SPINY",1561.026083,7062.710694
1969,"LOBSTER, AMERICAN",1892.165606,8174.090882
1969,"LOBSTER, CALIFORNIA SPINY",2469.608262,10668.62346
1969,"LOBSTER, CARIBBEAN SPINY",1550.427195,6697.792599
1970,"LOBSTER, AMERICAN",2160.085467,8881.053967
1970,"LOBSTER, CALIFORNIA SPINY",2625.440313,10794.33081
1970,"LOBSTER, CARIBBEAN SPINY",1320.626607,5429.672275
1971,"LOBSTER, AMERICAN",2329.299326,9121.955522
1971,"LOBSTER, CALIFORNIA SPINY",3032.711198,11876.64306
1971,"LOBSTER, CARIBBEAN SPINY",1901.38089,7446.149884
1972,"LOBSTER, AMERICAN",2701.476237,10143.87787
1972,"LOBSTER, CALIFORNIA SPINY",3444.180509,12932.68694
1972,"LOBSTER, CARIBBEAN SPINY",2269.438016,8521.600803
1972,"LOBSTER, SLIPPER",1203.611111,4519.486032
1973,"LOBSTER, AMERICAN",3162.112035,11250.1725
1973,"LOBSTER, CALIFORNIA SPINY",3754.328922,13357.16367
1973,"LOBSTER, CARIBBEAN SPINY",2300.946295,8186.314221
1973,"LOBSTER, SLIPPER",1559.583333,5548.690663
1974,"LOBSTER, AMERICAN",3343.994362,10906.74626
1974,"LOBSTER, CALIFORNIA SPINY",4215.658199,13749.75832
1974,"LOBSTER, CARIBBEAN SPINY",2713.006867,8848.72231
1974,"LOBSTER, SLIPPER",2131.25,6951.268591
1975,"LOBSTER, AMERICAN",3753.210229,11182.64294
1975,"LOBSTER, CALIFORNIA SPINY",4696.914661,13994.3985
1975,"LOBSTER, CARIBBEAN SPINY",2935.002529,8744.803335
1975,"LOBSTER, SLIPPER",2302,6858.780214
1976,"LOBSTER, AMERICAN",3635.384314,10246.43448
1976,"LOBSTER, CALIFORNIA SPINY",4997.008289,14084.21053
1976,"LOBSTER, CARIBBEAN SPINY",3541.185301,9980.931873
1976,"LOBSTER, SLIPPER",2311.836735,6515.97784
1977,"LOBSTER, AMERICAN",4015.267102,10639.38102
1977,"LOBSTER, CALIFORNIA SPINY",5317.221735,14089.21165
1977,"LOBSTER, CARIBBEAN SPINY",3622.840463,9599.555666
1977,"LOBSTER, SLIPPER",4155.111111,11009.93014
1978,"LOBSTER, AMERICAN",4160.458823,10301.88831
1978,"LOBSTER, CALIFORNIA SPINY",5848.879276,14482.65771
1978,"LOBSTER, CARIBBEAN SPINY",7763.085006,19222.50359
1978,"LOBSTER, SLIPPER",5442.923977,13477.45459
1979,"LOBSTER, AMERICAN",4279.569577,9780.839752
1979,"LOBSTER, CALIFORNIA SPINY",7123.868421,16281.40732
1979,"LOBSTER, CARIBBEAN SPINY",4278.447717,9778.275772
1979,"LOBSTER, SLIPPER",2515,5747.964026
1980,"LOBSTER, AMERICAN",4509.272944,9444.4624
1980,"LOBSTER, CALIFORNIA SPINY",7157.404255,14990.85024
1980,"LOBSTER, CARIBBEAN SPINY",4637.313949,9712.638328
1980,"LOBSTER, SLIPPER",3838.585859,8039.739502
1981,"LOBSTER, AMERICAN",4830.093294,9249.508831
1981,"LOBSTER, CALIFORNIA SPINY",7530.432383,14420.5912
1981,"LOBSTER, CARIBBEAN SPINY",6346.577053,12153.53761
1981,"LOBSTER, SLIPPER",3984.719101,7630.638225
1982,"LOBSTER, AMERICAN",5088.566027,9184.864043
1982,"LOBSTER, CALIFORNIA SPINY",7942.242755,14335.75186
1982,"LOBSTER, CARIBBEAN SPINY",5330.239888,9621.085475
1982,"LOBSTER, SLIPPER",3198.623596,5773.517076
1983,"LOBSTER, AMERICAN",5335.957303,9264.92846
1983,"LOBSTER, CALIFORNIA SPINY",8372.875735,14537.99014
1983,"LOBSTER, CARIBBEAN SPINY",5540.088164,9619.36492
1983,"LOBSTER, SLIPPER",3563.455724,6187.298824
1984,"LOBSTER, AMERICAN",5931.199557,9925.680891
1984,"LOBSTER, CALIFORNIA SPINY",8770.574827,14677.28849
1984,"LOBSTER, CARIBBEAN SPINY",5558.936728,9302.710443
1984,"LOBSTER, SLIPPER",5123.767606,8574.468238
1985,"LOBSTER, AMERICAN",5488.61148,8912.829329
1985,"LOBSTER, CALIFORNIA SPINY",9582.91482,15561.47389
1985,"LOBSTER, CARIBBEAN SPINY",5525.519499,8972.763408
1985,"LOBSTER, SLIPPER",3877.764706,6297.012482
1986,"LOBSTER, AMERICAN",5773.038085,9169.671904
1986,"LOBSTER, CALIFORNIA SPINY",10048.04691,15959.93169
1986,"LOBSTER, CARIBBEAN SPINY",6067.833596,9637.91377
1986,"LOBSTER, SLIPPER",5182.274368,8231.325513
1987,"LOBSTER, AMERICAN",6822.783724,10528.56776
1987,"LOBSTER, CALIFORNIA SPINY",10519.03922,16232.4385
1987,"LOBSTER, CARIBBEAN SPINY",8152.075358,12579.86202
1987,"LOBSTER, SLIPPER",6591.428571,10171.55243
1988,"LOBSTER, AMERICAN",6581.735143,9814.806605
1988,"LOBSTER, CALIFORNIA SPINY",11797.61448,17592.82347
1988,"LOBSTER, CARIBBEAN SPINY",6401.13982,9545.49948
1988,"LOBSTER, SLIPPER",5942.471264,8861.524347
1989,"LOBSTER, AMERICAN",6174.129462,8872.963044
1989,"LOBSTER, CALIFORNIA SPINY",12118.18647,17415.28443
1989,"LOBSTER, CARIBBEAN SPINY",6944.128544,9979.543889
1989,"LOBSTER, SLIPPER",5213.874346,7492.961505
1990,"LOBSTER, AMERICAN",5469.067633,7572.511292
1990,"LOBSTER, CALIFORNIA SPINY",12392.83573,17159.21155
1990,"LOBSTER, CARIBBEAN SPINY",8031.72638,11120.78745
1990,"LOBSTER, SLIPPER",4956.493506,6862.797384
1991,"LOBSTER, AMERICAN",5710.297839,7646.659479
1991,"LOBSTER, CALIFORNIA SPINY",13918.40204,18638.13131
1991,"LOBSTER, CARIBBEAN SPINY",8747.266506,11713.46403
1991,"LOBSTER, SLIPPER",5604.529412,7505.024986
1992,"LOBSTER, AMERICAN",6404.335416,8399.131768
1992,"LOBSTER, CALIFORNIA SPINY",14381.15457,18860.53811
1992,"LOBSTER, CARIBBEAN SPINY",8674.20628,11376.01278
1992,"LOBSTER, SLIPPER",5348.630705,7014.600447
1993,"LOBSTER, AMERICAN",6095.875732,7823.082194
1993,"LOBSTER, CALIFORNIA SPINY",14275.96997,18320.92572
1993,"LOBSTER, CARIBBEAN SPINY",7390.685307,9484.763333
1993,"LOBSTER, SLIPPER",6070.08547,7789.984514
1994,"LOBSTER, AMERICAN",6530.860343,8214.074659
1994,"LOBSTER, CALIFORNIA SPINY",16348.77283,20562.38131
1994,"LOBSTER, CARIBBEAN SPINY",9474.277686,11916.10602
1994,"LOBSTER, SLIPPER",5486.963696,6901.132024
1995,"LOBSTER, AMERICAN",6755.921699,8303.954286
1995,"LOBSTER, CALIFORNIA SPINY",17273.09728,21231.00542
1995,"LOBSTER, CARIBBEAN SPINY",9849.376871,12106.23493
1995,"LOBSTER, SLIPPER",5889.44,7238.929447
1996,"LOBSTER, AMERICAN",7464.338661,9015.06366
1996,"LOBSTER, CALIFORNIA SPINY",17138.42599,20698.95383
1996,"LOBSTER, CARIBBEAN SPINY",8551.389518,10327.95059
1996,"LOBSTER, SLIPPER",6142.867133,7419.054893
1997,"LOBSTER, AMERICAN",7250.497955,8591.179264
1997,"LOBSTER, CALIFORNIA SPINY",16370.38861,19397.4185
1997,"LOBSTER, CARIBBEAN SPINY",9154.219749,10846.91608
1997,"LOBSTER, SLIPPER",7011.401869,8307.872194
1998,"LOBSTER, AMERICAN",7016.297134,8198.496244
1998,"LOBSTER, CALIFORNIA SPINY",14044.75821,16411.20597
1998,"LOBSTER, CARIBBEAN SPINY",8447.788796,9871.18467
1998,"LOBSTER, SLIPPER",5647.5,6599.065954
1999,"LOBSTER, AMERICAN",8144.820932,9379.635683
1999,"LOBSTER, CALIFORNIA SPINY",16300.24576,18771.48288
1999,"LOBSTER, CARIBBEAN SPINY",9654.160123,11117.8018
1999,"LOBSTER, SLIPPER",6289.8,7243.379935
2000,"LOBSTER, AMERICAN",7968.853409,8982.630543
2000,"LOBSTER, BANDED SPINY",25786.38298,29066.86062
2000,"LOBSTER, CALIFORNIA SPINY",14698.67083,16568.59811
2000,"LOBSTER, CARIBBEAN SPINY",10765.45135,12135.00451
2000,"LOBSTER, SLIPPER",7759.534884,8746.683051
2001,"LOBSTER, AMERICAN",7726.475066,8516.343856
2001,"LOBSTER, BANDED SPINY",26692.77778,29421.5502
2001,"LOBSTER, CALIFORNIA SPINY",14158.15565,15605.52785
2001,"LOBSTER, CARIBBEAN SPINY",11000.78093,12125.37829
2001,"LOBSTER, SLIPPER",9039.210526,9963.278775
2002,"LOBSTER, AMERICAN",7798.049013,8457.888461
2002,"LOBSTER, BANDED SPINY",28153.48837,30535.72298
2002,"LOBSTER, CALIFORNIA SPINY",15020.58399,16291.56521
2002,"LOBSTER, CARIBBEAN SPINY",10240.62267,11107.14284
2002,"LOBSTER, SLIPPER",8548.75,9272.110737
2003,"LOBSTER, AMERICAN",8719.478675,9262.180575
2003,"LOBSTER, BANDED SPINY",26620.4,28277.25842
2003,"LOBSTER, CALIFORNIA SPINY",15817.78843,16802.29039
2003,"LOBSTER, CARIBBEAN SPINY",9743.581165,10350.02339
2003,"LOBSTER, SLIPPER",9399.08046,9984.080896
2004,"LOBSTER, AMERICAN",9161.38334,9465.47374
2004,"LOBSTER, BANDED SPINY",26315,27188.46404
2004,"LOBSTER, CALIFORNIA SPINY",15787.82163,16311.86094
2004,"LOBSTER, CARIBBEAN SPINY",10043.62768,10377.00208
2004,"LOBSTER, SLIPPER",10715.71429,11071.39702
