Year,Species,Metric Tons,Pounds,Revenue,RegionFAO
2011,"CLAM, PACIFIC GEODUCK",216.7,477726,4866465,67
2011,"COD, PACIFIC",300724.5,662977161,202871011,67
2011,"CRAB, DUNGENESS",1562.4,3444395,7746082,67
2011,"CRAB, KING",7712.3,17002520,110595279,67
2011,"CRAB, SNOW",24516.7,54049614,115501885,67
2011,"CRAB, SOUTHERN TANNER",2706.3,5966225,14849567,67
2011,"FINFISHES, UNC GENERAL",28.9,63695,30608,67
2011,FLATFISH,26916.2,59339411,5155977,67
2011,"FLOUNDER, ARROWTOOTH",40353.7,88963857,6272382,67
2011,"HALIBUT, GREENLAND",3553.2,7833338,3723750,67
2011,"HALIBUT, PACIFIC",18729.3,41290519,205210775,67
2011,"HERRING, PACIFIC",44724.8,98600345,12304946,67
2011,LINGCOD,253.5,558782,605802,67
2011,OCTOPUS,420.7,927431,391034,67
2011,"POLLOCK, WALLEYE",1274964.7,2810787185,362591547,67
2011,"ROCKFISH, PACIFIC OCEAN PERCH",36552.4,80583388,16922198,67
2011,"ROCKFISH, WIDOW",7.5,16528,2381,67
2011,ROCKFISHES,11532.5,25424578,6924447,67
2011,SABLEFISH,12310.6,27139932,139302028,67
2011,"SALMON, CHINOOK",2788.2,6146834,19747339,67
2011,"SALMON, CHUM",42669.9,94070006,70163490,67
2011,"SALMON, COHO",9369.5,20656076,20949632,67
2011,"SALMON, PINK",167577.1,369440365,158411624,67
2011,"SALMON, SOCKEYE",112405.4,247808896,295515669,67
2011,"SCALLOP, SEA",195,430007,4183153,67
2011,SCULPINS,366.2,807396,138065,67
2011,"SHARK, SPINY DOGFISH",10.5,23199,5080,67
2011,SHELLFISH,784.6,1729732,6243731,67
2011,"SHRIMP, PENAEID",489.4,1078904,2404739,67
2011,SKATES,8451.6,18632366,2228093,67
2011,"SOLE, DOVER",226.4,499129,47916,67
2011,"SOLE, ENGLISH",25.6,56450,7903,67
2011,"SOLE, FLATHEAD",14281,31483914,4623577,67
2011,"SOLE, REX",3753.4,8274711,2471173,67
2011,"SOLE, ROCK",59168.1,130442009,21088584,67
2011,"SOLE, YELLOWFIN",146416.1,322789013,45476792,67
2011,SQUIDS,327.2,721410,61440,67
2012,ATKA MACKEREL,47168.1,103986822,15105939,67
2012,"CLAM, ATLANTIC JACKKNIFE",139.4,307347,194216,67
2012,"CLAM, PACIFIC GEODUCK",336.8,742569,5117660,67
2012,"COD, PACIFIC",325104.6,716725548,185802334,67
2012,"CRAB, DUNGENESS",1164,2566050,6430018,67
2012,"CRAB, KING",7419.4,16356764,90786915,67
2012,"CRAB, SNOW",40018.9,88225773,166807600,67
2012,"CRAB, SOUTHERN TANNER",2161.6,4765471,11720553,67
2012,"FINFISHES, UNC GENERAL",45.7,100824,35142,67
2012,FLATFISH,23067,50853443,6327463,67
2012,"FLOUNDER, ARROWTOOTH",35004.4,77170644,8553666,67
2012,"HALIBUT, GREENLAND",4620.9,10187303,4765107,67
2012,"HALIBUT, PACIFIC",14706.4,32421704,144800693,67
2012,"HERRING, PACIFIC",34046,75057878,19430270,67
2012,LINGCOD,267.2,589118,617201,67
2012,OCTOPUS,301.7,665119,346349,67
2012,"POLLOCK, WALLEYE",1302814.9,2872185802,343311088,67
2012,"ROCKFISH, CANARY",4.3,9438,4908,67
2012,"ROCKFISH, PACIFIC OCEAN PERCH",37536.7,82753349,18129136,67
2012,"ROCKFISH, WIDOW",9,19734,3660,67
