SpecCode,Genus,Species,,,Sex,tm (y),AgeMatMin,AgeMatMax,Locality,Country,Comment
870,Carcharhinus,galapagensis,Carcharhinus galapagensis,#N/A,male,,6,8,Not specified.,Hawaii,
872,Carcharhinus,isodon,Carcharhinus isodon,#N/A,female,4.300000191,,,"St. Andrew Bay to Apalachicola Bay, Gulf of Mexico, 1995-99",USA,
872,Carcharhinus,isodon,Carcharhinus isodon,#N/A,male,3.900000095,,,"St. Andrew Bay to Apalachicola Bay, Gulf of Mexico, 1995-99",USA,
874,Carcharhinus,limbatus,Carcharhinus limbatus,2808,female,7,6,8,Not given.,,
874,Carcharhinus,limbatus,Carcharhinus limbatus,2808,mixed,7,,,northwestern Gulf of Mexico,USA,
874,Carcharhinus,limbatus,Carcharhinus limbatus,2808,unsexed,,3,4,"Arafura and Timor Seas, 1980-84",Australia,
875,Carcharhinus,longimanus,Carcharhinus longimanus,2810,female,5,4,5,Not given.,,
875,Carcharhinus,longimanus,Carcharhinus longimanus,2810,mixed,,6,7,"Northeastern coast, 1992-97",Brazil,
878,Carcharhinus,obscurus,Carcharhinus obscurus,2811,female,,17,22,south-western Western Australia,Australia,
878,Carcharhinus,obscurus,Carcharhinus obscurus,2811,female,21,,,"Cape Cod to Florida E. coast, 1963-93",USA,
878,Carcharhinus,obscurus,Carcharhinus obscurus,2811,female,21,21,,not specified,Indonesia,
878,Carcharhinus,obscurus,Carcharhinus obscurus,2811,male,,20,23,south-western Western Australia,Australia,
878,Carcharhinus,obscurus,Carcharhinus obscurus,2811,male,19,,,"Cape Cod to Florida E. coast, 1963-93",USA,Also Ref. 30214.
878,Carcharhinus,obscurus,Carcharhinus obscurus,2811,unsexed,,14,18,southern waters,Australia,
880,Carcharhinus,plumbeus,Carcharhinus plumbeus,2807,female,,13,16,Not specified.,,
880,Carcharhinus,plumbeus,Carcharhinus plumbeus,2807,female,,15,16,"Atlantic coast, 1976-92",USA,Length: precaudal (PCL). All females >134.5 cm were mature.
880,Carcharhinus,plumbeus,Carcharhinus plumbeus,2807,female,12,,,"Gt. Machipongo In., Virginia & Mid-Atlantic Bight",USA,
880,Carcharhinus,plumbeus,Carcharhinus plumbeus,2807,male,,13,16,Not specified.,,
880,Carcharhinus,plumbeus,Carcharhinus plumbeus,2807,male,,15,16,"Atlantic coast, 1976-92",USA,Length: precaudal (PCL).
880,Carcharhinus,plumbeus,Carcharhinus plumbeus,2807,male,13,,,"Gt. Machipongo In., Virginia & Mid-Atlantic Bight",USA,Also Ref. 30214.
881,Carcharhinus,porosus,Carcharhinus porosus,2020,female,6,,,"Maranhão coast, 1984-87",Brazil,
881,Carcharhinus,porosus,Carcharhinus porosus,2020,male,6,,,"Maranhão coast, 1984-87",Brazil,
884,Carcharhinus,sorrah,Carcharhinus sorrah,11134,female,,2,3,"Arafura Sea and Timor Sea, 1980-84",Australia,
884,Carcharhinus,sorrah,Carcharhinus sorrah,11134,unsexed,,2,3,northern coasts,Australia,
15721,Carcharhinus,tilstoni,Carcharhinus tilstoni,#N/A,female,,3,4,northern coasts,Australia,
15721,Carcharhinus,tilstoni,Carcharhinus tilstoni,#N/A,male,,3,4,northern coasts,Australia,
747,Carcharias,taurus,Carcharias taurus,2006,male,,4,5,southeastern coast,USA,
751,Carcharodon,carcharias,Carcharodon carcharias,2799,male,9,8,10,East coast of South Africa.,South Africa,Given as 293 - 317 cm precaudal length.
3779,Cebidichthys,violaceus,Cebidichthys violaceus,#N/A,unsexed,,4,7,Oregon-California,USA,
7531,Centropomus,mexicanus,Centropomus mexicanus,#N/A,unsexed,,3,4,French Guiana,Fr Guiana,
663,Centroselachus,crepidater,Centroselachus crepidater,#N/A,unsexed,,9,15,not given,Germany,Country of publication.
12,Cephalopholis,cruentata,Cephalopholis cruentata,#N/A,female,3.5,,,(coral reef),Curaçao I.,
12,Cephalopholis,cruentata,Cephalopholis cruentata,#N/A,male,5.5,,,(coral reef),Curaçao I.,
6444,Cephalopholis,boenak,Cephalopholis boenak,19041,female,1.799999952,1,,"eastern waters, 1997-99",Hong Kong,Size at 50% maturity.
6444,Cephalopholis,boenak,Cephalopholis boenak,19041,male,2,1,,1997-99,Hong Kong,
548,Cetengraulis,mysticetus,Cetengraulis mysticetus,2920,unsexed,1,,,"Gulf of Fonseca, 1951-52; 1954-55",El Salvador,
90,Cetorhinus,maximus,Cetorhinus maximus,2005,female,5,,,Not specified.,,
90,Cetorhinus,maximus,Cetorhinus maximus,2005,female,18,,,Not specified.,,
90,Cetorhinus,maximus,Cetorhinus maximus,2005,male,,6,7,Not specified.,,
90,Cetorhinus,maximus,Cetorhinus maximus,2005,male,,6,13,Not specified.,,
5538,Cetoscarus,bicolor,Cetoscarus bicolor,#N/A,unsexed,5,,,Great Barrier Reef,Australia,
1024,Chaetodipterus,faber,Chaetodipterus faber,#N/A,male,,0,1,"South Carolina, 1985-87
South Carolina, 1985-87",USA,Most males mature within their first year.  The smallest spent male was age-0 and 9.4 cm TL.
474,Champsocephalus,gunnari,Champsocephalus gunnari,2450,female,,4,4,South Georgia Island,Antarctica,
474,Champsocephalus,gunnari,Champsocephalus gunnari,2450,male,,4,4,South Georgia Island,Antarctica,
5604,Cheilinus,undulatus,Cheilinus undulatus,18825,unsexed,,5,7,Great Barrier Reef,Australia,
507,Chelidonichthys,kumu,Chelidonichthys kumu,3336,unsexed,,2,3,Hauraki Gulf (for Lm),New Zealand,
5504,Chelidonichthys,capensis,Chelidonichthys capensis,3337,female,3,2,4,"Eastern Cape coast, 1974-75",South Africa,
7948,Chelidonichthys,queketti,Chelidonichthys queketti,#N/A,female,1.700000048,,,"Agulhas Bank, 1994-96",South Africa,
3646,Chromis,punctipinnis,Chromis punctipinnis,#N/A,unsexed,2,,,California Current Region,,
1873,Ciliata,septentrionalis,Ciliata septentrionalis,#N/A,female,1,,,Severn Estuary and Bristol Channel (1972-1976),UK Engld Wal,Attain sexual maturity at the end of their first year of life (Ref. 57987).
1873,Ciliata,septentrionalis,Ciliata septentrionalis,#N/A,male,1,,,Severn Estuary and Bristol Channel (1972-1976),UK Engld Wal,Attain sexual maturity at the end of their first year of life (Ref. 57987).
4215,Citharichthys,sordidus,Citharichthys sordidus,11442,unsexed,2.5,,,California Current Region,,
8560,Cleisthenes,herzensteini,Cleisthenes herzensteini,#N/A,unsexed,,5,6,Peter the Great Bay,Russian Fed,
3840,Clevelandia,ios,Clevelandia ios,#N/A,unsexed,1,,,California,USA,
24,Clupea,harengus,Clupea harengus,2886,female,3,,,"northeastern coast, 1987-89",USA,
24,Clupea,harengus,Clupea harengus,2886,male,2.900000095,,,"northeastern coast, 1987-89",USA,
24,Clupea,harengus,Clupea harengus,2886,unsexed,,2,4,To be filled.,Former USSR,
24,Clupea,harengus,Clupea harengus,2886,unsexed,,2,5,Western Baltic,,
24,Clupea,harengus,Clupea harengus,2886,unsexed,2,,,Dunmore stock,UK,winter spawner
24,Clupea,harengus,Clupea harengus,2886,unsexed,2.5,,,Clyde stock,UK Engld Wal,spring spawner
24,Clupea,harengus,Clupea harengus,2886,unsexed,3,,,Baltic Sea,,
24,Clupea,harengus,Clupea harengus,2886,unsexed,3,,,North Sea,,
24,Clupea,harengus,Clupea harengus,2886,unsexed,3,,,Banks stock,UK,autumn spawner
24,Clupea,harengus,Clupea harengus,2886,unsexed,3,,,Manx stock,UK,autumn spawner
24,Clupea,harengus,Clupea harengus,2886,unsexed,3,,,Western Baltic,Germany,In 1900.
24,Clupea,harengus,Clupea harengus,2886,unsexed,3,,,Kieler Förde,Germany,In 1950.
24,Clupea,harengus,Clupea harengus,2886,unsexed,3,,,southern North Sea,UK,Range refers to mean length.
24,Clupea,harengus,Clupea harengus,2886,unsexed,3,,,Downs stock,UK Engld Wal,winter spawner
24,Clupea,harengus,Clupea harengus,2886,unsexed,4,,,southern North Sea,,
24,Clupea,harengus,Clupea harengus,2886,unsexed,4,,,Buchan stock,UK Scotland,autumn spawner
24,Clupea,harengus,Clupea harengus,2886,unsexed,5,,,Southern Gulf of St. Lawrence,Can Newfounl,Spring spawner
24,Clupea,harengus,Clupea harengus,2886,unsexed,5,3,9,Norwegian stock (spring spawner),Norway,The majority of first maturation takes place between ages 4 and 9 yrs.
24,Clupea,harengus,Clupea harengus,2886,unsexed,6.5,,,Southern Gulf of St. Lawrence.,Can Newfounl,autumn spawner
1470,Clupeonella,cultriventris,Clupeonella cultriventris,2101,unsexed,,2,3,Former USSR,Former USSR,
12092,Cnidoglanis,macrocephalus,Cnidoglanis macrocephalus,#N/A,female,,2,3,southern waters,Australia,
12092,Cnidoglanis,macrocephalus,Cnidoglanis macrocephalus,#N/A,male,,2,3,southern waters,Australia,
303,Cololabis,saira,Cololabis saira,3001,unsexed,,2.5,3.5,Northwest Pacific off Kurils and Japan,Russian Fed,
303,Cololabis,saira,Cololabis saira,3001,unsexed,1,,,Northwest Pacific,Russian Fed,
301,Conger,conger,Conger conger,2994,unsexed,,5,15,Not stated.,,
231,Coregonus,albula,Coregonus albula,2939,mixed,2,,,Schleswig-Holstein,Germany,
231,Coregonus,albula,Coregonus albula,2939,unsexed,,2,3,Lake Onega,,
231,Coregonus,albula,Coregonus albula,2939,unsexed,,2,5,not specified,,
231,Coregonus,albula,Coregonus albula,2939,unsexed,2,,,Finland,Finland,reaches maturity in 2 summers
232,Coregonus,lavaretus,Coregonus lavaretus,2940,female,,3,4,France,France,
232,Coregonus,lavaretus,Coregonus lavaretus,2940,unsexed,,4,5,Estonia & Russia,,
233,Coregonus,oxyrinchus,Coregonus oxyrinchus,2133,female,3,3,3,Germany,Germany,
233,Coregonus,oxyrinchus,Coregonus oxyrinchus,2133,male,,2,3,Germany,Germany,
235,Coregonus,artedi,Coregonus artedi,2134,mixed,6,,,eastern James-Hudson Bay,Canada,
2669,Coregonus,autumnalis,Coregonus autumnalis,#N/A,mixed,,4.5,7.5,Enisey river,Russian Fed,
2669,Coregonus,autumnalis,Coregonus autumnalis,#N/A,unsexed,,6,8,Not specified,,Also Ref. 28857.
2674,Coregonus,nasus,Coregonus nasus,#N/A,female,,5,9,Arctic Ocean,,
2674,Coregonus,nasus,Coregonus nasus,#N/A,male,,4,8,Arctic Ocean,,
2674,Coregonus,nasus,Coregonus nasus,#N/A,mixed,,6.5,9.5,Enisey river,Russian Fed,
2676,Coregonus,pidschian,Coregonus pidschian,#N/A,female,,5,8,Arctic Ocean basin,,
2676,Coregonus,pidschian,Coregonus pidschian,#N/A,female,11,,,"Dease Inlet, 1988; 1990",Alaska,
2676,Coregonus,pidschian,Coregonus pidschian,#N/A,male,,4,7,Arctic Ocean basin,,
2676,Coregonus,pidschian,Coregonus pidschian,#N/A,male,14,,,"Dease Inlet, 1988; 1990",Alaska,
2676,Coregonus,pidschian,Coregonus pidschian,#N/A,mixed,,4.5,7.5,Enisey river,Russian Fed,
2676,Coregonus,pidschian,Coregonus pidschian,#N/A,unsexed,,3,4,Europe,,
2676,Coregonus,pidschian,Coregonus pidschian,#N/A,unsexed,,4,6,Not specified,,
2676,Coregonus,pidschian,Coregonus pidschian,#N/A,unsexed,,5,7,not specified.,Mongolia,
2678,Coregonus,sardinella,Coregonus sardinella,#N/A,female,,2,4,Not specified,,"Begin to mature at age 3+, at age 2+ in rare cases, but most at age 4+ (Ref. 28856).  28856)."
2678,Coregonus,sardinella,Coregonus sardinella,#N/A,female,7,,,"Dease Inlet, 1988; 1990",Alaska,
2678,Coregonus,sardinella,Coregonus sardinella,#N/A,male,,2,3,Not specified,,May mature at age 2+ but majority mature at 3+ (Ref. 28856).
2678,Coregonus,sardinella,Coregonus sardinella,#N/A,male,8,,,"Dease Inlet, 1988; 1990",Alaska,
2678,Coregonus,sardinella,Coregonus sardinella,#N/A,unsexed,,3,4,Arctic Ocean basin,,
4687,Coregonus,peled,Coregonus peled,#N/A,mixed,,4.5,7.5,Enisey river,Russian Fed,
4687,Coregonus,peled,Coregonus peled,#N/A,unsexed,,3,6,not specified,Russian Fed,
12547,Coregonus,muksun,Coregonus muksun,#N/A,mixed,,8.5,12.5,Enisey river,Russian Fed,
12547,Coregonus,muksun,Coregonus muksun,#N/A,unsexed,,6,14,Arctic Ocean basin,,
12548,Coregonus,ussuriensis,Coregonus ussuriensis,#N/A,unsexed,,5,6,Primorye,Russian Fed,
12548,Coregonus,ussuriensis,Coregonus ussuriensis,#N/A,unsexed,,5,8,Basin of Amur river,Russian Fed,
58,Coris,julis,Coris julis,#N/A,unsexed,1,,,Mediterranean Sea,,
6,Coryphaena,hippurus,Coryphaena hippurus,3130,female,,0.5,0.579999983,Straits of Florida,USA,
6,Coryphaena,hippurus,Coryphaena hippurus,3130,male,,0.5,0.579999983,Straits of Florida,USA,
332,Coryphaenoides,rupestris,Coryphaenoides rupestris,3035,female,,9,11,"Rockall trough, 1992-93",UK,
332,Coryphaenoides,rupestris,Coryphaenoides rupestris,3035,female,10,,,Skagerrak,Norway,
8467,Coryphaenoides,acrolepis,Coryphaenoides acrolepis,#N/A,unsexed,,3,6,Sea of Okhotsk,Russian Fed,
8473,Coryphaenoides,cinereus,Coryphaenoides cinereus,#N/A,unsexed,,3,5,Northwest Pacific,Russian Fed,
8473,Coryphaenoides,cinereus,Coryphaenoides cinereus,#N/A,unsexed,,3,5,Sea of Okhotsk,Russian Fed,
8474,Coryphaenoides,longifilis,Coryphaenoides longifilis,#N/A,unsexed,,5,8,Northwest Pacific,Russian Fed,
60,Crystallogobius,linearis,Crystallogobius linearis,#N/A,unsexed,1,,,eastern Atlantic,,
61,Ctenolabrus,rupestris,Ctenolabrus rupestris,11647,unsexed,2,,,Eastern Atlantic and Mediterranean seas,,
62,Cyclopterus,lumpus,Cyclopterus lumpus,2537,mixed,,3,5,Baltic Sea,,
6966,Cyclothone,pallida,Cyclothone pallida,#N/A,female,3.5,,,Japan,Japan,
6966,Cyclothone,pallida,Cyclothone pallida,#N/A,male,3.5,,,Japan,Japan,
4948,Cynoglossus,canariensis,Cynoglossus canariensis,#N/A,female,2,,,Sénégal,Senegal,
406,Cynoscion,regalis,Cynoscion regalis,2347,female,,0,1,"Morehead City, North Carolina (1968-1969)",USA,
406,Cynoscion,regalis,Cynoscion regalis,2347,female,,0,1,"Pamlico Sound, North Carolina (1967-1969)",USA,
406,Cynoscion,regalis,Cynoscion regalis,2347,male,,0,1,"Morehead City, North Carolina (1968-1969)",USA,
406,Cynoscion,regalis,Cynoscion regalis,2347,male,,0,1,"Pamlico Sound, North Carolina (1967-1969)",USA,
14024,Cynoscion,albus,Cynoscion albus,#N/A,unsexed,6,5,9,Gulf of Nicoya,Costa Rica,
670,Deania,calcea,Deania calcea,2841,female,25,,,Rockall Trough & Porcupine Bank (1996-97; 1999),Ireland,
994,Decapterus,punctatus,Decapterus punctatus,#N/A,unsexed,,0.330000013,0.409999996,"Cape Fear, NC - Cape Canaveral, Fla.",USA,
438,Dentex,macrophthalmus,Dentex macrophthalmus,3181,unsexed,2,,,Mediterranean,,
439,Dentex,dentex,Dentex dentex,3182,female,,2,3,"Mallorca, 1993-95
Mallorca, 1993-95",Spain,
439,Dentex,dentex,Dentex dentex,3182,male,,2,3,"Mallorca, 1993-95
Mallorca, 1993-95",Spain,
4539,Dentex,canariensis,Dentex canariensis,#N/A,unsexed,2,,,Eastern Atlantic,,
6590,Diaphus,dumerilii,Diaphus dumerilii,#N/A,female,0.699999988,,,Gulf of Mexico,USA,
1752,Diplodus,annularis,Diplodus annularis,3176,female,2,,,"off Gran Canaria, 1998",Canary Is,
1752,Diplodus,annularis,Diplodus annularis,3176,male,1,,,"off Gran Canaria, 1998",Canary Is,
1752,Diplodus,annularis,Diplodus annularis,3176,unsexed,1,,,Eastern Atlantic and Mediterranean Sea,,
1753,Diplodus,sargus sargus,Diplodus sargus sargus,#N/A,mixed,2.119999886,,,"Faial Island (Aug 1997- July 1999), Corvo and Santa Maria islands (each summer 1997-1999)",Azores Is,
1753,Diplodus,sargus sargus,Diplodus sargus sargus,#N/A,unsexed,2,,,eastern Atlantic,,
1754,Diplodus,vulgaris,Diplodus vulgaris,3177,unsexed,2,,,eastern Atlantic and Mediterranean Sea,,
6004,Diplodus,capensis,Diplodus capensis,#N/A,female,3,,,Southeast coast,South Africa,
6004,Diplodus,capensis,Diplodus capensis,#N/A,male,3,,,Southeast coast,South Africa,
7932,Diplodus,cervinus hottentotus,Diplodus cervinus hottentotus,#N/A,female,6,,,"Tsitsikamma coast, 1989-90",South Africa,
7932,Diplodus,cervinus hottentotus,Diplodus cervinus hottentotus,#N/A,male,6,,,"Tsitsikamma coast, 1989-90",South Africa,
2058,Dipturus,batis,Dipturus batis,#N/A,unsexed,11,,,North Sea,UK,
13145,Dipturus,innominatus,Dipturus innominatus,19222,female,13,,,"South Island, East coast",New Zealand,Length as PL (pelviclength).
13145,Dipturus,innominatus,Dipturus innominatus,19222,male,8,,,"South Island, East coast",New Zealand,Length in PL (pelvic length).
467,Dissostichus,eleginoides,Dissostichus eleginoides,2439,unsexed,,6,8,Antarctica,Antarctica,
7039,Dissostichus,mawsoni,Dissostichus mawsoni,2438,male,12.80000019,9.300000191,16.10000038,Antarctica,Antarctica,
7039,Dissostichus,mawsoni,Dissostichus mawsoni,2438,unsexed,16.60000038,9.300000191,23.89999962,Antarctica,Antarctica,
1604,Dorosoma,cepedianum,Dorosoma cepedianum,2092,female,2,,,Lake Erie,USA,
1604,Dorosoma,cepedianum,Dorosoma cepedianum,2092,male,2,,,Lake Erie,USA,
1604,Dorosoma,cepedianum,Dorosoma cepedianum,2092,unsexed,,2,3,not specified,USA,Some females apparently mature on their first year (Ref. 39043).
1606,Dorosoma,petenense,Dorosoma petenense,#N/A,unsexed,,1,2,western Atlantic Ocean,USA,
1606,Dorosoma,petenense,Dorosoma petenense,#N/A,unsexed,,2,3,not specified,USA,
6984,Electrona,antarctica,Electrona antarctica,#N/A,unsexed,,2,3,Kerguelen Island,,Adults in advanced maturation phase observed in austral summer (January).
175,Elops,saurus,Elops saurus,2074,female,2,,,Not specified.,Cuba,
3628,Embiotoca,jacksoni,Embiotoca jacksoni,#N/A,unsexed,1.5,,,California Current Region,,
3629,Embiotoca,lateralis,Embiotoca lateralis,#N/A,unsexed,3,,,California Current Region,,
1874,Enchelyopus,cimbrius,Enchelyopus cimbrius,12019,unsexed,3,,,North Sea,UK,
556,Encrasicholina,heteroloba,Encrasicholina heteroloba,#N/A,unsexed,,0.660000026,0.980000019,"Jepara, north Central Java,  1983-85",Indonesia,
66,Engraulis,encrasicolus,Engraulis encrasicolus,2106,unsexed,1,,,Azov Sea,Former USSR,
66,Engraulis,encrasicolus,Engraulis encrasicolus,2106,unsexed,1,,,Bay of Biscay,France,
66,Engraulis,encrasicolus,Engraulis encrasicolus,2106,unsexed,1,,,Black Sea,Former USSR,
66,Engraulis,encrasicolus,Engraulis encrasicolus,2106,unsexed,1,,,Mediterranean Sea,,
1663,Engraulis,japonicus,Engraulis japonicus,2915,unsexed,1,,,South Africa,South Africa,Under the name <i>E. capensis</i>.
1663,Engraulis,japonicus,Engraulis japonicus,2915,unsexed,2,,,Northwest Pacific,Russian Fed,
1664,Engraulis,mordax,Engraulis mordax,2107,female,1,,,California,USA,
1664,Engraulis,mordax,Engraulis mordax,2107,unsexed,,1,4,California,USA,
1664,Engraulis,mordax,Engraulis mordax,2107,unsexed,1.5,1,2,California,USA,"Also Ref. 265, 914, 56049."
64907,Engraulis,capensis,Engraulis capensis,2919,unsexed,1,,,southwest coast,South Africa,
4237,Eopsetta,jordani,Eopsetta jordani,2546,female,,6,8,West coast of America,,Canada and USA
4237,Eopsetta,jordani,Eopsetta jordani,2546,female,8,,,southern British Columbia,Can Br Colum,50% are mature.
4237,Eopsetta,jordani,Eopsetta jordani,2546,male,,5,7,West coast of America,,Canada and USA
4237,Eopsetta,jordani,Eopsetta jordani,2546,male,7,,,southern British Columbia,Can Br Colum,50% are mature.
4237,Eopsetta,jordani,Eopsetta jordani,2546,unsexed,7,,,California Current Region,,
2508,Epigonus,telescopus,Epigonus telescopus,3093,female,36.59999847,,,"North Island, east coast (CDL 2), 2001-2003",New Zealand,
2508,Epigonus,telescopus,Epigonus telescopus,3093,male,35.79999924,,,"North Island, east coast (CDL 2), 2001-2003",New Zealand,
15,Epinephelus,guttatus,Epinephelus guttatus,12071,unsexed,3,,,Bermuda,Bermuda,
16,Epinephelus,itajara,Epinephelus itajara,#N/A,female,6.5,,,"Gulf of Mexico (eastern), 1977-90",USA,
16,Epinephelus,itajara,Epinephelus itajara,#N/A,male,5.5,,,"Gulf of Mexico (eastern), 1977-90",USA,
17,Epinephelus,morio,Epinephelus morio,3075,female,,4,6,Gulf of Mexico,USA,
426,Epinephelus,aeneus,Epinephelus aeneus,3072,female,,5,7,Tunisia,Tunisia,About 1.5 to 3.0 kg.
4461,Epinephelus,tauvina,Epinephelus tauvina,3073,unsexed,,5,6,Arabian Gulf,Kuwait,
5524,Epinephelus,chlorostigma,Epinephelus chlorostigma,12059,female,2.5,,,Seychelles,Seychelles,
5524,Epinephelus,chlorostigma,Epinephelus chlorostigma,12059,female,3,,,Red Sea,Egypt,
6465,Epinephelus,coioides,Epinephelus coioides,12061,female,,2,3,Arabian Gulf,,No specific country.
6465,Epinephelus,coioides,Epinephelus coioides,12061,female,2.700000048,,,"coast of the Emirate of Abu Dhabi, Sept. 2000-March 2003",Untd Arab Em,
6470,Epinephelus,marginatus,Epinephelus marginatus,3071,female,,5,17,Mediterranean Sea,Spain,
1455,Etrumeus,teres,Etrumeus teres,2902,female,1.730000019,,,Gulf of Suez,Egypt,
1455,Etrumeus,teres,Etrumeus teres,2902,male,1.700000048,,,Gulf of Suez,Egypt,
1455,Etrumeus,teres,Etrumeus teres,2902,unsexed,3,,5,"Hout , Saldana and Stompneus Bays",South Africa,
4454,Eubleekeria,splendens,Eubleekeria splendens,#N/A,unsexed,1,,,"Thangachimadam, 1949-50",India,
7533,Eugerres,brasilianus,Eugerres brasilianus,#N/A,female,1,,,(coastal lagoons),Cuba,
97,Euthynnus,alletteratus,Euthynnus alletteratus,3293,female,2,,,coasts off senegal,Senegal,
97,Euthynnus,alletteratus,Euthynnus alletteratus,3293,male,2,,,Not specified.,Senegal,
68,Eutrigla,gurnardus,Eutrigla gurnardus,2532,unsexed,,3,4,Not specified.,,
2620,Facciolella,gilbertii,Facciolella gilbertii,#N/A,unsexed,,3,4,California current,USA,
5924,Furgaleus,macki,Furgaleus macki,#N/A,female,6.5,,,Southwestern Australia,Australia,
5924,Furgaleus,macki,Furgaleus macki,#N/A,male,4.5,,,Southwestern Australia,Australia,
69,Gadus,morhua,Gadus morhua,2218,female,,4,8,"The Shinneys, Gilbert Bay, Labrador (1998-2001)",Canada,
69,Gadus,morhua,Gadus morhua,2218,female,1.700000048,,,"Georges Bank, 1985-90",USA,
69,Gadus,morhua,Gadus morhua,2218,female,2.099999905,,,"Gulf of Maine, 1985-90",USA,
69,Gadus,morhua,Gadus morhua,2218,female,2.700000048,,,Kiel Bay,Germany,
69,Gadus,morhua,Gadus morhua,2218,female,2.700000048,2,5,"Baltic, ICES SD 22 + 24",Germany,Age range refers to unsexed fish.
69,Gadus,morhua,Gadus morhua,2218,male,,4,6,"The Shinneys, Gilbert Bay, Labrador (1998-2001)",Canada,
69,Gadus,morhua,Gadus morhua,2218,male,1.899999976,,,"Georges Bank, 1985-90",USA,
69,Gadus,morhua,Gadus morhua,2218,male,2.200000048,,,Kiel Bay,Germany,
69,Gadus,morhua,Gadus morhua,2218,male,2.200000048,1,3,"Baltic, ICES SD 22 + 24",Germany,
69,Gadus,morhua,Gadus morhua,2218,male,2.299999952,,,"Gulf of Maine, 1985-90",USA,
69,Gadus,morhua,Gadus morhua,2218,unsexed,,3,4,North Sea,,"Also Ref. 11063, 11264."
69,Gadus,morhua,Gadus morhua,2218,unsexed,,6,15,Iceland,Iceland,"Weight of 3,000-8,000g (Ref. 35388)."
69,Gadus,morhua,Gadus morhua,2218,unsexed,,6,15,Newfoundland,Can Newfounl,"Weight of 3,000-8,000g (Ref. 35388)."
69,Gadus,morhua,Gadus morhua,2218,unsexed,,6,15,Norway,Norway,"Weight of 3,000-8,000g (Ref. 35388)."
69,Gadus,morhua,Gadus morhua,2218,unsexed,2.5,,,Irish Sea,Ireland,Data sources: various ICES reports cited in Ref. 27256.
69,Gadus,morhua,Gadus morhua,2218,unsexed,2.5,2,4,"Baltic, ICES SD 25-32",Germany,tm and Lm estimated from graphs
69,Gadus,morhua,Gadus morhua,2218,unsexed,3.799999952,,,North Sea,,
69,Gadus,morhua,Gadus morhua,2218,unsexed,7.800000191,3,4,east Iceland,Iceland,
69,Gadus,morhua,Gadus morhua,2218,unsexed,8.5,5,,east Greenland,Greenland,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,female,,2,3,not specified,Canada,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,female,,4,9,Northwest Pacific,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,female,,5,7,Eastern Kamchatka,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,female,,5,7,Eastern Sea of Okhotks,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,female,,5,7,southwestern Bering Sea,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,female,,5,7,western Bering Sea,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,female,5.800000191,,,Bering Sea and Aleutian Islands,Alaska,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,male,,3,8,Northwest Pacific,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,male,,5,6,Eastern Kamchatka,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,male,,5,6,Eastern Sea of Okhotsk,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,male,,5,6,southwestern Bering Sea,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,male,,5,6,western Bering Sea,Russian Fed,
308,Gadus,macrocephalus,Gadus macrocephalus,3011,unsexed,,2,3,Washington,USA,
309,Gadus,ogac,Gadus ogac,2219,unsexed,,3,4,Not specified,,
886,Galeocerdo,cuvier,Galeocerdo cuvier,2818,female,,4,6,Not specified.,Micronesia,
886,Galeocerdo,cuvier,Galeocerdo cuvier,2818,female,9,8,11,Not given.,,
886,Galeocerdo,cuvier,Galeocerdo cuvier,2818,male,,4,6,Not specified.,,
886,Galeocerdo,cuvier,Galeocerdo cuvier,2818,mixed,8,,,Northwestern Gulf of Mexico,USA,
886,Galeocerdo,cuvier,Galeocerdo cuvier,2818,mixed,10,,,off Virginia,USA,
2420,Gasterosteus,aculeatus aculeatus,Gasterosteus aculeatus aculeatus,#N/A,mixed,,1,2,Schleswig-Holstein,Germany,
2420,Gasterosteus,aculeatus aculeatus,Gasterosteus aculeatus aculeatus,#N/A,unsexed,,1,2,Not specified,,Sexual maturity of the anadromous form is more often reached at age 1 (Ref. 28965).
2420,Gasterosteus,aculeatus aculeatus,Gasterosteus aculeatus aculeatus,#N/A,unsexed,2,,,Primorye,Russian Fed,
422,Genyonemus,lineatus,Genyonemus lineatus,3159,unsexed,1,,,California Current Region,,
482,Genypterus,blacodes,Genypterus blacodes,3257,unsexed,,5,7,southern coasts,Australia,
485,Genypterus,capensis,Genypterus capensis,3259,unsexed,,4,5,Not stated.,,
3594,Girella,nigricans,Girella nigricans,18706,unsexed,2.5,,,California Current Region,,
14956,Glaucosoma,hebraicum,Glaucosoma hebraicum,#N/A,female,3,,,"west coast (32°32'S - 28°35'S), 1996-99",Australia,
14956,Glaucosoma,hebraicum,Glaucosoma hebraicum,#N/A,male,3,,,"west coast (32°32'S - 28°35'S), 1996-99",Australia,
