SpecCode,Genus,Species,,,Sex,tm (y),AgeMatMin,AgeMatMax,Locality,Country,Comment
8762,Acipenser,sinensis,Acipenser sinensis,#N/A,female,,14,26,"Yangtze River (below Gezhouba Dam), 1981-82",China Main,
8762,Acipenser,sinensis,Acipenser sinensis,#N/A,male,,9,18,"Yangtze River (below Gezhouba Dam), 1981-82",China Main,
9763,Acipenser,persicus,Acipenser persicus,#N/A,female,,12,18,Caspian Sea,,
9763,Acipenser,persicus,Acipenser persicus,#N/A,male,,8,15,Caspian Sea,,
1250,Aetobatus,narinari,Aetobatus narinari,#N/A,unsexed,,4,6,Not stated.,,
36,Agonus,cataphractus,Agonus cataphractus,#N/A,unsexed,,1,2,Not given.,,
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,male,,5,9,Northwest Pacific,Russian Fed,
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,unsexed,,6,10,Sea of Okhotsk,Russian Fed,
8435,Albatrossia,pectoralis,Albatrossia pectoralis,#N/A,unsexed,,6,11,Northwest Pacific,Russian Fed,
228,Albula,vulpes,Albula vulpes,2076,female,1,,,Southern Florida,USA,
228,Albula,vulpes,Albula vulpes,2076,female,4.199999809,,,Florida Keys,USA,"Maturity estimates not presented in Ref. 32350, although histological examination of gonads reported."
228,Albula,vulpes,Albula vulpes,2076,male,3.599999905,,,Florida Keys,USA,"Maturity estimates not presented in Ref. 32350, although histological examination of gonads reported."
12962,Allocyttus,niger,Allocyttus niger,2253,unsexed,27,,,Chatham Rise and Puysegur-Snares,New Zealand,
2534,Alopias,superciliosus,Alopias superciliosus,2795,female,,8.399999619,14.60000038,"Northeastern waters, 1993-94",Taiwan,OT refers to precaudal length.
2534,Alopias,superciliosus,Alopias superciliosus,2795,male,,7,13,"Northeastern waters, 1993-94",Taiwan,OT refers to precaudal length.
2535,Alopias,vulpinus,Alopias vulpinus,2008,female,5.300000191,,,California / Oregon,USA,Using the mean of the first quartile of 19 drift-net-caught females with fetuses or egg capsules present in the uteri.
2535,Alopias,vulpinus,Alopias vulpinus,2008,male,4.800000191,,,California / Oregon,USA,Presence of seminal fluid and calcification in male claspers.
5891,Alopias,pelagicus,Alopias pelagicus,2009,female,,8,9.199999809,Northeastern waters,Taiwan,
5891,Alopias,pelagicus,Alopias pelagicus,2009,male,,7,8,Northeastern waters,Taiwan,
101,Alosa,alosa,Alosa alosa,2890,female,,3,6,Gironde estuary,France,
101,Alosa,alosa,Alosa alosa,2890,female,,4,6,"Solway Firth, 1989-94",UK Scotland,
101,Alosa,alosa,Alosa alosa,2890,male,,2,5,Gironde estuary,France,
101,Alosa,alosa,Alosa alosa,2890,male,,3,5,"Solway Firth, 1989-94",UK Scotland,
101,Alosa,alosa,Alosa alosa,2890,male,,3,9,not specified,,Females first reproduce 1-3 years later than males.
101,Alosa,alosa,Alosa alosa,2890,unsexed,3.5,,,France,France,
105,Alosa,immaculata,Alosa immaculata,#N/A,unsexed,,1,3,Black Sea,Bulgaria,98.6% are mature at 3 yrs. at a mean length of 23.4 cm.
1574,Alosa,aestivalis,Alosa aestivalis,2082,female,4,,,Connecticut waters,USA,
1574,Alosa,aestivalis,Alosa aestivalis,2082,male,,3,4,Connecticut waters,USA,
1577,Alosa,caspia caspia,Alosa caspia caspia,#N/A,female,,4,5,Caspian Sea,,
1577,Alosa,caspia caspia,Alosa caspia caspia,#N/A,male,,2,3,Caspian Sea,,
