ISSCAAP_species,Species_AFSIS,CommName,best_fit_AgCommodity_0711,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,yrs_missing,Years,Wted_avg_sp_price,Five_yr_stock_price,New_Five_yr_stock_price
"Flounders, halibuts, soles",Hippoglossoides platessoides,Amer. plaice(=Long rough dab),Plaices,1208.026658,1221.838034,1205.956491,1243.036352,1354.156995,1529.273441,1586.299144,1386.250745,1514.354583,1545.700167,1695.593362,1902.156476,12,2006-2010,3421,3421,1545.6396
"Flounders, halibuts, soles",Hippoglossus hippoglossus,Atlantic halibut,Atlantic halibut,2350.344753,2798.342387,2793.691254,3054.271748,3499.081546,4612.997928,5448.30203,6874.906675,7090.472246,6578.181491,6893.65769,8273.571101,0,2006-2010,8255,"5,621-11,002",6577.104026
"Flounders, halibuts, soles",Hippoglossus stenolepis,Pacific halibut,Pacific halibut,4789.817711,4379.2836,2895.894361,5210.603086,5916.95487,5793.431731,6669.43993,7399.884144,8036.421485,6913.47514,8859.13429,10570.94406,0,2008-2012,8254,8254,8594.993745
"Flounders, halibuts, soles",Lepidopsetta bilineata,Rock sole,Soles,1181.42588,1001.211063,1090.180971,1129.514226,1035.227427,896.5770053,1041.104966,1023.937357,1215.804883,917.747972,914.1343609,1039.537991,16,2006-2010,765,765,1022.545908
"Flounders, halibuts, soles",Limanda aspera,Yellowfin sole,Yellowfin sole,584.7574113,602.9122132,545.2325777,541.3744145,665.8541271,570.378028,667.6428596,814.9236706,809.6653419,644.5679308,682.8355896,736.9960946,22,2008-2012,336,336,718.5162392
"Flounders, halibuts, soles",Limanda ferruginea,Yellowtail flounder,Flounder,1777.660547,1684.776245,1805.215163,1958.957498,2013.339319,1695.900435,1760.078786,2453.836988,2709.899488,2335.36666,2390.732059,2202.410812,0,2006-2010,3441,"3,439-3,449",2329.982796
"Flounders, halibuts, soles",Microstomus pacificus,Dover sole,Soles,1181.42588,1001.211063,1090.180971,1129.514226,1035.227427,896.5770053,1041.104966,1023.937357,1215.804883,917.747972,914.1343609,1039.537991,16,2008-2012; 2006-2010,778,184-824,1025.377922
"Flounders, halibuts, soles",Platichthys stellatus,Starry flounder,Flounder,1777.660547,1684.776245,1805.215163,1958.957498,2013.339319,1695.900435,1760.078786,2453.836988,2709.899488,2335.36666,2390.732059,2202.410812,0,2008-2012,1352,"943-1,700",2409.602255
"Flounders, halibuts, soles",Pleuronectes platessa,European plaice,European plaice,1027.322481,1037.228645,1204.970799,1640.919573,1777.898378,1819.558281,1989.448632,2166.969617,2431.779178,2071.296424,1833.299947,2046.028921,0,2007-2011,2160,"2,149-2,342",2109.874817
"Flounders, halibuts, soles",Pseudopleuronectes americanus,Winter flounder,Flounder,1777.660547,1684.776245,1805.215163,1958.957498,2013.339319,1695.900435,1760.078786,2453.836988,2709.899488,2335.36666,2390.732059,2202.410812,0,2006-2010,4250,"4,247-4,254",2329.982796
