SciName,CommName,family,order
Bothus constellatus,Pacific eyed flounder,Bothidae,PLEURONECTIFORMES
Bothus lunatus,,Bothidae,PLEURONECTIFORMES
Bothus maculiferus,Mottled flounder,Bothidae,PLEURONECTIFORMES
Bothus pantherinus,Leopard flounder,Bothidae,PLEURONECTIFORMES
Bothus mancus,,Bothidae,PLEURONECTIFORMES
Bothus ocellatus,Eyed flounder,Bothidae,PLEURONECTIFORMES
Chascanopsetta crumenalis,,Bothidae,PLEURONECTIFORMES
Chascanopsetta lugubris,Pelican flounder,Bothidae,PLEURONECTIFORMES
Monolene antillarum,Slim flounder,Bothidae,PLEURONECTIFORMES
Monolene mertensi,Martens’ moonflounder,Bothidae,PLEURONECTIFORMES
Engyprosopon grandisquama,Largescale flounder,Bothidae,PLEURONECTIFORMES
Laeops clarus,Clear fin-base flounder,Bothidae,PLEURONECTIFORMES
Laeops guentheri,Günther's flounder,Bothidae,PLEURONECTIFORMES
Grammatobothus polyophthalmus,Threespot flounder,Bothidae,PLEURONECTIFORMES
Acanthopsetta nadeshnyi,Scale-eye plaice,Pleuronectidae,PLEURONECTIFORMES
Hippoglossus hippoglossus,Atlantic halibut,Pleuronectidae,PLEURONECTIFORMES
Hippoglossus stenolepis,Pacific halibut,Pleuronectidae,PLEURONECTIFORMES
Azygopus pinnifasciatus,Banded-fin flounder,Pleuronectidae,PLEURONECTIFORMES
Pleuronectes platessa,European plaice,Pleuronectidae,PLEURONECTIFORMES
Pleuronectes glacialis,Arctic flounder,Pleuronectidae,PLEURONECTIFORMES
Pleuronectes quadrituberculat.,Alaska plaice,Pleuronectidae,PLEURONECTIFORMES
Pleuronectes orbignyana,,Pleuronectidae,PLEURONECTIFORMES
Pleuronectes putnami,,Pleuronectidae,PLEURONECTIFORMES
Pleuronectes schrenki,Cresthead flounder,Pleuronectidae,PLEURONECTIFORMES
Pleuronectes vetulus,English sole,Pleuronectidae,PLEURONECTIFORMES
Reinhardtius hippoglossoides,Greenland halibut,Pleuronectidae,PLEURONECTIFORMES
Dexistes rikuzenius,Rikuzen flounder,Pleuronectidae,PLEURONECTIFORMES
Embassichthys bathybius,Deep-sea sole,Pleuronectidae,PLEURONECTIFORMES
Atheresthes stomias,Arrow-tooth flounder,Pleuronectidae,PLEURONECTIFORMES
Atheresthes evermanni,Kamchatka flounder,Pleuronectidae,PLEURONECTIFORMES
Eopsetta jordani,Petrale sole,Pleuronectidae,PLEURONECTIFORMES
Eopsetta grigorjewi,Shotted halibut,Pleuronectidae,PLEURONECTIFORMES
Glyptocephalus cynoglossus,Witch flounder,Pleuronectidae,PLEURONECTIFORMES
Glyptocephalus zachirus,Rex sole,Pleuronectidae,PLEURONECTIFORMES
Glyptocephalus kitaharai,Willowy flounder,Pleuronectidae,PLEURONECTIFORMES
Marleyella bicolorata,Comb flounder,Pleuronectidae,PLEURONECTIFORMES
Hippoglossoides platessoides,Amer. plaice(=Long rough dab),Pleuronectidae,PLEURONECTIFORMES
Hippoglossoides dubius,Flathead flounder,Pleuronectidae,PLEURONECTIFORMES
Hippoglossoides elassodon,Flathead sole,Pleuronectidae,PLEURONECTIFORMES
Nematops chui,Narrow-body righteye flounder,Pleuronectidae,PLEURONECTIFORMES
Paralichthodes algoensis,Peppered flounder,Pleuronectidae,PLEURONECTIFORMES
Pelotretis flavilatus,Southern lemon sole,Pleuronectidae,PLEURONECTIFORMES
Peltorhamphus latus,Speckled sole,Pleuronectidae,PLEURONECTIFORMES
Peltorhamphus novaezeelandiae,New Zealand sole,Pleuronectidae,PLEURONECTIFORMES
Ammotretis lituratus,Tudor's flounder,Pleuronectidae,PLEURONECTIFORMES
Ammotretis rostratus,Longsnout flounder,Pleuronectidae,PLEURONECTIFORMES
Limanda aspera,Yellowfin sole,Pleuronectidae,PLEURONECTIFORMES
Limanda ferruginea,Yellowtail flounder,Pleuronectidae,PLEURONECTIFORMES
Limanda limanda,Common dab,Pleuronectidae,PLEURONECTIFORMES
Limanda proboscidea,Longhead dab,Pleuronectidae,PLEURONECTIFORMES
Limanda punctatissima,,Pleuronectidae,PLEURONECTIFORMES
Limanda sakhalinensis,Sakhalin sole,Pleuronectidae,PLEURONECTIFORMES
Clidoderma asperrimum,,Pleuronectidae,PLEURONECTIFORMES
Psammodiscus ocellatus,,Pleuronectidae,PLEURONECTIFORMES
Lepidopsetta bilineata,Rock sole,Pleuronectidae,PLEURONECTIFORMES
Lepidopsetta mochigarei,Dusky sole,Pleuronectidae,PLEURONECTIFORMES
Lepidopsetta polyxystra,Northern rock sole,Pleuronectidae,PLEURONECTIFORMES
Lyopsetta exilis,Slender sole,Pleuronectidae,PLEURONECTIFORMES
Microstomus achne,Slime flounder,Pleuronectidae,PLEURONECTIFORMES
Microstomus pacificus,Dover sole,Pleuronectidae,PLEURONECTIFORMES
Microstomus kitt,Lemon sole,Pleuronectidae,PLEURONECTIFORMES
Taratretis derwentensis,Derwent flounder,Pleuronectidae,PLEURONECTIFORMES
Platichthys flesus,European flounder,Pleuronectidae,PLEURONECTIFORMES
Platichthys bicoloratus,Stone flounder,Pleuronectidae,PLEURONECTIFORMES
Platichthys stellatus,Starry flounder,Pleuronectidae,PLEURONECTIFORMES
Psettichthys melanostictus,Pacific sand sole,Pleuronectidae,PLEURONECTIFORMES
Pseudopleuronectes herzenst.,Yellow striped flounder,Pleuronectidae,PLEURONECTIFORMES
Pseudopleuronectes americanus,Winter flounder,Pleuronectidae,PLEURONECTIFORMES
Pseudopleuronectes yokohamae,Marbled flounder,Pleuronectidae,PLEURONECTIFORMES
Pseudopleuronectes obscurus,,Pleuronectidae,PLEURONECTIFORMES
Oncopterus darwinii,Remo flounder,Pleuronectidae,PLEURONECTIFORMES
Rhombosolea plebeia,Sand flounder,Pleuronectidae,PLEURONECTIFORMES
Rhombosolea tapirina,Greenback flounder,Pleuronectidae,PLEURONECTIFORMES
Rhombosolea leporina,Yellowbelly flounder,Pleuronectidae,PLEURONECTIFORMES
Verasper moseri,Barfin flounder,Pleuronectidae,PLEURONECTIFORMES
Verasper variegatus,Spotted halibut,Pleuronectidae,PLEURONECTIFORMES
Pleuronichthys cornutus,Ridged-eye flounder,Pleuronectidae,PLEURONECTIFORMES
Pleuronichthys decurrens,Curlfin sole,Pleuronectidae,PLEURONECTIFORMES
Pleuronichthys verticalis,Hornyhead turbot,Pleuronectidae,PLEURONECTIFORMES
Pleuronichthys coenosus,C-O sole,Pleuronectidae,PLEURONECTIFORMES
Pleuronichthys guttulatus,Diamond turbot,Pleuronectidae,PLEURONECTIFORMES
Cleisthenes pinetorum,Sôhachi,Pleuronectidae,PLEURONECTIFORMES
Isopsetta isolepis,Butter sole,Pleuronectidae,PLEURONECTIFORMES
Colistium guntheri,,Pleuronectidae,PLEURONECTIFORMES
Colistium nudipinnis,,Pleuronectidae,PLEURONECTIFORMES
Poecilopsetta albomaculata,,Pleuronectidae,PLEURONECTIFORMES
Poecilopsetta colorata,Coloured righteye flounder,Pleuronectidae,PLEURONECTIFORMES
Achlyopa nigra,Black sole,Soleidae,PLEURONECTIFORMES
Bathysolea lactea,,Soleidae,PLEURONECTIFORMES
Bathysolea polli,,Soleidae,PLEURONECTIFORMES
Bathysolea profundicola,Deep water sole,Soleidae,PLEURONECTIFORMES
Buglossidium luteum,Solenette,Soleidae,PLEURONECTIFORMES
Dagetichthys lakdoensis,,Soleidae,PLEURONECTIFORMES
Dexillus muelleri,Tufted sole,Soleidae,PLEURONECTIFORMES
Liachirus melanospilus,,Soleidae,PLEURONECTIFORMES
Solea solea,Common sole,Soleidae,PLEURONECTIFORMES
Solea lascaris,Sand sole,Soleidae,PLEURONECTIFORMES
Solea humilis,,Soleidae,PLEURONECTIFORMES
Solea ovata,Ovate sole,Soleidae,PLEURONECTIFORMES
Solea senegalensis,Senegalese sole,Soleidae,PLEURONECTIFORMES
Solea bleekeri,Blackhand sole,Soleidae,PLEURONECTIFORMES
Solea impar,Adriatic sole,Soleidae,PLEURONECTIFORMES
Solea nasuta,Snouted sole,Soleidae,PLEURONECTIFORMES
Solea aegyptiaca,Egyptian sole,Soleidae,PLEURONECTIFORMES
Solea elongata,Elongate sole,Soleidae,PLEURONECTIFORMES
Solea stanalandi,Stanaland's sole,Soleidae,PLEURONECTIFORMES
Parachirus xenicus,Dwarf sole,Soleidae,PLEURONECTIFORMES
Phyllichthys punctatus,Spotted sole,Soleidae,PLEURONECTIFORMES
Pseudaesopia japonica,Wavyband sole,Soleidae,PLEURONECTIFORMES
Achiroides leucorhynchos,,Soleidae,PLEURONECTIFORMES
Achiroides melanorhynchus,,Soleidae,PLEURONECTIFORMES
Rhinosolea microlepidota,,Soleidae,PLEURONECTIFORMES
Dicologlossa cuneata,Wedge sole,Soleidae,PLEURONECTIFORMES
Dicologlossa hexophthalma,Ocellated wedge sole,Soleidae,PLEURONECTIFORMES
Soleichthys siammakuti,,Soleidae,PLEURONECTIFORMES
Typhlachirus caecus,,Soleidae,PLEURONECTIFORMES
Monochirus hispidus,Whiskered sole,Soleidae,PLEURONECTIFORMES
Vanstraelenia chirophthalmus,African solenette,Soleidae,PLEURONECTIFORMES
Pardachirus pavoninus,Peacock sole,Soleidae,PLEURONECTIFORMES
Pardachirus marmoratus,Finless sole,Soleidae,PLEURONECTIFORMES
Zebrias fasciatus,,Soleidae,PLEURONECTIFORMES
Zebrias zebra,Zebra sole,Soleidae,PLEURONECTIFORMES
Zebrias quagga,Fringefin zebra sole,Soleidae,PLEURONECTIFORMES
Zebrias captivus,Convict zebra sole,Soleidae,PLEURONECTIFORMES
Zebrias synapturoides,Indian zebra sole,Soleidae,PLEURONECTIFORMES
Aesopia cornuta,Unicorn sole,Soleidae,PLEURONECTIFORMES
Heteromycteris japonica,Bamboo sole,Soleidae,PLEURONECTIFORMES
Heteromycteris capensis,Cape sole,Soleidae,PLEURONECTIFORMES
Heteromycteris proboscideus,True sole,Soleidae,PLEURONECTIFORMES
Aseraggodes kaianus,,Soleidae,PLEURONECTIFORMES
Aseraggodes kobensis,,Soleidae,PLEURONECTIFORMES
Aseraggodes macleayanus,Narrowbanded sole,Soleidae,PLEURONECTIFORMES
Aseraggodes cyaneus,,Soleidae,PLEURONECTIFORMES
Synaptura commersonnii,Commerson's sole,Soleidae,PLEURONECTIFORMES
Synaptura marginata,White-margined sole,Soleidae,PLEURONECTIFORMES
Synaptura albomaculata,,Soleidae,PLEURONECTIFORMES
Synaptura lusitanica,Portuguese sole,Soleidae,PLEURONECTIFORMES
Synaptura cadenati,Guinean sole,Soleidae,PLEURONECTIFORMES
Austroglossus microlepis,West coast sole,Soleidae,PLEURONECTIFORMES
Austroglossus pectoralis,Mud sole,Soleidae,PLEURONECTIFORMES
Microchirus azevia,,Soleidae,PLEURONECTIFORMES
Microchirus ocellatus,Foureyed sole,Soleidae,PLEURONECTIFORMES
Microchirus variegatus,Thickback sole,Soleidae,PLEURONECTIFORMES
Microchirus theophila,Bastard sole,Soleidae,PLEURONECTIFORMES
Microchirus boscanion,Lusitanian sole,Soleidae,PLEURONECTIFORMES
Microchirus frechkopi,Frechkop’s sole,Soleidae,PLEURONECTIFORMES
Microchirus wittei,Banded sole,Soleidae,PLEURONECTIFORMES
Euryglossa orientalis,Oriental sole,Soleidae,PLEURONECTIFORMES
Synapturichthys kleinii,Klein's sole,Soleidae,PLEURONECTIFORMES
Pegusa triophthalma,Cyclope sole,Soleidae,PLEURONECTIFORMES
Pegusa cadenati,Cadenat's sole,Soleidae,PLEURONECTIFORMES
Brachirus orientalis,,Soleidae,PLEURONECTIFORMES
Cynoglossus robustus,,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus bilineatus,Fourlined tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus dubius,Carrot tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus lingua,Long tongue sole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus cynoglossus,Bengal tongue sole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus microlepis,,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus puncticeps,Speckled tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus interruptus,Genko sole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus arel,Largescale tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus semifasciatus,Bengal toungesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus joyneri,Red tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus macrostomus,Malabar tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus semilaevis,,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus canariensis,Canary tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus abbreviatus,Three-lined tounge sole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus senegalensis,Senegalese tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus lida,Roughscale tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus zanzibarensis,Zanzibar tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus browni,Nigerian tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus cadenati,Ghanian tonguesole,Cynoglossidae,PLEURONECTIFORMES
Cynoglossus monodi,Guinean tonguesole,Cynoglossidae,PLEURONECTIFORMES
Paraplagusia blochii,,Cynoglossidae,PLEURONECTIFORMES
Paraplagusia bilineata,Doublelined tonguesole,Cynoglossidae,PLEURONECTIFORMES
Symphurus strictus,Blackbelly tonguesole,Cynoglossidae,PLEURONECTIFORMES
Symphurus orientalis,,Cynoglossidae,PLEURONECTIFORMES
Symphurus atricaudus,California tonguefish,Cynoglossidae,PLEURONECTIFORMES
Symphurus plagusia,Duskycheek tonguefish,Cynoglossidae,PLEURONECTIFORMES
Symphurus ginsburgi,Ginsburg's tonguefish,Cynoglossidae,PLEURONECTIFORMES
Symphurus ligulatus,Elongate tonguesole,Cynoglossidae,PLEURONECTIFORMES
Symphurus plagiusa,Blackcheek tonguefish,Cynoglossidae,PLEURONECTIFORMES
Symphurus tessellatus,,Cynoglossidae,PLEURONECTIFORMES
Symphurus vanmelleae,Vanmelle’s tonguefish,Cynoglossidae,PLEURONECTIFORMES
Symphurus macrophthalmus,,Cynoglossidae,PLEURONECTIFORMES
Phrynorhombus norvegicus,Norwegian topknot,Scophthalmidae,PLEURONECTIFORMES
Lepidorhombus whiffiagonis,Megrim,Scophthalmidae,PLEURONECTIFORMES
Lepidorhombus boscii,Four-spot megrim,Scophthalmidae,PLEURONECTIFORMES
Zeugopterus punctatus,Topknot,Scophthalmidae,PLEURONECTIFORMES
Scophthalmus rhombus,Brill,Scophthalmidae,PLEURONECTIFORMES
Scophthalmus aquosus,Windowpane flounder,Scophthalmidae,PLEURONECTIFORMES
Psetta maxima,Turbot,Scophthalmidae,PLEURONECTIFORMES
Citharus linguatula,Spotted flounder,Citharidae,PLEURONECTIFORMES
Brachypleura novaezeelandiae,Yellow-dabbled flounder,Citharidae,PLEURONECTIFORMES
Citharoides axillaris,,Citharidae,PLEURONECTIFORMES
Citharoides macrolepidotus,Branched ray flounder,Citharidae,PLEURONECTIFORMES
Citharoides macrolepis,Twospot largescale flounder,Citharidae,PLEURONECTIFORMES
Lepidoblepharon ophthalmolepis,Scale-eyed flounder,Citharidae,PLEURONECTIFORMES
Psettodes erumei,Indian halibut,Psettodidae,PLEURONECTIFORMES
Psettodes belcheri,Spottail spiny turbot,Psettodidae,PLEURONECTIFORMES
Psettodes bennettii,Spiny turbot,Psettodidae,PLEURONECTIFORMES
Ancylopsetta cycloidea,Cyclope flounder,Paralichthyidae,PLEURONECTIFORMES
Ancylopsetta dendritica,Three-spot flounder,Paralichthyidae,PLEURONECTIFORMES
Gastropsetta frontalis,Shrimp flounder,Paralichthyidae,PLEURONECTIFORMES
Tarphops elegans,,Paralichthyidae,PLEURONECTIFORMES
Tephrinectes sinensis,,Paralichthyidae,PLEURONECTIFORMES
Xystreurys liolepis,Fantail flounder,Paralichthyidae,PLEURONECTIFORMES
Citharichthys gilberti,Bigmouth sanddab,Paralichthyidae,PLEURONECTIFORMES
Citharichthys sordidus,Pacific sanddab,Paralichthyidae,PLEURONECTIFORMES
Citharichthys stigmaeus,Speckled sanddab,Paralichthyidae,PLEURONECTIFORMES
Citharichthys stampflii,Smooth flounder,Paralichthyidae,PLEURONECTIFORMES
Citharichthys arctifrons,Gulf Stream flounder,Paralichthyidae,PLEURONECTIFORMES
Citharichthys arenaceus,Sand whiff,Paralichthyidae,PLEURONECTIFORMES
Citharichthys gymnorhinus,Anglefin whiff,Paralichthyidae,PLEURONECTIFORMES
Citharichthys spilopterus,Bay whiff,Paralichthyidae,PLEURONECTIFORMES
Cyclopsetta querna,Toothed flounder,Paralichthyidae,PLEURONECTIFORMES
Cyclopsetta panamensis,God's flounder,Paralichthyidae,PLEURONECTIFORMES
Cyclopsetta chittendeni,Mexican flounder,Paralichthyidae,PLEURONECTIFORMES
Etropus intermedius,,Paralichthyidae,PLEURONECTIFORMES
Etropus crossotus,Fringed flounder,Paralichthyidae,PLEURONECTIFORMES
Etropus peruvianus,Peruvian flounder,Paralichthyidae,PLEURONECTIFORMES
Etropus microstomus,Smallmouth flounder,Paralichthyidae,PLEURONECTIFORMES
Hippoglossina macrops,Bigeye flounder,Paralichthyidae,PLEURONECTIFORMES
Hippoglossina stomata,Bigmouth flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys olivaceus,Bastard halibut,Paralichthyidae,PLEURONECTIFORMES
Paralichthys brasiliensis,Brazilian flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys californicus,California flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys woolmani,Speckled flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys dentatus,Summer flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys oblongus,Fourspot flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys albigutta,Gulf flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys lethostigma,Southern flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys adspersus,Fine flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys patagonicus,Patagonian flounder,Paralichthyidae,PLEURONECTIFORMES
Paralichthys isosceles,,Paralichthyidae,PLEURONECTIFORMES
Pseudorhombus elevatus,Deep flounder,Paralichthyidae,PLEURONECTIFORMES
Pseudorhombus oligodon,Roughscale flounder,Paralichthyidae,PLEURONECTIFORMES
Pseudorhombus arsius,Largetooth flounder,Paralichthyidae,PLEURONECTIFORMES
Pseudorhombus javanicus,Javan flounder,Paralichthyidae,PLEURONECTIFORMES
Pseudorhombus cinnamoneus,Cinnamon flounder,Paralichthyidae,PLEURONECTIFORMES
Pseudorhombus pentophthalmus,Fivespot flounder,Paralichthyidae,PLEURONECTIFORMES
Pseudorhombus triocellatus,Three spotted flounder,Paralichthyidae,PLEURONECTIFORMES
Pseudorhombus malayanus,Malayan flounder,Paralichthyidae,PLEURONECTIFORMES
Syacium gunteri,Shoal flounder,Paralichthyidae,PLEURONECTIFORMES
Syacium latifrons,Beach flounder,Paralichthyidae,PLEURONECTIFORMES
Syacium micrurum,Channel flounder,Paralichthyidae,PLEURONECTIFORMES
Syacium papillosum,Dusky flounder,Paralichthyidae,PLEURONECTIFORMES
Syacium guineensis,Papillose flounder,Paralichthyidae,PLEURONECTIFORMES
Cephalopsetta ventrocellatus,,Paralichthyidae,PLEURONECTIFORMES
Achirus achirus,Drab sole,Achiridae,PLEURONECTIFORMES
Achirus lineatus,Lined sole,Achiridae,PLEURONECTIFORMES
Achirus mazatlanus,Mazatlan sole,Achiridae,PLEURONECTIFORMES
Gymnachirus melas,,Achiridae,PLEURONECTIFORMES
Trinectes maculatus,Hogchoker,Achiridae,PLEURONECTIFORMES
Apionichthys dumerili,Longtail sole,Achiridae,PLEURONECTIFORMES
Catathyridium jenynsii,,Achiridae,PLEURONECTIFORMES
Achiropsetta slavae,,Achiropsettidae,PLEURONECTIFORMES
Achiropsetta tricholepis,,Achiropsettidae,PLEURONECTIFORMES
Mancopsetta maculata,Antarctic armless flounder,Achiropsettidae,PLEURONECTIFORMES
Mancopsetta milfordi,Finless flounder,Achiropsettidae,PLEURONECTIFORMES
Pseudomancopsetta andriashevi,,Achiropsettidae,PLEURONECTIFORMES
Plagiopsetta glossa,Tongue flatfish,Samaridae,PLEURONECTIFORMES
Samaris cristatus,Cockatoo righteye flounder,Samaridae,PLEURONECTIFORMES
Samariscus huysmani,Huysman's righteye flounder,Samaridae,PLEURONECTIFORMES
Arnoglossus spp,Scaldfishes nei,Bothidae,PLEURONECTIFORMES
Bothidae,Lefteye flounders nei,Bothidae,PLEURONECTIFORMES
Limanda spp,Limandas nei,Pleuronectidae,PLEURONECTIFORMES
Rhombosolea spp,Sand flounders nei,Pleuronectidae,PLEURONECTIFORMES
Pleuronectidae,Righteye flounders nei,Pleuronectidae,PLEURONECTIFORMES
Solea spp,,Soleidae,PLEURONECTIFORMES
Austroglossus spp,Southeast Atlantic soles nei,Soleidae,PLEURONECTIFORMES
Microchirus spp,Thickback soles nei,Soleidae,PLEURONECTIFORMES
Soleidae,Soles nei,Soleidae,PLEURONECTIFORMES
Cynoglossus spp,Tonguesole nei,Cynoglossidae,PLEURONECTIFORMES
Cynoglossidae,Tonguefishes,Cynoglossidae,PLEURONECTIFORMES
Lepidorhombus spp,Megrims nei,Scophthalmidae,PLEURONECTIFORMES
Scophthalmidae,Turbots nei,Scophthalmidae,PLEURONECTIFORMES
Citharidae,Citharids nei,Citharidae,PLEURONECTIFORMES
Psettodidae,Spiny turbots nei,Psettodidae,PLEURONECTIFORMES
Paralichthys spp,Bastard halibuts nei,Paralichthyidae,PLEURONECTIFORMES
Pseudorhombus spp,,Paralichthyidae,PLEURONECTIFORMES
Pleuronectiformes,Flatfishes nei,,PLEURONECTIFORMES
Muraenolepis microps,Smalleye moray cod,Muraenolepididae,GADIFORMES
Muraenolepis marmoratus,Marbled moray cod,Muraenolepididae,GADIFORMES
Muraenolepis microcephalus,Smallhead moray cod,Muraenolepididae,GADIFORMES
Muraenolepis orangiensis,Patagonian moray cod,Muraenolepididae,GADIFORMES
Muraenolepis andriashevi,,Muraenolepididae,GADIFORMES
Auchenoceros punctatus,Ahuru,Moridae,GADIFORMES
Austrophycis marginata,Dwarf codling,Moridae,GADIFORMES
Eeyorius hutchinsi,Tasmanian codling,Moridae,GADIFORMES
Gadella imberbis,Beardless codling,Moridae,GADIFORMES
Gadella maraldi,Gadella,Moridae,GADIFORMES
Halargyreus johnsonii,Slender codling,Moridae,GADIFORMES
Laemonema longipes,Longfin codling,Moridae,GADIFORMES
Laemonema laureysi,Guinean codling,Moridae,GADIFORMES
Laemonema yarrelli,Codling,Moridae,GADIFORMES
Lotella phycis,Beardie,Moridae,GADIFORMES
Microlepidium verecundum,Bighead mora,Moridae,GADIFORMES
Momonatira globosus,Tadpole cod,Moridae,GADIFORMES
Mora moro,Common mora,Moridae,GADIFORMES
Physiculus dalwigki,Black codling,Moridae,GADIFORMES
Physiculus japonica,Japanese codling,Moridae,GADIFORMES
Physiculus fulvus,Metallic codling,Moridae,GADIFORMES
Physiculus huloti,Brown codling,Moridae,GADIFORMES
Physiculus natalensis,,Moridae,GADIFORMES
Pseudophycis bachus,Red codling,Moridae,GADIFORMES
Pseudophycis barbata,Southern bastard codling,Moridae,GADIFORMES
Pseudophycis breviuscula,Northern bastard codling,Moridae,GADIFORMES
Rhynchogadus hepaticus,,Moridae,GADIFORMES
Svetovidovia lucullus,,Moridae,GADIFORMES
Tripterophycis gilchristi,Grenadier cod,Moridae,GADIFORMES
Lepidion lepidion,Mediterranean codling,Moridae,GADIFORMES
Lepidion eques,North Atlantic codling,Moridae,GADIFORMES
Lepidion guentheri,,Moridae,GADIFORMES
Lepidion ensiferus,Patagonian codling,Moridae,GADIFORMES
Lepidion microcephalus,Small-headed cod,Moridae,GADIFORMES
Antimora rostrata,Blue antimora,Moridae,GADIFORMES
Salilota australis,Tadpole codling,Moridae,GADIFORMES
Bregmaceros mcclellandi,Unicorn cod,Bregmacerotidae,GADIFORMES
Bregmaceros atlanticus,Antenna codlet,Bregmacerotidae,GADIFORMES
Bregmaceros nectabanus,Smallscale codlet,Bregmacerotidae,GADIFORMES
Bregmaceros rarisquamosus,Big-eye unicorn-cod,Bregmacerotidae,GADIFORMES
Brosme brosme,Tusk(=Cusk),Gadidae,GADIFORMES
Gadus morhua,Atlantic cod,Gadidae,GADIFORMES
Gadus macrocephalus,Pacific cod,Gadidae,GADIFORMES
Gadus ogac,Greenland cod,Gadidae,GADIFORMES
Molva molva,Ling,Gadidae,GADIFORMES
Molva dypterygia,Blue ling,Gadidae,GADIFORMES
Molva macrophthalma,Spanish ling,Gadidae,GADIFORMES
Phycis blennoides,Greater forkbeard,Gadidae,GADIFORMES
Phycis phycis,Forkbeard,Gadidae,GADIFORMES
Phycis chesteri,Longfin hake,Gadidae,GADIFORMES
Urophycis brasiliensis,Brazilian codling,Gadidae,GADIFORMES
Urophycis chuss,Red hake,Gadidae,GADIFORMES
Urophycis tenuis,White hake,Gadidae,GADIFORMES
Urophycis earllii,Carolina hake,Gadidae,GADIFORMES
Urophycis floridana,Southern codling,Gadidae,GADIFORMES
Urophycis regia,Spotted codling,Gadidae,GADIFORMES
Urophycis cirrata,Gulf hake,Gadidae,GADIFORMES
Melanogrammus aeglefinus,Haddock,Gadidae,GADIFORMES
Raniceps raninus,Tadpole fish,Gadidae,GADIFORMES
Eleginus navaga,Navaga(=Wachna cod),Gadidae,GADIFORMES
Eleginus gracilis,Saffron cod,Gadidae,GADIFORMES
Microgadus proximus,Pacific tomcod,Gadidae,GADIFORMES
Microgadus tomcod,Atlantic tomcod,Gadidae,GADIFORMES
Pollachius virens,Saithe(=Pollock),Gadidae,GADIFORMES
Pollachius pollachius,Pollack,Gadidae,GADIFORMES
Theragra chalcogramma,Alaska pollock(=Walleye poll.),Gadidae,GADIFORMES
Theragra finnmarchica,Norwegian pollock,Gadidae,GADIFORMES
Boreogadus saida,Polar cod,Gadidae,GADIFORMES
Arctogadus glacialis,Artic cod,Gadidae,GADIFORMES
Arctogadus borisovi,East Siberian cod,Gadidae,GADIFORMES
Gadiculus argenteus,Silvery pout,Gadidae,GADIFORMES
Gaidropsarus ensis,Threadfin rockling,Gadidae,GADIFORMES
Gaidropsarus argentatus,Arctic rockling,Gadidae,GADIFORMES
Gaidropsarus biscayensis,Mediterranean bigeye rockling,Gadidae,GADIFORMES
Gaidropsarus macrophthalmus,Bigeye rockling,Gadidae,GADIFORMES
Gaidropsarus mediterraneus,Shore rockling,Gadidae,GADIFORMES
Gaidropsarus vulgaris,Three-bearded rockling,Gadidae,GADIFORMES
Ciliata mustela,Fivebeard rockling,Gadidae,GADIFORMES
Ciliata septentrionalis,Northern rockling,Gadidae,GADIFORMES
Trisopterus esmarkii,Norway pout,Gadidae,GADIFORMES
Trisopterus minutus,Poor cod,Gadidae,GADIFORMES
Trisopterus luscus,Pouting(=Bib),Gadidae,GADIFORMES
Micromesistius poutassou,Blue whiting(=Poutassou),Gadidae,GADIFORMES
Micromesistius australis,Southern blue whiting,Gadidae,GADIFORMES
Merlangius merlangus,Whiting,Gadidae,GADIFORMES
Enchelyopus cimbrius,Fourbeard rockling,Gadidae,GADIFORMES
Lyconus brachycolus,,Merlucciidae,GADIFORMES
Lyconus pinnatus,,Merlucciidae,GADIFORMES
Lyconodes argenteus,,Merlucciidae,GADIFORMES
Merluccius merluccius,European hake,Merlucciidae,GADIFORMES
Merluccius senegalensis,Senegalese hake,Merlucciidae,GADIFORMES
Merluccius australis,Southern hake,Merlucciidae,GADIFORMES
