SciName,CommName,family,order
Labeo boga,,Cyprinidae,CYPRINIFORMES
Labeo calbasu,Orangefin labeo,Cyprinidae,CYPRINIFORMES
Labeo dero,,Cyprinidae,CYPRINIFORMES
Labeo dussumieri,,Cyprinidae,CYPRINIFORMES
Labeo fimbriatus,Fringed-lipped peninsula carp,Cyprinidae,CYPRINIFORMES
Labeo gonius,Kuria labeo,Cyprinidae,CYPRINIFORMES
Labeo kontius,,Cyprinidae,CYPRINIFORMES
Labeo microphthalmus,,Cyprinidae,CYPRINIFORMES
Labeo nandina,,Cyprinidae,CYPRINIFORMES
Labeo pangusia,,Cyprinidae,CYPRINIFORMES
Labeo rohita,Roho labeo,Cyprinidae,CYPRINIFORMES
Labeo sindensis,,Cyprinidae,CYPRINIFORMES
Labeo altivelis,Rednose labeo,Cyprinidae,CYPRINIFORMES
Labeo coubie,,Cyprinidae,CYPRINIFORMES
Labeo cylindricus,Redeye labeo,Cyprinidae,CYPRINIFORMES
Labeo darlingi,,Cyprinidae,CYPRINIFORMES
Labeo forskalii,,Cyprinidae,CYPRINIFORMES
Labeo fuelleborni,,Cyprinidae,CYPRINIFORMES
Labeo horie,,Cyprinidae,CYPRINIFORMES
Labeo mesops,,Cyprinidae,CYPRINIFORMES
Labeo niloticus,,Cyprinidae,CYPRINIFORMES
Labeo victorianus,Ningu,Cyprinidae,CYPRINIFORMES
Labeo capensis,Orange River mudfish,Cyprinidae,CYPRINIFORMES
Labeo dyocheilus,,Cyprinidae,CYPRINIFORMES
Labeo rosae,,Cyprinidae,CYPRINIFORMES
Labeo umbratus,Moggel,Cyprinidae,CYPRINIFORMES
Labeo chrysophekadion,Black sharkminnow,Cyprinidae,CYPRINIFORMES
Cirrhinus cirrhosus,,Cyprinidae,CYPRINIFORMES
Cirrhinus molitorella,Mud carp,Cyprinidae,CYPRINIFORMES
Cirrhinus mrigala,Mrigal carp,Cyprinidae,CYPRINIFORMES
Cirrhinus reba,Reba carp,Cyprinidae,CYPRINIFORMES
Cirrhinus microlepis,Small scale mud carp,Cyprinidae,CYPRINIFORMES
Algansea lacustris,Pátzcuaro chub,Cyprinidae,CYPRINIFORMES
Aspidoparia jaya,,Cyprinidae,CYPRINIFORMES
Aspidoparia morar,,Cyprinidae,CYPRINIFORMES
Albulichthys albuloides,,Cyprinidae,CYPRINIFORMES
Catla catla,Catla,Cyprinidae,CYPRINIFORMES
Catlocarpio siamensis,Giant barb,Cyprinidae,CYPRINIFORMES
Chagunius chagunio,,Cyprinidae,CYPRINIFORMES
Chela cachius,,Cyprinidae,CYPRINIFORMES
Chela laubuca,Indian glass barb,Cyprinidae,CYPRINIFORMES
Crossocheilus latius,,Cyprinidae,CYPRINIFORMES
