SpeciesCatName,2012,wt_avg_08to12
"Abalones, winkles, conchs",6200,5979
"Carps, barbels and other cyprinids",990,989
"Clams, cockles, arkshells",975,976
"Cods, hakes, haddocks",1160,1181
"Crabs, sea-spiders",3850,3598
Fish for reduction (a),370,245
"Flounders, halibuts, soles",2600,2552
Freshwater crustaceans,2950,2764
Freshwater molluscs,720,695
"Herrings, sardines, anchovies",380,333
"Lobsters, spiny-rock lobsters",9500,9585
Marine fishes not identified,590,557
Miscellaneous aquatic animals,340,306
Miscellaneous coastal fishes,2520,2411
Miscellaneous demersal fishes,1750,1725
Miscellaneous diadromous fishes,930,918
Miscellaneous freshwater fishes,440,423
Miscellaneous marine crustaceans,2750,2621
Miscellaneous marine molluscs,720,682
Miscellaneous pelagic fishes,550,525
Mussels,430,412
Oysters,1000,916
River eels,5100,4872
"Salmons, trouts, smelts",3300,3069
"Scallops, pectens",1920,1795
Sea-urchins and other echinoderms,2900,2753
Shads,710,705
"Sharks, rays, chimaeras",750,810
"Shrimps, prawns",3700,3592
"Squids, cuttlefishes, octopuses",2000,1883
"Sturgeons, paddlefishes",11500,11667
Tilapias and other cichlids,1040,1022
"Tunas, bonitos, billfishes",2400,1981
