SpeciesCat_ISSCAAP_code,ISSCAAP_Category,Order,Family,Species_AFSIS,CommName
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Phalium granulatum,Grooved helmet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cassidae,Helmets shells nei
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cassis cornuta,Horned helmet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cassis tuberosa,King helmet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Phalium centiquadratum,Pacific Scotch bonnet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cassidaria tyrrhena,Rugose bonnet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Phalium saburon,Saburon helmet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cassidaria echinophora,Spiny bonnet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cassis tessellata,Tessellate helmet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Phalium spp,
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cassis spp,
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Pseudovergatus aluco,Aluco vergatus
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Rhinoclavis fasciata,Banded vertagus
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Cerithium vulgatum,Common cerithe
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Rhinoclavis vertagus,Common vergatus
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Cerithium coralium,Coral cerith
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Cerithium nodulosum,Giant knobbed cerith
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Cerithium rupestre,Mediterranean cerithe
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Clypeomorus batillariaeformis,Necklace cerith
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Rhinoclavis sinensis,Obelisk vergatus
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Rhinoclavis aspera,Rough vergatus
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Cerithium alucastrum,Spicate cerithe
52,"Abalones, winkles, conchs",GASTROPODA,Cerithiidae,Cerithium echinatum,Spinose cerith
52,"Abalones, winkles, conchs",GASTROPODA,Colubrariidae,Colubraria muricata,Maculated dwarf triton
52,"Abalones, winkles, conchs",GASTROPODA,Columbellidae,Pyrene scripta,Dotted dove shell
52,"Abalones, winkles, conchs",GASTROPODA,Columbellidae,Strombina fusinoidea,Slender strombina
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus betulinus,Beech cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conidae,Cone shells nei
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus coronatus,Crowned cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus generalis,General cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus leopardus,Leopard cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus litteratus,Lettered cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus lividus,Livid cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus marmoreus,Marble cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus mus,Mouse cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus quercinus,Oak cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus radiatus,Rayed cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus regius,Royal cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus suratensis,Suratan cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus tessulatus,Tesselate cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus textile,Textile cone
52,"Abalones, winkles, conchs",GASTROPODA,Conidae,Conus flavidus,Yellow Pacific cone
52,"Abalones, winkles, conchs",GASTROPODA,Coralliophilidae,Latiaxis babelis,Babel's latiaxis
52,"Abalones, winkles, conchs",GASTROPODA,Coralliophilidae,Coralliophila alaucoides,Lamellose coral-shell
52,"Abalones, winkles, conchs",GASTROPODA,Coralliophilidae,Coralliophila meyendorffi,Meyendorff's coral shell
52,"Abalones, winkles, conchs",GASTROPODA,Coralliophilidae,Coralliophila brevis,Short coral-shell
52,"Abalones, winkles, conchs",GASTROPODA,Costellariidae,Vexillum vulpeculum,Little-fox miter
52,"Abalones, winkles, conchs",GASTROPODA,Costellariidae,Vexillum rugosum,Rugose iter
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crepidula fornicata,American slipper-limpet
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crucibulum scutellatum,Brown cup-and-saucer
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Calyptraea chinensis,Chinese cup-and-saucer
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crepidula excavata,Excavated slipper shell
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crepidula goreensis,Goree slipper shell
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crepidula unguiformis,Nail-shaped crepidule
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crepidula onyx,Onyx slipper shell
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crepidula gibbosa,Slipper-limpet crepidule
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crepidula aculeata,Spiny slipper shell
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crucibulum spp,
52,"Abalones, winkles, conchs",GASTROPODA,Crepidulidae,Crepidula spp,
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea arabica,Arabian cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea bouteti,Boutet's cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea carneola,Carnelian cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cypraeidae,Cowries nei
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea depressa,Depressed cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea caurica,Dragon cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea eglantina,Eglantine cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea erosa,Eroded cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea argus,Eyed cowie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea annulus,Gold ring cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea histrio,Histrio cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea mauritiana,Humpback cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea isabella,Isabelle cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea scurra,Jester cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea lynx,Lynx cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea mappa,Map cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea talpa,Mole cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea moneta,Money cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea leviathan,Monster cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea onyx,Onyx cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea vitellus,Pacific deer cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea maculifera,Reticulated cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea schilderorum,Schilders' cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea caputserpentis,Serpent's head cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea tigris,Tiger cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Chelycypraea testudinaria,Tortoise cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea ventriculus,Tummy cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Cypraeidae,Cyprea obvelata,Walled cowrie
52,"Abalones, winkles, conchs",GASTROPODA,Dolabellidae,Dolabella auricularia,Shoulderblade sea cat
52,"Abalones, winkles, conchs",GASTROPODA,Dorididae,Doris kerguelenensis,
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Fusinus rostratus,Beaked fusus
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Latirus infundibulum,Brown-lined latirus
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Leucozonia nassa,Chestnut latirus
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Fusinus colus,Distaff spindle
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Fusinus dupetitthouarsi,Du Petit's spindle
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Pleuroploca spp,Horse conches nei
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Latirus polygonus,Many-angled spindle
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Fusinus nicobaricus,Nicobar spindle
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Fusinus closter,Philippi's spindle
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Latirolagena smaragdula,Precious stone shell
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Pleuroploca princeps,Prince horse conch
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Pleuroploca salmo,Salmon horse conch
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Fusinus syracusanus,Syracusan fusus
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Pleuroploca trapezium,Trapezium horse conch
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Fasciolaria tulipa,True tulip
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Fasciolaria lignaria,Wooden fasciolaria
52,"Abalones, winkles, conchs",GASTROPODA,Fasciolariidae,Fasciolaria spp,
52,"Abalones, winkles, conchs",GASTROPODA,Ficidae,Ficus gracilis,Graceful fig shell
52,"Abalones, winkles, conchs",GASTROPODA,Ficidae,Ficus subintermedia,Underlined fig shell
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Fissurella barbadensis,Barbados keyhole limpet
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Fissurella nubecula,Cloudy keyhole limpet
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Fissurella coarctata,Compressed keyhole limpet
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Megathura crenulata,Great keyhole limpet
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Fissurella virescens,Green Panama keyhole limpet
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Diodora listeri,Lister's keyhole limpet
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Fissurella nimbosa,Rayed keyhole limpet
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Stromboli beebei,Stromboli keyhole limpet
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Fissurella spp,
52,"Abalones, winkles, conchs",GASTROPODA,Fissurelidae,Diodora spp,
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis spp,Abalones nei
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis cracherodii,Black abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis rubra,Blacklip abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis asinina,Donkey's ear abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis gigantea,Giant abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis glabra,Glistening abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis laevigata,Greenlip abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis discus,Japanese abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis ovina,Oval abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis midae,Perlemoen abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis corrugata,Pink abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis kamtschatkana,Pinto abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis planata,Planate abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis rufescens,Red abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis roei,Roe's abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis diversicolor,Small abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis fulgens,Southern green abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis assimilis,Threaded abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis tuberculata,Tuberculate abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis varia,Variable abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis sorenseni,White abalone
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis cyclobates,
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis iris,
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis scalaris,
52,"Abalones, winkles, conchs",GASTROPODA,Haliotidae,Haliotis spadicea,
52,"Abalones, winkles, conchs",GASTROPODA,Haminoeidae,Bullacta exarata,Korean mud snail
52,"Abalones, winkles, conchs",GASTROPODA,Harpidae,Harpa articularis,Articulate harp
52,"Abalones, winkles, conchs",GASTROPODA,Harpidae,Harpidae,Harp shells nei
52,"Abalones, winkles, conchs",GASTROPODA,Harpidae,Harpa major,Major harp
52,"Abalones, winkles, conchs",GASTROPODA,Harpidae,Harpa harpa,True harp
52,"Abalones, winkles, conchs",GASTROPODA,Littorinidae,Littorina littorea,Common periwinkle
52,"Abalones, winkles, conchs",GASTROPODA,Littorinidae,Tectarius coronatus,Coronate prickly-winkle
52,"Abalones, winkles, conchs",GASTROPODA,Littorinidae,Tectarius grandinatus,Hailstorm prickly-winkle
52,"Abalones, winkles, conchs",GASTROPODA,Littorinidae,Tectarius pagodus,Pagoda prickly-winkle
52,"Abalones, winkles, conchs",GASTROPODA,Littorinidae,Littorina spp,Periwinkles nei
52,"Abalones, winkles, conchs",GASTROPODA,Littorinidae,Nodilittorina pyramidalis,Pyramidal prickly-winkle
52,"Abalones, winkles, conchs",GASTROPODA,Littorinidae,Littoraria scabra,Rough periwinkle
52,"Abalones, winkles, conchs",GASTROPODA,Lottiidae,Lottia limatula,File limpet
52,"Abalones, winkles, conchs",GASTROPODA,Lottiidae,Lottia gigantea,Giant owl limpet
52,"Abalones, winkles, conchs",GASTROPODA,Lottiidae,Patelloida saccharina,Pacific sugar limpet
52,"Abalones, winkles, conchs",GASTROPODA,Lottiidae,Patelloida striata,Striate limpet
52,"Abalones, winkles, conchs",GASTROPODA,Lottiidae,Scurria spp,
52,"Abalones, winkles, conchs",GASTROPODA,Lottiidae,Lottia spp,
52,"Abalones, winkles, conchs",GASTROPODA,Lottiidae,Scurria plana,
52,"Abalones, winkles, conchs",GASTROPODA,Melampidae,Pythia scarabeus,Common pythia
52,"Abalones, winkles, conchs",GASTROPODA,Melampidae,Ellobium aurisjudae,Judas ear cassidula
52,"Abalones, winkles, conchs",GASTROPODA,Melampidae,Ellobium aurismidae,Midas ear cassidula
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Busycotypus canaliculatus,Channeled whelk
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Pugilina colosseus,Colossal melongena
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Pugilina morio,Giant hairy melongena
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Busycon carica,Knobbed whelk
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Busycon sinistrum,Lightning whelk
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Volema myristica,Nutmeg melongena
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Melongena patula,Pacific melongena
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Pugilina cochlidium,Spiral melongena
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Pugilina ternatana,Ternate melongena
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Melongena melongena,West Indian crown conch
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Busycon spp,Whelks
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Pugilina spp,
52,"Abalones, winkles, conchs",GASTROPODA,Melongenidae,Melongena spp,
52,"Abalones, winkles, conchs",GASTROPODA,Mitridae,Mitra eremitarum,Adusta miter
52,"Abalones, winkles, conchs",GASTROPODA,Mitridae,Mitra nigra,Brown miter
52,"Abalones, winkles, conchs",GASTROPODA,Mitridae,Pusia ebenus,Ebony miter
52,"Abalones, winkles, conchs",GASTROPODA,Mitridae,Mitra mitra,Episcopal miter
52,"Abalones, winkles, conchs",GASTROPODA,Mitridae,Mitra cornicula,Horny miter
52,"Abalones, winkles, conchs",GASTROPODA,Mitridae,Mitridae,Mitres nei
52,"Abalones, winkles, conchs",GASTROPODA,Mitridae,Mitra stictica,Pontifical miter
52,"Abalones, winkles, conchs",GASTROPODA,Mitridae,Mitra zonata,Zoned miter
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais aculeata,Aculeate rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Chicoreus brunneus,Adusta murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais alouina,Alou rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Hexaplex ambiguus,Ambiguous murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Hexaplex angularis,Angular murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Phyllonotus pomum,Apple murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Phyllonotus trunculus,Banded murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais armigera,Belligerent rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Haustellum recurvirostris,Bent-beak murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Hexaplex nigritus,Black murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Murex ternispina,Black-spined murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Muricopsis cristatus,Blainville's murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Phyllonotus brassica,Cabbage murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais calloensis,Callao rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Murex tribulus,Caltrop murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Cymia lacera,Carinate rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais chocolata,Chocolate rockshell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Hadriania craticuloides,Crested murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais coronata,Crowned rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais deltoidea,Deltoid rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Haustellum donmoorei,Don Moore's murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Phyllonotus duplex,Duplex murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Hexaplex cichoreum,Endive murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Concholepas concholepas,False abalone
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Chicoreus torrefactus,Firebrand murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Nassa francolina,Francolina jopas
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Haustellum chrysostoma,Goldmouth murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais melones,Gourd rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Ocenebra erinacea,Hedge hog murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Bolinus cornutus,Horned murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Phyllonotus margaritensis,Margarita murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Haustellum messorius,Messorius murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Murex spp,Murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Muricidae,Murex shells nei
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais nodosa,Nodose rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Purpura persica,Persian purpura
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Phyllonotus erythrostoma,Pink-mouthed murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Hexaplex princeps,Prince murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Bolinus brandaris,Purple dye murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Hexaplex radiax,Radish murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Chicoreus ramosus,Ramose murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Murex trapa,Rarespined murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Phyllonotus regius,Regal murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Purpura panama,Rudolph's purpura
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Murex scolopax,Scalloped murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Rapana spp,Sea snails
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Cymia tecta,Shoot rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Haustellum haustellum,Snipe's bill murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Rapana venosa,Thomas' rapa whelk
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais bufo,Toad purpura
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais tuberosa,Tuberose rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Rapana rapiformis,Turnish shaped rapa
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Calotrophon turritus,Turreted drill
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Thais haemastoma,Two-row rock shell
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Murex pecten,Venus comb murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Vexilla vexillum,Vexillate jopas
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Chicoreus virgineus,Virginal murex
52,"Abalones, winkles, conchs",GASTROPODA,Muricidae,Chicoreus brevifrons,West Indian murex
