SpeciesCat_ISSCAAP_code,ISSCAAP_Category,Order,Family,Species_AFSIS,CommName
52,"Abalones, winkles, conchs",GASTROPODA,Aporrhaididae,Aporrhais pespelecani,Common pelican-foot
52,"Abalones, winkles, conchs",GASTROPODA,Aporrhaididae,Aporrhais serresianus,Serre's pelican-foot
52,"Abalones, winkles, conchs",GASTROPODA,Architectonicidae,Architectonica perspectiva,Clear sundial
52,"Abalones, winkles, conchs",GASTROPODA,Architectonicidae,Architectonica maxima,Giant sundial
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Trophon albolabratus,Antarctic trophon
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Neobuccinum eatoni,Antarctic whelk
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Cantharus dorbignyi,D'Orbigny's buccinum
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Solenosteira gatesi,Gates' goblet
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Buccinum humphreysianum,Humphrey's buccinum
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Babylonia areolata,Maculated ivory whelk
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Babylonia lutosa,Mud ivory whelk
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Babylonia spirata,Spiral babylon
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Pisania striata,Striate pisania
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Buccinulum corneum,Striated buccinum
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Cantharus undosus,Waved goblet
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Buccinum undatum,Whelk
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Austrofusus spp,
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Pareuthria spp,
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Trophon spp,
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Buccinum spp,
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Babylonia spp,
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Pareuthria cerealis,
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Austrofusus chathamensis,
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Austrofusus glans,
52,"Abalones, winkles, conchs",GASTROPODA,Buccinidae,Aeneator recens,
52,"Abalones, winkles, conchs",GASTROPODA,Bursidae,Bufonaria rana,Common frog shell
52,"Abalones, winkles, conchs",GASTROPODA,Bursidae,Bufonaria nana,Dwarf frog shell
52,"Abalones, winkles, conchs",GASTROPODA,Bursidae,Bursidae,Frog shell nei
52,"Abalones, winkles, conchs",GASTROPODA,Bursidae,Tutufa bubo,Giant frog shell
52,"Abalones, winkles, conchs",GASTROPODA,Bursidae,Bufonaria crumena,Purse frog shell
52,"Abalones, winkles, conchs",GASTROPODA,Bursidae,Tutufa rubeta,Reddish frog shell
52,"Abalones, winkles, conchs",GASTROPODA,Bursidae,Bursa bufonia,Warty frog shell
52,"Abalones, winkles, conchs",GASTROPODA,Calliostomatidae,Calliostoma turnerarum,
52,"Abalones, winkles, conchs",GASTROPODA,Calyptraeidae,Crepipatella orbiculata,Round slippersnail
52,"Abalones, winkles, conchs",GASTROPODA,Calyptraeidae,Crepipatella spp,
52,"Abalones, winkles, conchs",GASTROPODA,Calyptraeidae,Trochita spp,
52,"Abalones, winkles, conchs",GASTROPODA,Calyptraeidae,Trochita pileus,
52,"Abalones, winkles, conchs",GASTROPODA,Capulidae,Capulus ungaricus,Hungarian cap-shell
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Phalium bandatum,Banded bonnet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cypraecassis rufa,Bullmouth helmet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Phalium areola,Checkerboard bonnet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cassis madagascariensis,Emperor helmet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Cassis flammea,Flame helmet
52,"Abalones, winkles, conchs",GASTROPODA,Cassidae,Phalium glaucum,Grey bonnet
