SystemName,WorldRegion,Country,ProgramName,SystemID,MarineFreshwater,CatchShareProgram,SpeciesID,CatchShareSpp,Genus,Species,RegionFAO,Landings2005,LandingsUnit2005,LandingsURL2005,Landings2006,LandingsUnit2006,LandingsURL2006,Landings2007,LandingsUnit2007,LandingsURL2007,Landings2008,LandingsUnit2008,LandingsURL2008,Landings2009,LandingsUnit2009,LandingsURL2009,Landings2010,LandingsUnit2010,LandingsURL2010,Landings2011,LandingsUnit2011,LandingsURL2011,Landings2012,LandingsUnit2012,LandingsURL2012,FullCS
Australian Catch Share System,Oceania,Australia,Australian Coral Sea Sea Cucumber Fishery,CX,Marine,Yes,77,Yes,Thelenota,ananas,71,,,,,,,,,,369,Kg,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/03_FishStatus2010CoralSea_1.00.pdf,332,Kg,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/03_FishStatus2010CoralSea_1.00.pdf,NA,,,,,,,,,
Namibian Catch Share System,Africa,Namibia,Namibian Cape Rock Lobster Fishery,AB,Marine,Yes,3,Yes,Jasus,lalandii,47,,,,,,,117,Metric Tons,http://209.88.21.36/opencms/export/sites/default/grnnet/MFMR/downloads/docs/2007_Report.pdf,196,Metric Tons,FAO FishSTAT J,50,Metric Tons,FAO FishSTAT J,,,,,,,,,,
Namibian Catch Share System,Africa,Namibia,Namibian Hake Fishery,AB,Marine,Yes,4,Yes,Merluccius,capensis,47,,,,,,,129542,Metric Tons,http://209.88.21.36/opencms/export/sites/default/grnnet/MFMR/downloads/docs/2007_Report.pdf,126284,Metric Tons,FAO FishSTAT J,136920,Metric Tons,FAO FishSTAT J,,,,,,,,,,
Namibian Catch Share System,Africa,Namibia,Namibian Horse Mackerel Fishery,AB,Marine,Yes,5,Yes,Trachurus,spp.,47,,,,,,,198694,Metric Tons,http://209.88.21.36/opencms/export/sites/default/grnnet/MFMR/downloads/docs/2007_Report.pdf,192654,Metric Tons,FAO FishSTAT J,198282,Metric Tons,FAO FishSTAT J,,,,,,,,,,
Namibian Catch Share System,Africa,Namibia,Namibian Monk Fishery,AB,Marine,Yes,6,Yes,Lophius,vomerinus,47,,,,,,,8656,Metric Tons,http://209.88.21.36/opencms/export/sites/default/grnnet/MFMR/downloads/docs/2007_Report.pdf,8555,Metric Tons,FAO FishSTAT J,see TAC,,,,,,,,,,,,
Namibian Catch Share System,Africa,Namibia,Namibian Pilchard Fishery,AB,Marine,Yes,8,Yes,Sardinops,sagax,47,,,,,,,23522,Metric Tons,http://209.88.21.36/opencms/export/sites/default/grnnet/MFMR/downloads/docs/2007_Report.pdf,see TAC,,,see TAC,,,,,,,,,,,,
Namibian Catch Share System,Africa,Namibia,Namibian Red Crab Fishery,AB,Marine,Yes,9,Yes,Chaceon,maritae,47,,,,,,,2854,Metric Tons,http://209.88.21.36/opencms/export/sites/default/grnnet/MFMR/downloads/docs/2007_Report.pdf,2100,Metric Tons,FAO FishSTAT J,see TAC,,,,,,,,,,,,
South African Catch Share System,Africa,South Africa,South African Abalone Fishery,AD,Marine,Yes,11,Yes,Haliotis,midae,"47,51",,,,,,,,,,,,,150,Metric Tons,Feike (provided by S. Moolla),125,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Hake Deep Sea Trawl Fishery,AD,Marine,Yes,16,Yes,Merluccius,capensis,"47,51",,,,,,,,,,,,,103409,Metric Tons,Feike (provided by S. Moolla),103409,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Hake Deep Sea Trawl Fishery,AD,Marine,Yes,17,Yes,Merluccius,paradoxus,"47,51",,,,,,,,,,,,,see code 16,,,see code 16,,,,,,,,,
South African Catch Share System,Africa,South Africa,South African Hake Handline Fishery,AD,Marine,Yes,18,Yes,Merluccius,capensis,"47,51",,,,,,,,,,,,,4119,Metric Tons,Feike (provided by S. Moolla),4119,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Hake Handline Fishery,AD,Marine,Yes,19,Yes,Merluccius,paradoxus,"47,51",,,,,,,,,,,,,see code 18,,,see code 18,,,,,,,,,
South African Catch Share System,Africa,South Africa,South African Hake Inshore Trawl Fishery,AD,Marine,Yes,20,Yes,Merluccius,capensis,"47,51",,,,,,,,,,,,,7613,Metric Tons,Feike (provided by S. Moolla),7371,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Hake Inshore Trawl Fishery,AD,Marine,Yes,21,Yes,Merluccius,paradoxus,"47,51",,,,,,,,,,,,,see code 20,,,see code 20,,,,,,,,,
South African Catch Share System,Africa,South Africa,South African Hake Longline Fishery,AD,Marine,Yes,22,Yes,Merluccius,capensis,"47,51",,,,,,,,,,,,,8071,Metric Tons,Feike (provided by S. Moolla),7815,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Hake Longline Fishery,AD,Marine,Yes,23,Yes,Merluccius,paradoxus,"47,51",,,,,,,,,,,,,see code 22,,,see code 22,,,,,,,,,
South African Catch Share System,Africa,South Africa,South African Horse Mackerel Fishery,AD,Marine,Yes,24,Yes,Trachurus,trachurus capensis,"47,51",,,,,,,,,,,,,31500,Metric Tons,Feike (provided by S. Moolla),31500,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Large Pelagic Fishery,AD,Marine,Yes,35,Yes,Isurus,oxyrinchus,"47,51",,,,,,,,,,,,,40,Metric Tons,Feike (provided by S. Moolla),40,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Large Pelagic Fishery,AD,Marine,Yes,36,Yes,Prionace,glauca,"47,51",,,,,,,,,,,,,see code 35,,,see code 35,,,,,,,,,
South African Catch Share System,Africa,South Africa,South African Patagonian Toothfish Fishery,AD,Marine,Yes,38,Yes,Dissostichus,eleginoides,"47,51",,,,,,,,,,,,,450,Metric Tons,Feike (provided by S. Moolla),450,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Small Pelagic Fishery,AD,Marine,Yes and No,39,Yes,Engraulis,encrasicolus,"47,51",,,,,,,,,,,,,299437,Metric Tons,Feike (provided by S. Moolla),573000,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Small Pelagic Fishery,AD,Marine,Yes and No,42,Yes,Sardinops,sagax,"47,51",,,,,,,,,,,,,90000,Metric Tons,Feike (provided by S. Moolla),109000,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African Sole Fishery,AD,Marine,Yes,43,Yes,Solea,solea,"47,51",,,,,,,,,,,,,872,Metric Tons,Feike (provided by S. Moolla),871,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African South Coast Rock Lobster Fishery,AD,Marine,Yes,44,Yes,Palinurus,gilchristi,"47,51",,,,,,,,,,,,,363,Metric Tons,Feike (provided by S. Moolla),363,Metric Tons,Feike (provided by S. Moolla),,,,,,,
South African Catch Share System,Africa,South Africa,South African West Coast Rock Lobster Near Shore Fishery,AD,Marine,Yes,49,Yes,Jasus,lalandii,47,,,,,,,,,,,,,see offshore,,,see offshore,,,,,,,,,
South African Catch Share System,Africa,South Africa,South African West Coast Rock Lobster Off Shore Fishery,AD,Marine,Yes,50,Yes,Jasus,lalandii,47,,,,,,,,,,,,,1632,Metric Tons,Feike (provided by S. Moolla),1528,Metric Tons,Feike (provided by S. Moolla),,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,59,Yes,Haliotis,spp.,61,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,60,Yes,Chionoecetes,japonicus,61,1649.7392,Metric Tons,http://www.jafic.or.jp/tac/index.html,1778.2698,Metric Tons,http://www.jafic.or.jp/tac/index.html,1764.3746,Metric Tons,http://www.jafic.or.jp/tac/index.html,1526.5772,Metric Tons,http://www.jafic.or.jp/tac/index.html,1413.8366,Metric Tons,http://www.jafic.or.jp/tac/index.html,1410.9944,Metric Tons,http://www.jafic.or.jp/tac/index.html,,,,,,,
Japanese TURF System,Asia,Japan,Japanese Common Fishing Rights System,BD,Marine,Yes,61,Yes,Trachurus,japonicus,61,53370.2,Metric Tons,http://www.jafic.or.jp/tac/index.html,47685.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,49264.8,Metric Tons,http://www.jafic.or.jp/tac/index.html,48633.2,Metric Tons,http://www.jafic.or.jp/tac/index.html,47054.2,Metric Tons,http://www.jafic.or.jp/tac/index.html,45791,Metric Tons,http://www.jafic.or.jp/tac/index.html,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Coral Sea Sea Cucumber Fishery,CX,Marine,Yes,78,Yes,Holothuria,whitmaei,71,,,,,,,,,,388,Kg,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/03_FishStatus2010CoralSea_1.00.pdf,482,Kg,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/03_FishStatus2010CoralSea_1.00.pdf,NA,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Coral Sea Sea Cucumber Fishery,CX,Marine,Yes,79,Yes,Holothuria,nobilis,71,,,,,,,,,,1799,Kg,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/03_FishStatus2010CoralSea_1.00.pdf,331,Kg,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/03_FishStatus2010CoralSea_1.00.pdf,NA,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Heard Island and McDonald Island Fishery,CX,Marine,Yes,80,Yes,Champsocephalus,gunnari,58,,,,,,,,,,83,Metric Tons,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/27_FishStatus2010HeardIsAndMcDonaldIs_1.00.pdf,352,Metric Tons,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/27_FishStatus2010HeardIsAndMcDonaldIs_1.00.pdf,NA,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Heard Island and McDonald Island Fishery,CX,Marine,Yes,81,Yes,Dissostichus,eleginoides,58,,,,,,,,,,2464,Metric Tons,http://www.afma.gov.au/wp-content/uploads/2010/09/Heard-Island-and-McDonald-Islands-Fishery-Annual-Status-Report-2010.pdf,2459,Metric Tons,http://adl.brs.gov.au/data/warehouse/fishstatus20109abff00101/fishstatus20109abff00101_11a/27_FishStatus2010HeardIsAndMcDonaldIs_1.00.pdf,NA,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Macquarie Island Toothfish Fishery,CX,Marine,Yes,82,Yes,Dissostichus,eleginoides,81,,,,,,,,,,458,Metric Tons,http://www.afma.gov.au/wp-content/uploads/2010/06/MITF-2011-assessment.pdf,219,Metric Tons,http://www.afma.gov.au/wp-content/uploads/2010/06/MITF-2011-assessment.pdf,278,Metric Tons,http://www.afma.gov.au/wp-content/uploads/2010/06/MITF-2011-assessment.pdf,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,89,Yes,Zenopsis,nebulosus,"57,81",,,,,,,,,,18368,Metric Tons,http://www.environment.gov.au/coasts/fisheries/commonwealth/scale-fish/pubs/submission-09.pdf,16851,Metric Tons,"Table 6, assumed full 500 mt alfonsino TAC was harvested (http://www.environment.gov.au/coasts/fisheries/commonwealth/scale-fish/pubs/submission-2011.pdf)",17048,Metric Tons,"Table 6, assumed full 500 mt alfonsino TAC was harvested (http://www.environment.gov.au/coasts/fisheries/commonwealth/scale-fish/pubs/submission-2011.pdf)",,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,90,Yes,Zeus,faber,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,91,Yes,Neoplatycephalus,aurimaculatus,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,92,Yes,Rexea,solandri,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,93,Yes,Macruronus,novaezelandiae,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,94,Yes,Nemadactylus,macropterus,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
Australian Catch Share System,Oceania,Australia,Australian Southern and Eastern Scalefish and Shark Fishery,CX,Marine,Yes,95,Yes,Hoplostethus,atlanticus,"57,81",,,,,,,,,,see Mirror Dory,,,see Mirror Dory,,,see Mirror Dory,,,,,,,,,
