ISSCAAP_exvessel group,MM_taxon1_group,MM_taxon2_group,Aggregated_commodity,Count_of_Commodity
"Abalones, winkles, conchs",other invert,"abalones, winkles, conchs",Abalones,6
,,,Mother of pearl shells,1
,,,Sea snail shells,1
,,,Stromboid conchs,2
,,,Top shell,1
,,,Trochus shells,1
,,,Univalves,3
"Clams, cockles, arkshells",bivalves,bivalves,Arkshells,2
,,,"Clams, cockles, arkshells",6
Mussels,bivalves,bivalves,Mussels,7
,,,Mussels of the genus Mytilus spp.,2
,,,Mussels of the genus Perna spp.,2
Oysters,bivalves,bivalves,European flat oyster,2
,,,Oysters,10
"Scallops, pectens",bivalves,bivalves,Scallops,6
"Squids, cuttlefishes, octopuses",other invert,"squid, octopus, cuttlefish",Cephalopods,5
,,,Cuttlefishes,6
,,,"Cuttlefishes (Sepia off., Rossia macrosoma, Sepiola rondeleti)",2
,,,Cuttlefishes and squids,4
,,,Octopus,5
,,,Squids,9
,,,Squids (Illex spp.),2
,,,"Squids (Ommastrephes sagittatus, Loligo spp.)",2
Miscellaneous marine molluscs,bivalves,bivalves,Bivalves,2
,other invert,Misc. aquatic invertebrates nei,Misc. molluscs,1
,,,Misc. molluscs and aquatic invertebrates,1
,,,Molluscs,8
,,,Molluscs and other aquatic invertebrates,4
"Crabs, sea-spiders",crustaceans,king and tanner crabs,King crabs,4
,,,Tanner crab,2
,,other crabs,Crab (Cancer pagurus),1
,,,Crabs,9
,,,Edible crab (Cancer pagurus),1
"Lobsters, spiny-rock lobsters",crustaceans,lobsters,American/European lobsters (Homarus spp.),6
,,,Lobsters,8
,,,Lobsters (Homarus spp.),1
,,,Norway lobsters (Nephrops spp.),5
,,,Rock lobster & other sea crawfish,1
,,,"Rock lobster & other sea crawfish (Palinurus, Panulirus, Jasus)",4
,,,Rock lobsters (Jasus spp.),6
,,,Spiny lobsters (Panulirus spp.),6
,,,Spiny-rock lobster,1
,,,Squat-lobsters,1
"Shrimps, prawns",crustaceans,"shrimp, prawns",Common (=Crangon) shrimp,3
,,,Deepwater rose shrimps (Parapenaeus longirostris),1
,,,Shrimps,4
,,,Shrimps and prawns,15
,,,Shrimps and prawns (Pandalidae spp.),3
,,,Shrimps and prawns (Penaeus spp.),3
Freshwater crustaceans,crustaceans,freshwater crustaceans,Crayfish (freshwater),4
,,,Freshwater crustaceans,2
Miscellaneous marine crustaceans,crustaceans,crustaceans nei,Crustaceans,8
,,,Krill,1
,other invert,Misc. crustaceans nei,Misc. crustaceans,1
Sea-urchins and other echinoderms,other invert,echinoderms,Sea-cucumber,5
,,,Sea-urchin,5
"Carps, barbels and other cyprinids",freshwater fish,freshwater fishes,Carps,4
Tilapias and other cichlids,freshwater fish,freshwater fishes,Tilapias,5
Miscellaneous freshwater fishes,freshwater fish,freshwater fishes,Catfish,5
,,,Nile perch,2
,,,Ornamental freshwater fishes,1
,,,Perch,2
,,,Pike,1
,,Misc. freshwater fishes nei,Misc. freshwater fishes,13
River eels,freshwater fish,freshwater fishes,River eels,4
"Salmons, trouts, smelts",freshwater fish,freshwater fishes,Trouts,3
,,,Trouts and chars,4
,diadromous fish,other diadromous fishes,Smelts,2
,,salmonids,Atlantic and Danube salmons,3
,,,Chum salmon,1
,,,Coho salmon,1
,,,Pacific salmon,3
,,,Pink salmon,1
,,,Salmon,18
,,,Salmonoids,9
,,,Sockeye salmon (red salmon)(Oncorhynchus nerka),2
"Sturgeons, paddlefishes",diadromous fish,other diadromous fishes,Caviar,3
,,,Sturgeons,1
Shads,diadromous fish,other diadromous fishes,Bonga shad,1
,,,Shads,1
Miscellaneous diadromous fishes,diadromous fish,other diadromous fishes,Alewife,1
,,,Barramundi,2
,,,Conger,2
,,,Eels,3
,,,Eels and elvers,1
,,,Elvers,1
,,Misc. diadromous fishes nei,Misc. diadromous fishes,7
"Cods, hakes, haddocks",whitefish,"cods, hakes, haddocks",Argentine hake,4
,,,Atlantic cod,7
,,,Cape hake,3
,,,Chilean hake,2
,,,Cod,17
,,,Cods,2
,,,"Cods, hakes, haddocks",1
,,,European hake,4
,,,Greenland cod,1
,,,Haddock,8
,,,Hake,12
,,,Hake of the genus Urophycis,3
,,,Pacific cod,5
,,,Polar cod,2
,,,Silver hake,2
