ISSCAAP_exvessel group,MM_taxon1_group,MM_taxon2_group,Aggregated_commodity,Count_of_Commodity
,,,South Pacific hake,2
,,,Southern blue whiting,4
,,,Southern hake,2
,,,Whiting,4
,,"pollack, saithe",Saithe,1
,,,Saithe (=Pollock),8
,,whitefish nei,Gadiformes,11
"Flounders, halibuts, soles",flatfish,"halibuts, turbots",Atlantic halibut,5
,,,Bastard halibut,4
,,,Greenland halibut,6
,,,Halibuts,4
,,,Pacific halibut,2
,,,Turbot,4
,,"sole, plaice, dab, flounder",Alaska plaice,1
,,,Common dab,2
,,,Common sole,4
,,,European plaice,4
,,,Flounder,4
,,,Lemon sole,4
,,,Megrim,5
,,,Plaices,4
,,,Soles,4
,,,Yellowfin sole,1
,,flatfish nei,Flatfishes,7
"Sharks, rays, chimaeras",elasmobranchs,elasmobranchs,"Catsharks, nursehounds",2
,,,Dogfish (Squalidae),2
,,,Dogfish (Squalidae) and catshark,1
,,,Porbeagle shark (Lamna nasus),3
,,,Sharks,12
,,,"Sharks, rays, chimaeras",4
,,,"Sharks, rays, skates",1
,,,Skates,2
Miscellaneous demersal fishes,whitefish,other whitefish,Grenadiers,4
,,,Tusk,3
,rockfish,rockfish,Atlantic redfishes,5
,,,Pacific redfishes (=ocean perch),2
,,,Redfish,7
,other groundfish,other groundfish,Angler (=Monk),4
,,,Atka mackerel,2
,,,Croakers,2
,,,Cusk-eel (=kingklip),2
,,,Dentex,1
,,,Gilt-head seabream,1
,,,Gurnard,2
,,,Hairtails,2
,,,John dory,2
,,,Ling,5
,,,Lumpfish,2
,,,Oreo dories,2
,,,Pandora,2
,,,Pike-conger,2
,,,Pony fishes,1
,,,Red mullet,2
,,,Sablefish,2
,,,Sea catfish,2
,,,Seabreams,2
,,,Snoek,2
,,,Weakfish,2
,,,Wolffishes (=Catfishes),3
,,Misc. demersal fishes nei,Misc. demersal fishes,10
"Tunas, bonitos, billfishes",tuna billfish bonito,billfish,Marlins,2
,,,Swordfish,6
,,bonitos,Bonito,3
,,,Plain bonito,2
,,tuna,Albacore (=Longfin tuna),6
,,,Atlantic(Thunnus thynnus) and Pacific(Thunnus orientalis)bluefin tuna,3
,,,Bigeye tuna,4
,,,Euthynnus excl. skipjack,2
,,,Euthynnus excl. skipjack or stripe-bellied bonitos,2
,,,Skipjack tuna,7
,,,Southern bluefin tuna(Thunnus maccoyii),3
,,,Tunas,16
,,,Yellowfin tuna,4
,,"tuna, bonito, billfish nei","Tunas, bonitos, billfishes",4
"Herrings, sardines, anchovies",forage fish,anchovies,Anchovies,8
,,,European anchovy,2
,,"sardines, sardinellas, brisling or sprats",Brisling or sprats,2
,,,European sardine,4
,,,Pilchards,3
,,,Pilchards (Sardinops spp.),3
,,,Pilchards(Sardinops spp.) and Sardinellas,2
,,,Sardines,1
,,,Sardines and sprats,1
,,,"Sardines, sardinellas, brisling or sprats",4
,,,"Sardines, sardinellas, or sprats",1
,,,South African pilchard,1
,,,Sprat,1
,,"herrings, capelins",Atlantic herring,11
,,,Capelin,5
,,,Herrings,25
,,,Pacific herring,2
,,mackerels,Atlantic mackerel,3
,,,Blue mackerel,1
,,,Chub mackerel,6
,,,Jack and horse mackerels,3
,,,Mackerels,10
,,,Scads,1
,,forage fishes nei,Clupeoids,12
Fish for reduction,forage fish,mackerels,Menhaden,1
Miscellaneous pelagic fishes,forage fish,"sandeels, sandlance, sauries",Pacific sauries,1
,,,Sandeels,1
,,,Sandlance,2
,,,Saury,3
,whitefish,"cods, hakes, haddocks",Blue whiting,4
,,,Blue whiting ,1
,,"pollack, saithe",Alaska pollack,8
,other pel fish,other pel fish,Bluefish,1
,,,Dolphinfishes,2
,,,Flyingfishes,3
,,,Milkfish,2
,,,Orange roughy,1
,,,"Pomfrets, ocean breams",4
,,,Spanish mackerel,2
,,,Toothfish (Dissostichus spp.),6
,,Misc. pelagic fishes nei,Misc. pelagic fishes,10
Miscellaneous coastal fishes,reef fish,reef fish,Amberjacks,3
,,,Cobia,2
,,,Drum,2
,,,Emperors,2
,,,Filefish,2
,,,Fusiliers,2
,,,Grouper,2
,,,Grunt,2
,,,Puffers,2
,,,Seabass,2
,,,Snappers,2
,,,Snook,1
,misc marine fish,Misc. coastal fishes nei,Misc. coastal fishes,11
,,Misc. marine fishes nei,Ornamental fishes,1
,,,Ornamental saltwater fishes,1
Marine fishes not identified,whitefish,whitefish nei,Whitefishes,3
,misc marine fish,Misc. marine fishes nei,Misc. marine fishes,68
Miscellaneous aquatic animals,other invert,Misc. aquatic invertebrates nei,Jellyfish,5
,,,Coral,1
,,,Natural sponges,3
,,,Crustaceans and molluscs,9
,,,Misc. corals and shells,1
,,,Misc. marine invertebrates,1
,,,Misc. aquatic invertebrates,5
,,,Aquatic invertebrates,1
,misc,Misc. aquatic mammals nei,Misc. aquatic mammals,1
,,,Misc. marine mammals,5
,,,Misc. whales,1
,,Misc. aquatic animals nei,"Misc. fish, crustaceans and molluscs",1
,,,Misc. marine animals,1
,,,Misc. aquatic animals,6
"NA, algae",algae,algae,Agar agar,3
,,,Carrageen (Chondrus crispus),1
,,,Green laver,1
,,,Laver,2
,,,Undaria pinnafitida (brown algae),1
,,,Hizikia fusiforme (brown algae),1
,,,Kelp,1
,,,Kelp ,1
,,,"Misc. brown algae (laminaria, eisenia/ecklonia)",1
,,,Misc. edible seaweeds,1
,,,Misc. inedible seaweeds,1
,,,Misc. red algae,1
,,,Misc. seaweeds and aquatic plants,1
