SpecCode,Genus,Species,,,Sex,Data source,Type,Loo (cm),K (1/y),Locality,Country,LinfLmax,Comment
4712,Acipenser,gueldenstaedtii,Acipenser gueldenstaedtii,2877,Mixed,other annual rings,TL,236,0.050000001,Sea of Azov,Russian Fed,no,
2505,Acipenser,nudiventris,Acipenser nudiventris,10184,unsexed,,TL,205,0.052999999,Aral Lake,Kazakhstan,no,Winf from Ref. 183617/12/96; b=3: assumed value.
2505,Acipenser,nudiventris,Acipenser nudiventris,10184,Mixed,other annual rings,TL,222.6999969,0.07,Ural river,Russian Fed,no,
2505,Acipenser,nudiventris,Acipenser nudiventris,10184,unsexed,,TL,205,0.119000003,Southern Caspian & Ural River,Russian Fed,no,Do not use M value for new model to predict M.
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,female,other annual rings,TL,256,0.07,"Hudson River, New York",USA,yes,
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,female,other annual rings,FL,199,0.122000001,off central New Jersey coast,USA,yes,Age readings from fin ray sections.
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,mixed,,TL,184,0.140000001,"Suwannee River, Florida",USA,yes,FL converted to TL (TL=1.1*FL in Ref. 39585).
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,male,other annual rings,FL,180,0.147,off central New Jersey coast,USA,yes,Age readings from fin ray sections.
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,mixed,other annual rings,TL,315,0.029999999,St. Lawrence River,Can Quebec,no,
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,mixed,,TL,236,0.059999999,"Kennebec, Maine",USA,no,FL converted to TL (TL=1.1*FL in Ref. 39585).
2593,Acipenser,oxyrinchus oxyrinchus,Acipenser oxyrinchus oxyrinchus,#N/A,mixed,,TL,242,0.119999997,"Winyah Bay, South Carolina",USA,no,FL converted to TL (TL=1.1*FL in Ref. 39585).
6085,Acipenser,schrenckii,Acipenser schrenckii,#N/A,Mixed,other annual rings,TL,205.3999939,0.059999999,Amur river,Russian Fed,no,
2065,Acipenser,stellatus,Acipenser stellatus,2071,male,other annual rings,TL,194,0.050999999,Danube,Romania,no,Age readings from pectoral fin ray of 47 fishes.
2065,Acipenser,stellatus,Acipenser stellatus,2071,female,other annual rings,TL,192,0.054000001,Danube,Romania,no,Age readings from pectoral fin ray of 47 fishes.
2065,Acipenser,stellatus,Acipenser stellatus,2071,unsexed,,TL,201,0.059999999,,Romania,no,Do not use M value for new model to predict M.
2065,Acipenser,stellatus,Acipenser stellatus,2071,Mixed,other annual rings,TL,159.3999939,0.170000002,Sea of Azov,Russian Fed,no,
