"x"
"112","608-FAO-57-34"
"113","688-FAO-57-38"
"114","470-FAO-81-34"
"115","675-FAO-81-34"
"116","557-FAO-57-34"
"117","558-FAO-81-34"
"118","525-FAO-81-34"
"119","524-FAO-57-34"
"120","DFO-PAC-SABLEFPCAN-1913-2010-HIVELY"
"121","1583-FAO-67-31"
"122","DFO-NFLD-SNOWCRAB3K-1995-2008-ANDERSON"
"123","DFO-NFLD-SNOWCRAB3NO-1995-2008-ANDERSON"
"124","DFO-NFLD-SNOWCRAB2J-1995-2008-ANDERSON"
"125","DFO-SG-SNOWCRABSGSL-1984-2007-ANDERSON"
"126","DFO-NFLD-SNOWCRAB3Ps-1995-2008-ANDERSON"
"127","DFO-NFLD-COD2J3KL-1850-2011-CHING"
"128","DFO-SG-COD4TVn-1930-2011-CHING"
"129","DFO-NFLD-COD3Ps-1959-2011-CHING"
"130","DFO-MAR-COD4VsW-1958-2002-PREFONTAINE"
"131","DFO-QUE-COD3Pn4RS-1964-2012-CHING"
"132","DFO-MAR-COD4X-1953-2008-HIVELY"
"133","DFO-PAC-RSOLEHSTR-1945-2001-COLLIE"
"134","DFO-MAR-HAD4X5Y-1970-2011-CHING"
"135","1631-FAO-21-45"
"136","1638-FAO-67-56"
"137","DFO-PAC-ESOLEHS-1944-2001-COLLIE"
"138","DFO-NFLD-SCALLGB-1978-2007-ANDERSON"
"139","DFO-POLL4VWX5-1974-2008-CHING"
"140","1686-FAO-21-31"
"141","1641-FAO-67-34"
"142","DFO-CROCKWCVANISOGQCI-1945-2009-STANTON"
"143","1646-FAO-67-38"
"144","1767-FAO-87-35"
"145","1794-FAO-87-45"
"146","2913-FAO-27-34"
"147","2983-FAO-27-43"
"148","2980-FAO-27-45"
"149","3009-FAO-27-31"
"150","2943-FAO-27-31"
"151","2959-FAO-27-35"
"152","3575-FAO-41-34"
"153","5045-FAO-27-45"
"154","6411-FAO-37-56"
"155","8182-FAO-27-35"
"156","9351-FAO-27-31"
"157","10000-FAO-27-44"
"158","IMARPE-PANCHPERUNC-1959-2008-HIVELY"
"159","10689-FAO-27-23"
"160","11034-FAO-27-45"
"161","12065-FAO-61-23"
"162","14517-FAO-27-35"
"163","AFSC-SABLEFEBSAIGA-1958-2010-STACHURA"
"164","NWFSC-SABLEFPCOAST-1900-2011-STACHURA"
"165","17127-FAO-77-34"
"166","16717-FAO-77-31"
"167","17082-FAO-77-31"
"168","SEFSC-YEGROUPGM-1975-2009-HIVELY"
"169","NEFSC-WITFLOUN5Y-1982-2008-WIGLEY"
"170","17114-FAO-77-31"
"171","AFSC-FLSOLEBSAI-1974-2010-STACHURA"
"172","17121-FAO-67-31"
"173","17120-FAO-77-31"
"174","17292-FAO-67-31"
"175","17023-FAO-31-33"
"176","SWFSC-DSOLEPCOAST-1910-2011-STACHURA"
"177","AFSC-BKINGCRABPI-1960-2008-JENSEN"
"178","NEFSC-POLL5YZ-1960-2009-CHING"
"179","17287-FAO-31-34"
"180","17072-FAO-77-31"
"181","NEFSC-WINFLOUN5Z-1982-2007-HENDRICKSON"
"182","AFSC-POPERCHGA-1959-2010-STACHURA"
"183","NWFSC-POPERCHPCOAST-1940-2011-STACHURA"
"184","17064-FAO-77-34"
"185","SWFSC-GRSPROCKSCAL-1916-2010-STACHURA"
"186","SWFSC-GRSPROCKNCAL-1916-2010-STACHURA"
"187","17280-FAO-77-34"
"188","NEFSC-ACADREDGOMGB-1913-2007-MILLER"
"189","NWFSC-CHILISPCOAST-1892-2007-BRANCH"
"190","AFSC-NROCKGA-1959-2010-STACHURA"
"191","AFSC-WPOLLGA-1964-2012-CHING"
"192","AFSC-WPOLLAI-1976-2013-CHING"
"193","MARAM-PTOOTHFISHPEI-1960-2013-Brandao"
"194","13303-FAO-47-43"
"195","17074-FAO-67-31"
"196","NEFSC-TILEMATLC-1915-2012-HIVELY"
"197","NWFSC-PHAKEPCOAST-1966-2012-CHING"
"198","PFMC-GRNSTROCKPCOAST-1916-2009-STANTON"
"199","NWFSC-LSTHORNHPCOAST-1962-2005-STANTON"
"200","NEFSC-SURFMATLC-1965-2008-JACOBSON"
"201","13387-FAO-47-52"
"202","13434-FAO-47-43"
"203","Lumped-Tusk(=Cusk)-FaoRegion21"
"204","NAFO-SC-COD3M-1960-2012-CHING"
"205","NAFO-SC-COD3NO-1953-2011-CHING"
"206","NAFO-SC-YELL3LNO-1960-2009-BAUM"
"207","IFOP-PATGRENADIERCH-1977-2012-CHING"
"208","Lumped-Haddock-FaoRegion21"
"209","Lumped-Shallow-water Cape hake-FaoRegion47"
"210","IFOP-SPHAKECH-1968-2012-CHING"
"211","Lumped-North Pacific hake-FaoRegion67"
"212","Lumped-North Pacific hake-FaoRegion77"
"213","Lumped-Southern blue whiting-FaoRegion41"
"214","Lumped-Saithe(=Pollock)-FaoRegion21"
