Year,Species,Metric Tons,Pounds,Revenue
2005,"ROCKFISH, YELLOWEYE",3.7,8068,8484
2005,"ROCKFISH, YELLOWTAIL",828.7,1826942,851050
2005,ROCKFISHES,11442.1,25225322,7171191
2005,"RUNNER, RAINBOW",1.9,4265,6726
2005,SABLEFISH,23175.8,51093278,136239864
2005,SAILFISH,3.4,7420,8480
2005,"SALMON, CHINOOK",10794,23796431,48698577
2005,"SALMON, CHUM",36716.2,80944452,19895101
2005,"SALMON, COHO",16319,35976826,25901752
2005,"SALMON, PACIFIC",0.4,934,3651
2005,"SALMON, PINK",224355.6,494614341,49040872
2005,"SALMON, SOCKEYE",119855.8,264234052,187210745
2005,"SARDINE, PACIFIC",86451.7,190591434,10198847
2005,"SCAD, BIGEYE",112.3,247636,492812
2005,"SCAD, MACKEREL",69.9,154053,342416
2005,"SCALLOP, WEATHERVANE",92.9,204732,1637853
2005,SCORPIONFISHES,6.3,13976,44205
2005,SCULPINS,201.1,443404,33286
2005,"SEA BASS, GIANT",2.8,6152,11308
2005,SEA CHUBS,8.8,19436,19899
2005,SEA CUCUMBER,652.2,1437738,2538633
2005,SEA URCHINS,5548.2,12231585,6662940
2005,"SEABASS, WHITE",139,306408,760176
2005,"SEAWEED, KELP",65868.3,145213170,117887
2005,SEAWEEDS,3.3,7361,40859
2005,"SHAD, AMERICAN",267.5,589820,120401
2005,"SHARK, BIGEYE THRESHER",8.8,19506,5909
2005,"SHARK, BLUE",0.2,339,273
2005,"SHARK, LEOPARD",12.9,28514,19899
2005,"SHARK, MAKOS",92.5,203827,81657
2005,"SHARK, PACIFIC ANGEL",11.6,25496,14030
2005,"SHARK, SHORTFIN MAKO",32.8,72375,56700
2005,"SHARK, SOUPFIN",25.6,56364,34834
2005,"SHARK, SPINY DOGFISH",584.2,1287855,259252
2005,"SHARK, THRESHER",178.4,393261,270770
2005,SHARKS,65.2,143755,31452
2005,"SHEEPHEAD, CALIFORNIA",40,88287,358408
2005,SHELLFISH,2140.1,4718024,7058772
2005,"SHRIMP, BLUE MUD",1.4,3169,4037
2005,"SHRIMP, BRINE",367.3,809723,386913
2005,"SHRIMP, GHOST",26.6,58633,116609
2005,"SHRIMP, MARINE, OTHER",0,84,756
2005,"SHRIMP, OCEAN",11082,24431448,10624090
2005,"SHRIMP, PACIFIC ROCK",27.8,61269,130860
2005,"SHRIMP, PENAEID",922.3,2033344,4671877
2005,"SHRIMP, SPOT",122.6,270372,2816739
2005,SKATES,10368.9,22859259,1857639
2005,"SMELT, EULACHON",0.4,938,1421
2005,SMELTS,158.2,348728,127797
2005,SNAPPERS,131.1,288914,1509492
2005,"SOLE, BUTTER",0.8,1710,717
2005,"SOLE, CURLFIN",0.8,1732,570
2005,"SOLE, DOVER",7079.8,15608223,5715651
2005,"SOLE, ENGLISH",1100.4,2426028,795994
2005,"SOLE, FLATHEAD",14490.6,31945882,5254590
2005,"SOLE, PETRALE",2733.7,6026800,5544703
2005,"SOLE, REX",4214.4,9290970,2270405
2005,"SOLE, ROCK",28252.4,62285212,15438840
2005,"SOLE, SAND",113.2,249489,167654
2005,"SOLE, YELLOWFIN",85323.9,188105064,23485027
2005,SPEARFISHES,212.2,467748,420144
2005,"SQUID, CALIFORNIA MARKET",55754.1,122915502,31472519
2005,"SQUID, JUMBO",1400.2,3086899,104379
2005,"SQUID, ROBUST CLUBHOOK",5.1,11236,3371
2005,SQUIDS,74.5,164221,42349
2005,SQUIRRELFISHES,15,32986,115562
2005,"STURGEON, GREEN",2.9,6342,5640
2005,"STURGEON, WHITE",188.1,414738,756514
2005,SURFPERCHES,26.8,59106,105246
2005,SURGEONFISHES,37.4,82368,120006
2005,SWORDFISH,1859.3,4098964,9674375
2005,"TARPON, HAWAIIAN",0.3,640,652
2005,"THORNYHEAD, SHORTSPINE",631.3,1391804,1865576
2005,THREADFINS,0.2,349,1963
2005,THRESHER SHARKS,29.2,64322,17777
2005,TILAPIAS,0.6,1214,1803
2005,"TROUT, RAINBOW",138.7,305828,372170
2005,"TUNA, ALBACORE",9370,20657105,22080902
2005,"TUNA, BIGEYE",4959.9,10934544,36059029
2005,"TUNA, BLUEFIN PACIFIC",206.7,455680,136622
2005,"TUNA, KAWAKAWA",1.5,3342,4845
2005,"TUNA, SKIPJACK",960.1,2116669,1424154
2005,"TUNA, YELLOWFIN",1740.8,3837788,7684777
2005,TUNAS,4.9,10770,29984
2005,WAHOO,370.7,817249,2250647
2005,WOLF-EEL,0.5,1110,484
2005,YELLOWTAIL JACK,9.8,21589,28223
2006,ABALONES,0.5,1185,4815
2006,ALFONSIN,0,3,7
2006,"ANCHOVY, NORTHERN",12951.7,28553283,1334990
2006,ATKA MACKEREL,59336.9,130814167,15702548
2006,"BARRACUDA, PACIFIC",25.5,56178,39466
2006,BARRACUDAS,14.8,32627,31481
2006,BILLFISHES,0.1,271,347
2006,"BONITO, PACIFIC",2490.5,5490630,1530013
2006,BUTTERFLYFISHES,0.2,403,399
2006,CABEZON,50.3,110917,509415
2006,"CARP, COMMON",1.5,3304,5438
2006,"CLAM, BUTTER",7.3,16054,16155
2006,"CLAM, MANILA",848.7,1871134,30818049
2006,"CLAM, PACIFIC GEODUCK",1327,2925511,26417336
2006,"CLAM, PACIFIC LITTLENECK",15.9,35124,98457
2006,"CLAM, PACIFIC RAZOR",35.4,78100,290531
2006,"CLAM, PACIFIC, GAPER",1,2183,3953
2006,"CLAM, SOFTSHELL",172.7,380819,331348
2006,CLAMS OR BIVALVES,168,370316,225333
2006,"COCKLE, NUTTALL",19.9,43789,50333
2006,"COD, PACIFIC",235290.4,518721200,197236979
2006,"CRAB, DUNGENESS",40321.7,88893305,148983061
2006,"CRAB, KING",9816.5,21641470,67060178
2006,"CRAB, RED ROCK",524.4,1156105,1472682
2006,"CRAB, SNOW",17245.5,38019384,30453809
2006,"CRAB, SOUTHERN TANNER",2042,4501816,6261550
2006,CRABS ,44.4,97841,127415
2006,CRAYFISHES OR CRAWFISHES,52.8,116431,159114
2006,"CROAKER, PACIFIC WHITE",36.7,80919,57839
2006,DOLPHINFISH,609.2,1343147,3646142
2006,ECHINODERM,0.4,814,2913
2006,EELS,1.2,2652,16672
2006,EMPERORS,0.8,1684,4140
2006,ESCOLAR,1.8,4062,4311
2006,"FINFISHES, UNC GENERAL",206.3,454902,322206
2006,FLATFISH,4383.3,9663357,3412908
2006,"FLOUNDER, ARROWTOOTH",24047.5,53015073,3924300
2006,"FLOUNDER, PACIFIC, SANDDAB",136.9,301787,145164
2006,"FLOUNDER, STARRY",120.4,265460,122108
2006,"FLOUNDER,PACIFIC,SANDDAB",253.7,559204,248964
2006,"FLOUNDERS, RIGHTEYE",0.6,1215,540
2006,GLASSEYE SNAPPER,1.4,3050,9779
2006,GOATFISHES,13.9,30672,92602
2006,"GREENLING, KELP",16.1,35589,170656
2006,GRENADIERS,122.6,270205,39147
2006,GROUPERS,12.2,26932,139656
2006,HAGFISHES,512,1128826,605841
2006,"HAKE, PACIFIC (WHITING)",253142.3,558077526,34425260
2006,"HALIBUT, CALIFORNIA",326.6,720065,2696519
2006,"HALIBUT, GREENLAND",1774.8,3912645,549934
2006,"HALIBUT, PACIFIC",32593.6,71855952,201974407
2006,"HERRING, PACIFIC",37159.5,81921750,8038802
2006,JACK MACKEREL,1168.9,2576919,200377
2006,"JACK, ALMACO",0.1,323,530
2006,"JACK, BLACK",0.2,367,543
2006,JACKS,10.9,23930,57555
2006,"JOBFISH, GREEN (UKU)",64.5,142230,443511
2006,LEATHER-BACK,0.2,420,762
2006,LEATHERJACKETS,0.7,1521,2699
2006,LIMPETS,2.3,5072,57043
2006,LINGCOD,259.2,571426,579657
2006,"LOBSTER, BANDED SPINY",2.8,6178,59527
2006,"LOBSTER, CALIFORNIA SPINY",402,886349,8110562
2006,"LOBSTER, SLIPPER",0,3,24
2006,"MACKEREL, CHUB",6282.3,13850026,866851
2006,"MACKEREL, FRIGATE",0,88,285
2006,"MARLIN, BLACK",4.2,9245,9873
2006,"MARLIN, BLUE",443.3,977245,969143
2006,"MARLIN, STRIPED",676,1490250,1601999
2006,MOLLUSKS,34.1,75286,214093
2006,"MULLET, STRIPED (LIZA)",3.6,7961,28134
2006,MULLETS,0,49,131
2006,"MUSSEL, BLUE",351.2,774349,6564177
2006,"MUSSEL, CALIFORNIA",0.1,156,579
2006,OCEAN SUNFISH,0,77,9
2006,OCTOPUS,14.7,32510,71989
2006,OILFISH,189.2,417146,839945
2006,OPAH,495.9,1093224,1905999
2006,"OYSTER, EASTERN",15,33111,159562
2006,"OYSTER, EUROPEAN FLAT",6.1,13533,251491
2006,"OYSTER, OLYMPIA",9,19943,985336
2006,"OYSTER, PACIFIC",5667.4,12494269,38068410
2006,PARROTFISHES,11.7,25779,85344
2006,"POLLOCK, WALLEYE",1542598,3400811603,329878840
2006,POMFRETS,264.9,584014,1328421
2006,"PRICKLEBACK, MONKEYFACE",0,63,186
2006,"ROCKFISH, AURORA",0.4,847,800
2006,"ROCKFISH, BANK",35.4,77978,66256
2006,"ROCKFISH, BLACK",159.7,352078,601689
