ID Number,Species,Species Group,FAO Fishing Area,SpeciesMatch,Fam/OrdMatch,Multinational?,Country Specified?,RAM II ID Number,Assessed ID,Assessed Country,UnAssessed Sp,Assessed Sp
1610,2126,37,27,1,0,1,0,35,AFWG-CAPENOR-1965-2007-MINTO,multinational,Mallotus villosus,Mallotus villosus
1612,2228,32,27,1,0,1,0,309,WGNSSK-HADROCK-1990-2007-JENNINGS,multinational,Melanogrammus aeglefinus,Melanogrammus aeglefinus
1619,2238,32,27,1,0,1,0,292,WGHMM-HAKENRTN-1977-2007-JENNINGS,multinational,Merluccius merluccius,Merluccius merluccius
1623,3021,32,27,1,0,1,0,299,WGNPBW-BWHITNEA-1980-2007-JENNINGS,multinational,Micromesistius poutassou,Micromesistius poutassou
1687,2910,35,27,1,0,1,0,298,WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS,multinational,Sardina pilchardus,Sardina pilchardus
1701,2473,37,27,1,0,1,0,297,WGMHSA-MACKNEICES-1972-2007-JENNINGS,multinational,Scomber scombrus,Scomber scombrus
1731,2309,37,87,1,0,1,0,103,IFOP-CHTRACCH-1975-2007-JENSEN,multinational,Trachurus murphyi,Trachurus murphyi
1828,2886,35,21,1,0,0,1,66,DFO-HERR4VWX-1965-2006-PREFONTAINE,Canada,Clupea harengus,Clupea harengus
1828,2886,35,21,1,0,0,1,80,DFO-QUE-HERR4RFA-1971-2003-PREFONTAINE,Canada,Clupea harengus,Clupea harengus
1828,2886,35,21,1,0,0,1,81,DFO-QUE-HERR4RSP-1963-2004-PREFONTAINE,Canada,Clupea harengus,Clupea harengus
1828,2886,35,21,1,0,0,1,83,DFO-SG-HERR4TFA-1974-2007-PREFONTAINE,Canada,Clupea harengus,Clupea harengus
1828,2886,35,21,1,0,0,1,84,DFO-SG-HERR4TSP-1974-2007-PREFONTAINE,Canada,Clupea harengus,Clupea harengus
1829,2078,35,67,1,0,0,1,70,DFO-PAC-HERRCC-1951-2007-COLLIE,Canada,Clupea pallasii,Clupea pallasii
1829,2078,35,67,1,0,0,1,71,DFO-PAC-HERRPRD-1951-2007-COLLIE,Canada,Clupea pallasii,Clupea pallasii
1829,2078,35,67,1,0,0,1,72,DFO-PAC-HERRQCI-1951-2007-COLLIE,Canada,Clupea pallasii,Clupea pallasii
1829,2078,35,67,1,0,0,1,73,DFO-PAC-HERRSOG-1951-2007-COLLIE,Canada,Clupea pallasii,Clupea pallasii
1829,2078,35,67,1,0,0,1,74,DFO-PAC-HERRWCVANI-1951-2007-COLLIE,Canada,Clupea pallasii,Clupea pallasii
1847,3011,32,67,1,0,0,1,75,DFO-PAC-PCODHS-1956-2005-COLLIE,Canada,Gadus macrocephalus,Gadus macrocephalus
1847,3011,32,67,1,0,0,1,76,DFO-PAC-PCODWCVANI-1956-2002-COLLIE,Canada,Gadus macrocephalus,Gadus macrocephalus
1848,2218,32,21,1,0,0,1,63,DFO-COD5Zjm-1978-2003-PREFONTAINE,Canada,Gadus morhua,Gadus morhua
1848,2218,32,21,1,0,0,1,67,DFO-NFLD-COD2J3KLIS-1959-2006-PREFONTAINE,Canada,Gadus morhua,Gadus morhua
1848,2218,32,21,1,0,0,1,68,DFO-NFLD-COD3Ps-1959-2004-PREFONTAINE,Canada,Gadus morhua,Gadus morhua
1848,2218,32,21,1,0,0,1,79,DFO-QUE-COD3Pn4RS-1964-2007-PREFONTAINE,Canada,Gadus morhua,Gadus morhua
1848,2218,32,21,1,0,0,1,82,DFO-SG-COD4TVn-1965-2007-PREFONTAINE,Canada,Gadus morhua,Gadus morhua
1848,2218,32,21,1,0,1,0,131,NAFO-SC-COD3NO-1953-2007-BAUM,multinational,Gadus morhua,Gadus morhua
1853,3359,31,21,1,0,1,0,129,NAFO-SC-AMPL3M-1960-2007-BAUM,multinational,Hippoglossoides platessoides,Hippoglossoides platessoides
1855,2542,31,67,1,0,1,0,113,IPHC-PHALNPAC-1988-2009-Parma,multinational,Hippoglossus stenolepis,Hippoglossus stenolepis
1867,2548,31,21,1,0,1,0,135,NAFO-SC-YELL3LNO-1960-2009-BAUM,multinational,Limanda ferruginea,Limanda ferruginea
1873,2228,32,21,1,0,0,1,64,DFO-HAD4X5Y-1960-2003-PREFONTAINE,Canada,Melanogrammus aeglefinus,Melanogrammus aeglefinus
1873,2228,32,21,1,0,0,1,65,DFO-HAD5Zejm-1968-2003-PREFONTAINE,Canada,Melanogrammus aeglefinus,Melanogrammus aeglefinus
1917,3016,32,21,1,0,0,1,78,DFO-POLL4VWX5Zc-1974-2007-PREFONTAINE,Canada,Pollachius virens,Pollachius virens
1955,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
1958,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
1959,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
1960,3296,36,21,1,0,1,0,95,ICCAT-ATBTUNAWATL-1969-2007-WORM,multinational,Thunnus thynnus,Thunnus thynnus
2008,2886,35,27,1,0,1,0,285,WGBFAS-HERR30-1972-2007-JENNINGS,multinational,Clupea harengus,Clupea harengus
2012,2218,32,27,1,0,1,0,300,WGNSDS-CODIS-1968-2006-MINTO,multinational,Gadus morhua,Gadus morhua
2018,2560,31,27,1,0,1,0,294,WGHMM-MEG8c9a-1985-2007-JENNINGS,multinational,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis
2023,2228,32,27,1,0,1,0,309,WGNSSK-HADROCK-1990-2007-JENNINGS,multinational,Melanogrammus aeglefinus,Melanogrammus aeglefinus
2024,3022,32,27,1,0,1,0,318,WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,multinational,Merlangius merlangus,Merlangius merlangus
2025,2238,32,27,1,0,1,0,292,WGHMM-HAKENRTN-1977-2007-JENNINGS,multinational,Merluccius merluccius,Merluccius merluccius
2026,3021,32,27,1,0,1,0,299,WGNPBW-BWHITNEA-1980-2007-JENNINGS,multinational,Micromesistius poutassou,Micromesistius poutassou
2040,3354,31,27,1,0,1,0,304,WGNSDS-PLAICIS-1962-2006-MINTO,multinational,Pleuronectes platessa,Pleuronectes platessa
2042,3016,32,27,1,0,1,0,206,NWWG-POLLFAPL-1958-2006-MINTO,multinational,Pollachius virens,Pollachius virens
2052,2473,37,27,1,0,1,0,297,WGMHSA-MACKNEICES-1972-2007-JENNINGS,multinational,Scomber scombrus,Scomber scombrus
2113,2438,34,88,1,0,1,0,47,CCAMLR-ATOOTHFISHRS-1995-2007-JENSEN,multinational,Dissostichus mawsoni,Dissostichus mawsoni
2239,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2241,2309,37,87,1,0,1,0,103,IFOP-CHTRACCH-1975-2007-JENSEN,multinational,Trachurus murphyi,Trachurus murphyi
2430,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
2441,2498,36,57,1,0,1,0,112,IOTC-BIGEYEIO-1957-2006-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2442,2498,36,51,1,0,1,0,112,IOTC-BIGEYEIO-1957-2006-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2443,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2445,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2448,3296,36,34,1,0,1,0,94,ICCAT-ATBTUNAEATL-1969-2007-WORM,multinational,Thunnus thynnus,Thunnus thynnus
2452,2309,37,87,1,0,1,0,103,IFOP-CHTRACCH-1975-2007-JENSEN,multinational,Trachurus murphyi,Trachurus murphyi
2460,2503,36,41,1,0,1,0,100,ICCAT-SWORDNATL-1978-2007-JENSEN,multinational,Xiphias gladius,Xiphias gladius
2460,2503,36,41,1,0,1,0,101,ICCAT-SWORDSATL-1970-2005-JENSEN,multinational,Xiphias gladius,Xiphias gladius
2590,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
2592,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2593,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2619,2498,36,51,1,0,1,0,112,IOTC-BIGEYEIO-1957-2006-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2734,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
2737,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2782,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
2784,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2785,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
2921,2218,32,21,1,0,1,0,131,NAFO-SC-COD3NO-1953-2007-BAUM,multinational,Gadus morhua,Gadus morhua
2930,3359,31,21,1,0,1,0,129,NAFO-SC-AMPL3M-1960-2007-BAUM,multinational,Hippoglossoides platessoides,Hippoglossoides platessoides
2940,2548,31,21,1,0,1,0,135,NAFO-SC-YELL3LNO-1960-2009-BAUM,multinational,Limanda ferruginea,Limanda ferruginea
2997,2544,31,21,1,0,1,0,132,NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE,multinational,Reinhardtius hippoglossoides,Reinhardtius hippoglossoides
3040,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
3041,3296,36,31,1,0,1,0,95,ICCAT-ATBTUNAWATL-1969-2007-WORM,multinational,Thunnus thynnus,Thunnus thynnus
3045,2309,37,87,1,0,1,0,103,IFOP-CHTRACCH-1975-2007-JENSEN,multinational,Trachurus murphyi,Trachurus murphyi
3117,2496,36,37,1,0,1,0,93,ICCAT-ALBANATL-1929-2005-WORM,multinational,Thunnus alalunga,Thunnus alalunga
3118,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
3120,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
3121,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
3264,2886,35,27,1,0,1,0,285,WGBFAS-HERR30-1972-2007-JENNINGS,multinational,Clupea harengus,Clupea harengus
3276,2106,35,27,1,0,1,0,296,WGMHSA-ANCHOBAYB-1986-2007-JENNINGS,multinational,Engraulis encrasicolus,Engraulis encrasicolus
3280,2218,32,27,1,0,1,0,300,WGNSDS-CODIS-1968-2006-MINTO,multinational,Gadus morhua,Gadus morhua
3292,2560,31,27,1,0,1,0,294,WGHMM-MEG8c9a-1985-2007-JENNINGS,multinational,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis
3298,2126,37,27,1,0,1,0,35,AFWG-CAPENOR-1965-2007-MINTO,multinational,Mallotus villosus,Mallotus villosus
3300,2228,32,27,1,0,1,0,309,WGNSSK-HADROCK-1990-2007-JENNINGS,multinational,Melanogrammus aeglefinus,Melanogrammus aeglefinus
3301,3022,32,27,1,0,1,0,318,WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,multinational,Merlangius merlangus,Merlangius merlangus
3303,3021,32,27,1,0,1,0,299,WGNPBW-BWHITNEA-1980-2007-JENNINGS,multinational,Micromesistius poutassou,Micromesistius poutassou
3331,3354,31,27,1,0,1,0,304,WGNSDS-PLAICIS-1962-2006-MINTO,multinational,Pleuronectes platessa,Pleuronectes platessa
3333,3016,32,27,1,0,1,0,206,NWWG-POLLFAPL-1958-2006-MINTO,multinational,Pollachius virens,Pollachius virens
3349,2910,35,27,1,0,1,0,298,WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS,multinational,Sardina pilchardus,Sardina pilchardus
3455,3296,36,31,1,0,1,0,95,ICCAT-ATBTUNAWATL-1969-2007-WORM,multinational,Thunnus thynnus,Thunnus thynnus
3553,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
3555,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
3556,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
3557,2309,37,87,1,0,1,0,103,IFOP-CHTRACCH-1975-2007-JENSEN,multinational,Trachurus murphyi,Trachurus murphyi
3682,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
3684,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
3685,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
3789,2886,35,27,1,0,1,0,285,WGBFAS-HERR30-1972-2007-JENNINGS,multinational,Clupea harengus,Clupea harengus
3812,2218,32,27,1,0,1,0,300,WGNSDS-CODIS-1968-2006-MINTO,multinational,Gadus morhua,Gadus morhua
3824,3359,31,21,1,0,1,0,129,NAFO-SC-AMPL3M-1960-2007-BAUM,multinational,Hippoglossoides platessoides,Hippoglossoides platessoides
3835,2548,31,21,1,0,1,0,135,NAFO-SC-YELL3LNO-1960-2009-BAUM,multinational,Limanda ferruginea,Limanda ferruginea
3849,2126,37,27,1,0,1,0,35,AFWG-CAPENOR-1965-2007-MINTO,multinational,Mallotus villosus,Mallotus villosus
3851,2228,32,27,1,0,1,0,309,WGNSSK-HADROCK-1990-2007-JENNINGS,multinational,Melanogrammus aeglefinus,Melanogrammus aeglefinus
3853,3022,32,27,1,0,1,0,318,WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,multinational,Merlangius merlangus,Merlangius merlangus
3859,3021,32,27,1,0,1,0,299,WGNPBW-BWHITNEA-1980-2007-JENNINGS,multinational,Micromesistius poutassou,Micromesistius poutassou
3889,3016,32,27,1,0,1,0,206,NWWG-POLLFAPL-1958-2006-MINTO,multinational,Pollachius virens,Pollachius virens
3924,2473,37,27,1,0,1,0,297,WGMHSA-MACKNEICES-1972-2007-JENNINGS,multinational,Scomber scombrus,Scomber scombrus
3955,2309,37,87,1,0,1,0,103,IFOP-CHTRACCH-1975-2007-JENSEN,multinational,Trachurus murphyi,Trachurus murphyi
4037,2886,35,27,1,0,1,0,285,WGBFAS-HERR30-1972-2007-JENNINGS,multinational,Clupea harengus,Clupea harengus
4047,2218,32,27,1,0,1,0,300,WGNSDS-CODIS-1968-2006-MINTO,multinational,Gadus morhua,Gadus morhua
4048,2218,32,21,1,0,1,0,131,NAFO-SC-COD3NO-1953-2007-BAUM,multinational,Gadus morhua,Gadus morhua
4053,3359,31,21,1,0,1,0,129,NAFO-SC-AMPL3M-1960-2007-BAUM,multinational,Hippoglossoides platessoides,Hippoglossoides platessoides
4066,2126,37,27,1,0,1,0,35,AFWG-CAPENOR-1965-2007-MINTO,multinational,Mallotus villosus,Mallotus villosus
4068,2228,32,27,1,0,1,0,309,WGNSSK-HADROCK-1990-2007-JENNINGS,multinational,Melanogrammus aeglefinus,Melanogrammus aeglefinus
4071,2238,32,27,1,0,1,0,292,WGHMM-HAKENRTN-1977-2007-JENNINGS,multinational,Merluccius merluccius,Merluccius merluccius
4072,3021,32,27,1,0,1,0,299,WGNPBW-BWHITNEA-1980-2007-JENNINGS,multinational,Micromesistius poutassou,Micromesistius poutassou
4090,3354,31,27,1,0,1,0,304,WGNSDS-PLAICIS-1962-2006-MINTO,multinational,Pleuronectes platessa,Pleuronectes platessa
4094,3016,32,27,1,0,1,0,206,NWWG-POLLFAPL-1958-2006-MINTO,multinational,Pollachius virens,Pollachius virens
4100,2544,31,21,1,0,1,0,132,NAFO-SC-GHAL23KLMNO-1960-2006-PREFONTAINE,multinational,Reinhardtius hippoglossoides,Reinhardtius hippoglossoides
4108,2102,35,27,1,0,1,0,290,WGBFAS-SPRAT22-32-1973-2007-JENNINGS,multinational,Sprattus sprattus,Sprattus sprattus
4118,3019,32,27,1,0,1,0,310,WGNSSK-NPOUTNS-1983-2007-MINTO,multinational,Trisopterus esmarkii,Trisopterus esmarkii
4185,2886,35,27,1,0,1,0,285,WGBFAS-HERR30-1972-2007-JENNINGS,multinational,Clupea harengus,Clupea harengus
4194,2218,32,27,1,0,1,0,300,WGNSDS-CODIS-1968-2006-MINTO,multinational,Gadus morhua,Gadus morhua
4200,3022,32,27,1,0,1,0,318,WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,multinational,Merlangius merlangus,Merlangius merlangus
4212,3354,31,27,1,0,1,0,304,WGNSDS-PLAICIS-1962-2006-MINTO,multinational,Pleuronectes platessa,Pleuronectes platessa
4306,2886,35,27,1,0,1,0,285,WGBFAS-HERR30-1972-2007-JENNINGS,multinational,Clupea harengus,Clupea harengus
4342,2106,35,27,1,0,1,0,296,WGMHSA-ANCHOBAYB-1986-2007-JENNINGS,multinational,Engraulis encrasicolus,Engraulis encrasicolus
4354,2218,32,27,1,0,1,0,300,WGNSDS-CODIS-1968-2006-MINTO,multinational,Gadus morhua,Gadus morhua
4355,2218,32,21,1,0,1,0,131,NAFO-SC-COD3NO-1953-2007-BAUM,multinational,Gadus morhua,Gadus morhua
4378,3359,31,21,1,0,1,0,129,NAFO-SC-AMPL3M-1960-2007-BAUM,multinational,Hippoglossoides platessoides,Hippoglossoides platessoides
4406,2560,31,27,1,0,1,0,294,WGHMM-MEG8c9a-1985-2007-JENNINGS,multinational,Lepidorhombus whiffiagonis,Lepidorhombus whiffiagonis
4434,2126,37,27,1,0,1,0,35,AFWG-CAPENOR-1965-2007-MINTO,multinational,Mallotus villosus,Mallotus villosus
4436,2228,32,27,1,0,1,0,309,WGNSSK-HADROCK-1990-2007-JENNINGS,multinational,Melanogrammus aeglefinus,Melanogrammus aeglefinus
4439,3022,32,27,1,0,1,0,318,WGNSSK-WHITNS-VIId-IIIa-1979-2006-MINTO,multinational,Merlangius merlangus,Merlangius merlangus
4449,3021,32,27,1,0,1,0,299,WGNPBW-BWHITNEA-1980-2007-JENNINGS,multinational,Micromesistius poutassou,Micromesistius poutassou
4548,3354,31,27,1,0,1,0,304,WGNSDS-PLAICIS-1962-2006-MINTO,multinational,Pleuronectes platessa,Pleuronectes platessa
4554,3016,32,27,1,0,1,0,206,NWWG-POLLFAPL-1958-2006-MINTO,multinational,Pollachius virens,Pollachius virens
4605,2910,35,27,1,0,1,0,298,WGMHSA-SARDPVIIIc-IXa-1978-2007-JENNINGS,multinational,Sardina pilchardus,Sardina pilchardus
4663,2102,35,27,1,0,1,0,290,WGBFAS-SPRAT22-32-1973-2007-JENNINGS,multinational,Sprattus sprattus,Sprattus sprattus
4683,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
4688,2498,36,57,1,0,1,0,112,IOTC-BIGEYEIO-1957-2006-JENSEN,multinational,Thunnus obesus,Thunnus obesus
4689,2498,36,51,1,0,1,0,112,IOTC-BIGEYEIO-1957-2006-JENSEN,multinational,Thunnus obesus,Thunnus obesus
4690,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
4691,2498,36,87,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
4707,3019,32,27,1,0,1,0,310,WGNSSK-NPOUTNS-1983-2007-MINTO,multinational,Trisopterus esmarkii,Trisopterus esmarkii
4774,2497,36,77,1,0,1,0,92,IATTC-YFINEPAC-1975-2007-JENSEN,multinational,Thunnus albacares,Thunnus albacares
4775,2498,36,77,1,0,1,0,91,IATTC-BIGEYEEPAC-1975-2007-JENSEN,multinational,Thunnus obesus,Thunnus obesus
4973,2309,37,87,1,0,1,0,103,IFOP-CHTRACCH-1975-2007-JENSEN,multinational,Trachurus murphyi,Trachurus murphyi
5035,2886,35,27,1,0,1,0,285,WGBFAS-HERR30-1972-2007-JENNINGS,multinational,Clupea harengus,Clupea harengus
5063,2106,35,27,1,0,1,0,296,WGMHSA-ANCHOBAYB-1986-2007-JENNINGS,multinational,Engraulis encrasicolus,Engraulis encrasicolus
