Year,Species,Metric Tons,Pounds,Revenue,RegionFAO
2008,"SHARK, BULL",42.7,94073,27393,31
2008,"SHARK, HAMMERHEAD",20.9,46042,20157,31
2008,"SHARK, LEMON",17.4,38401,12402,31
2008,"SHARK, SANDBAR",16.7,36902,12062,31
2008,"SHARK, SHORTFIN MAKO",5.8,12764,11855,31
2008,"SHARK, SILKY",2.8,6182,1755,31
2008,"SHARK, TIGER",8.1,17948,7930,31
2008,SHARKS,441.5,973301,1127186,31
2008,SHEEPSHEAD,664.6,1465146,548112,31
2008,SHELLFISH,15.7,34532,49792,31
2008,"SHRIMP, BROWN",35864.4,79066734,141719646,31
2008,"SHRIMP, MARINE, OTHER",1134.4,2500917,10537722,31
2008,"SHRIMP, PINK",3207.4,7071033,13193378,31
2008,"SHRIMP, ROCK",146.3,322606,517700,31
2008,"SHRIMP, ROYAL RED",96.9,213678,671427,31
2008,"SHRIMP, SEABOB",605,1333791,535519,31
2008,"SHRIMP, WHITE",44586.3,98294953,199627196,31
2008,"SNAPPER, BLACK",0.2,350,654,31
2008,"SNAPPER, BLACKFIN",1.6,3482,8235,31
2008,"SNAPPER, CUBERA",0.4,878,1089,31
2008,"SNAPPER, DOG",0.5,1038,741,31
2008,"SNAPPER, GRAY",98.1,216272,446322,31
2008,"SNAPPER, LANE",12.9,28382,59639,31
2008,"SNAPPER, MUTTON",63.9,140892,311169,31
2008,"SNAPPER, QUEEN",12.5,27649,72455,31
2008,"SNAPPER, RED",1074.8,2369593,7971907,31
2008,"SNAPPER, SILK",44.2,97344,268431,31
2008,"SNAPPER, VERMILION",1274.4,2809557,6601350,31
2008,"SNAPPER, YELLOWTAIL",571.1,1258975,3126072,31
2008,SNAPPERS,0.4,988,2386,31
2008,SPADEFISHES,22.2,48933,20671,31
2008,"SPONGE, GRASS",60.9,134355,167108,31
2008,"SPONGE, SHEEPSWOOL",51,112381,331576,31
2008,"SPONGE, YELLOW",72.4,159651,245819,31
2008,SPONGES,14.3,31526,27333,31
2008,SPOT,11.3,24873,9667,31
2008,SQUIDS,27,59414,26590,31
2008,SQUIRRELFISHES,0.1,130,170,31
2008,SUCKERS,11.9,26330,12490,31
2008,SWORDFISH,301.2,664112,1478264,31
2008,TILAPIAS,22.2,48936,28984,31
2008,"TILEFISH, BLACKLINE",0.2,484,476,31
2008,"TILEFISH, BLUELINE",86.1,189786,154772,31
2008,"TILEFISH, GOLDEN",153.3,337915,574494,31
2008,"TILEFISH, GOLDFACE",13.9,30660,48327,31
2008,"TILEFISH, SAND",0.1,150,98,31
2008,"TRIGGERFISH, GRAY",12.1,26646,24657,31
2008,TRIPLETAIL,0.4,788,1158,31
2008,"TUNA, ALBACORE",4.5,9969,3379,31
2008,"TUNA, BIGEYE",9.6,21256,42712,31
2008,"TUNA, BLACKFIN",3.7,8084,8997,31
2008,"TUNA, BLUEFIN",25.2,55467,244857,31
2008,"TUNA, LITTLE TUNNY",35.8,78889,34175,31
2008,"TUNA, SKIPJACK",0.1,212,448,31
2008,"TUNA, YELLOWFIN",731.3,1612139,5835151,31
2008,"TURTLE, SLIDERS",0.3,629,1630,31
2008,"TURTLE, SNAPPING",0.1,198,390,31
2008,"TURTLE, SOFT-SHELL",0.3,689,652,31
2008,WAHOO,49.2,108477,151355,31
2008,WEAKFISH,0,21,37,31
2008,WENCHMAN,5.3,11641,5251,31
2009,"AMBERJACK, GREATER",417.5,920353,955896,31
2009,"AMBERJACK, LESSER",23.5,51726,63066,31
2009,BALLYHOO,394.9,870668,679940,31
2009,BARRACUDAS,6.8,14996,13078,31
2009,BARRELFISH,11.7,25793,57671,31
2009,"BASS, LONGTAIL",0.1,227,269,31
2009,BIGEYE,0.1,288,332,31
2009,BLACK DRIFTFISH,0.8,1860,2533,31
2009,BLUEFISH,77.4,170705,59818,31
2009,"BONITO, ATLANTIC",0.2,408,122,31
2009,BOWFIN,72.6,160065,95892,31
2009,"BROTULA, BEARDED",3.9,8565,10057,31
2009,BUFFALOFISHES,1302.6,2871747,559405,31
2009,BUTTERFISH,593.7,1308829,387283,31
2009,"CARP, COMMON",194.2,428053,42316,31
2009,"CARP, GRASS",40.2,88692,16931,31
