Year,Species,Metric Tons,Pounds,Revenue
2005,"MACKEREL, KING AND CERO",1410.00,3108521.00,5555721.00
2005,"MACKEREL, SPANISH",1650.50,3638700.00,2861355.00
2005,MARGATE,0.80,1657.00,1103.00
2005,MENHADEN,194281.10,428312075.00,29581856.00
2005,MOJARRAS,110.30,243186.00,320834.00
2005,"MOONFISH, ATLANTIC",25.60,56502.00,52744.00
2005,"MULLET, STRIPED (LIZA)",1248.00,2751276.00,1464434.00
2005,"MULLET, WHITE",69.10,152267.00,70375.00
2005,MUMMICHOG,1.50,3300.00,14974.00
2005,"MUSSEL, BLUE",1641.30,3618366.00,2839632.00
2005,OCTOPUS,1.20,2744.00,4483.00
2005,OILFISH,1.00,2276.00,2489.00
2005,OPAH,0.40,906.00,1686.00
2005,"OYSTER, EASTERN",965.20,2127844.00,14577654.00
2005,PARROTFISHES,0.50,1203.00,2673.00
2005,"PERCH, WHITE",853.50,1881519.00,1108867.00
2005,"PERCH, YELLOW",68.10,150193.00,198732.00
2005,PERIWINKLES,0.00,1.00,1.00
2005,PERMIT,0.50,1203.00,1742.00
2005,PIGFISH,13.80,30473.00,9287.00
2005,PINFISH,22.90,50470.00,58232.00
2005,"PINFISH, SPOTTAIL",4.30,9443.00,3177.00
2005,POLLOCK,6505.40,14341811.00,7794563.00
2005,"POMPANO, AFRICAN",1.90,4098.00,7924.00
2005,"POMPANO, FLORIDA",62.90,138621.00,589677.00
2005,"PORGY, JOLTHEAD",1.70,3644.00,4653.00
2005,"PORGY, KNOBBED",6.30,13980.00,12111.00
2005,"PORGY, RED",21.00,46196.00,63572.00
2005,"POUT, OCEAN",2.90,6332.00,4344.00
2005,"PUFFER, NOTHERN",12.20,26794.00,19049.00
2005,"REDFISH, ACADIAN",560.80,1236264.00,712836.00
2005,"ROSEFISH, BLACKBELLY",0.00,10.00,13.00
2005,"RUDDERFISH, BANDED",15.20,33440.00,19594.00
2005,"RUNNER, BLUE",48.90,107826.00,94415.00
2005,SAND PERCH,0.10,137.00,267.00
2005,SANDWORMS,199.10,438924.00,2251754.00
2005,"SARDINE, SPANISH",1.60,3591.00,2436.00
2005,"SCAD, BIGEYE",6.70,14762.00,208992.00
2005,"SCALLOP, BAY",43.80,96503.00,1221802.00
2005,"SCALLOP, CALICO",0.40,896.00,7442.00
2005,"SCALLOP, SEA",25685.20,56625536.00,432514317.00
2005,SCALLOPS,62.90,138744.00,1030025.00
2005,SCAMP,129.60,285750.00,884497.00
2005,SCORPIONFISHES,0.30,567.00,741.00
2005,SCUP,159.90,352422.00,156918.00
2005,SCUPS OR PORGIES,4211.40,9284434.00,6959049.00
2005,"SEA BASS, BLACK",1500.20,3307425.00,7888755.00
2005,"SEA BASS, ROCK",0.10,166.00,42.00
2005,SEA CUCUMBER,3886.20,8567468.00,656318.00
2005,SEA RAVEN,0.30,601.00,318.00
2005,SEA URCHINS,1595.30,3517052.00,5142215.00
2005,SEAROBINS,17.90,39537.00,2648.00
2005,"SEATROUT, SAND",0.20,417.00,924.00
2005,"SEATROUT, SPOTTED",95.50,210475.00,308469.00
2005,"SEAWEED, IRISH MOSS",1.50,3410.00,419.00
2005,"SEAWEED, ROCKWEED",1946.30,4290809.00,79160.00
2005,SEAWEEDS,246.50,543380.00,137558.00
2005,"SHAD, AMERICAN",307.90,678776.00,659757.00
2005,"SHAD, GIZZARD",494.80,1090786.00,70369.00
2005,"SHAD, HICKORY",103.30,227799.00,56997.00
2005,"SHAD, THREADFIN",1.80,3873.00,4598.00
2005,SHADS (NK),0.10,174.00,94.00
2005,"SHARK, ATLANTIC SHARPNOSE",178.90,394299.00,155341.00
2005,"SHARK, BLACKNOSE",36.90,81443.00,39022.00
2005,"SHARK, BLACKTIP",130.30,287255.00,93576.00
2005,"SHARK, BONNETHEAD",20.90,46167.00,22223.00
2005,"SHARK, BULL",10.70,23676.00,9720.00
2005,"SHARK, DOGFISH",93.80,206814.00,45671.00
2005,"SHARK, DUSKY",0.00,14.00,8.00
2005,"SHARK, FINETOOTH",51.70,114032.00,61143.00
2005,"SHARK, HAMMERHEAD",47.90,105506.00,20850.00
2005,"SHARK, LEMON",7.90,17448.00,7963.00
2005,"SHARK, MAKOS",16.00,35170.00,29926.00
2005,"SHARK, PORBEAGLE",1.00,2137.00,3415.00
2005,"SHARK, SAND TIGER",0.20,354.00,143.00
2005,"SHARK, SANDBAR",480.20,1058722.00,316256.00
2005,"SHARK, SHORTFIN MAKO",89.60,197480.00,164048.00
2005,"SHARK, SILKY",1.90,4276.00,1911.00
2005,"SHARK, SMOOTH DOGFISH",549.30,1210900.00,536215.00
2005,"SHARK, SPINY DOGFISH",1039.60,2291831.00,413484.00
2005,"SHARK, THRESHER",15.10,33250.00,8807.00
2005,"SHARK, TIGER",2.90,6500.00,652.00
2005,SHARKS,307.00,676908.00,1290483.00
2005,SHEEPSHEAD,104.30,229836.00,198852.00
2005,SHELLFISH,11152.40,24586612.00,9757584.00
2005,"SHRIMP, BROWN",2012.50,4436744.00,7244468.00
2005,"SHRIMP, MARINE, OTHER",2206.30,4864058.00,4653268.00
2005,"SHRIMP, PINK",219.70,484367.00,559176.00
2005,"SHRIMP, ROCK",58.00,127827.00,123838.00
