Stock,SciName,wt_mean_sp_price,NumStocks,FiveYr_mean_stockprice,yrs
sGeBank/midAtl red hake,Urophycis chuss,824.2328457,2,798.26882,2006-2010
BSAI rougheye rockfish,Sebastes aleutianus,830.4588406,3,189.6222731,2008-2012
GOA rougheye rockfish,Sebastes aleutianus,830.4588406,3,721.499676,2008-2012
BC rougheye rockfish,Sebastes aleutianus,830.4588406,3,1080.436456,2006-2010
USWC English sole,Parophrys vetulus,838.7483095,3,739.2315787,2008-2012
BC Hecate Strait English sole,Parophrys vetulus,838.7483095,3,968.983199,2006-2010
BC WCVI English sole,Parophrys vetulus,838.7483095,3,968.983199,2006-2010
USWC longnose skate,Raja rhina,863.4021888,2,878.76276,2005-2009
BC longnose skate,Raja rhina,863.4021888,2,314.5814697,2006-2010
nGeBank/GoMaine silver hake,Merluccius bilinearis,909.9501427,5,1193.644,2006-2010
sGeBank/midAtl silver hake,Merluccius bilinearis,909.9501427,5,1383.504,2006-2010
Nova Scotia Hake,Merluccius bilinearis,909.9501427,5,708.4490848,2006-2010
New Brunswick Hake,Merluccius bilinearis,909.9501427,5,954.049447,2006-2010
Newfoundland Hake,Merluccius bilinearis,909.9501427,5,595.1885763,2006-2010
USWC widow rockfish,Sebastes entomelas,968.1032085,2,981.2853557,2008-2012
BC widow rockfish,Sebastes entomelas,968.1032085,2,966.5539869,2006-2010
USWC yellowtail rockfish (northern),Sebastes flavidus,1000.422059,2,1124.183379,2008-2012
BC yellowtail rockfish,Sebastes flavidus,1000.422059,2,924.6495367,2006-2010
OR ocean shrimp,Pandalus jordani,1005.350616,3,979.95436,2008-2012
WA pink shrimp,Pandalus jordani,1005.350616,3,926.00168,2008-2012
BC pink shrimp,Pandalus jordani,1005.350616,3,2287.038421,2005-2009
USWC bocaccio (southern),Sebastes paucispinis,1030.261103,2,2431.229563,2008-2012
BC bocaccio,Sebastes paucispinis,1030.261103,2,956.0216886,2006-2010
USWC longspine thornyhead,Sebastolobus altivelis,1058.409499,2,1042.34538,2005-2009
BC longspine thornyheads,Sebastolobus altivelis,1058.409499,2,1116.06644,2006-2010
USWC canary rockfish,Sebastes pinniger,1137.600798,2,1211.822686,2008-2012
BC canary rockfish,Sebastes pinniger,1137.600798,2,1135.298454,2006-2010
GeBank/GoMaine windowpane flounder,Scophthalmus aquosus,1192.847445,2,984.44,2006-2010
sNEng/midAtl windowpane flounder,Scophthalmus aquosus,1192.847445,2,1355.0636,2006-2010
SE Alaska red sea urchin,Strongylocentrotus franciscanus,1285.976836,5,679.8224491,2002-2006
CA red sea urchin,Strongylocentrotus franciscanus,1285.976836,5,1228.576197,2005-2009
OR red sea urchin,Strongylocentrotus franciscanus,1285.976836,5,825.851626,2005-2009
WA red sea urchin,Strongylocentrotus franciscanus,1285.976836,5,1657.876195,2005-2009
BC red sea urchin,Strongylocentrotus franciscanus,1285.976836,5,1460.574612,2005-2009
GoMaine northern shrimp,Pandalus borealis,1306.478393,5,974.4432,2005-2009
