Species_AFSIS
Aba
Abalones nei
Abu mullet
Acoupa weakfish
Aesop shrimp
African bonytongue
African bullhead
African forktail snapper
African lungfishes
African moonfish
African sicklefish
African striped grunt
Aimara
Aka coral
Akiami paste shrimp
Alaska plaice
Alaska pollock(=Walleye poll.)
Albacore
Alewife
Alexandria pompano
Alfonsino
Alfonsinos nei
Allis shad
Amazonian manatee
Amberjacks nei
Amer. plaice(=Long rough dab)
American angler
American conger
American cupped oyster
American eel
American gizzard shad
American harvestfish
American lobster
American sea scallop
American shad
American yellow cockle
American yellow perch
Anadara clams nei
Anchoveta(=Peruvian anchovy)
"Anchovies, etc. nei"
Andaman lobster
Angel skin coral
Angelfishes nei
Angelshark
"Angelsharks, sand devils nei"
Angler(=Monk)
Anglerfishes nei
Angolan dentex
Angular roughshark
Angulate volute
Annular seabream
Antarctic armless flounder
Antarctic flying squid
Antarctic horsefish
Antarctic krill
Antarctic octopuses
"Antarctic rockcods, noties nei"
Antarctic silverfish
Antarctic starry skate
Antarctic stone crab
Antarctic toothfish
Aquatic invertebrates nei
Aquatic mammals nei
Arabian whip lobster
Arapaima
Araucanian herring
Arawana
Arctic char
Arctic skate
Areolate grouper
Argentine
Argentine anchovy
Argentine angelshark
Argentine conger
Argentine croaker
Argentine goatfish
Argentine hake
Argentine menhaden
Argentine red shrimp
Argentine seabass
Argentine shortfin squid
Argentine stiletto shrimp
Argentines
Argentinian sandperch
Argentinian silverside
Aristeid shrimps nei
Aristeus shrimps nei
Ark clams nei
Arrow-tooth flounder
Arrowhead dogfish
Asian bonytongue
Asian redtail catfish
Asian swamp eel
Asp
Atka mackerel
Atl.jackknife(=Atl.razor clam)
Atlantic Spanish mackerel
Atlantic anchoveta
Atlantic bay scallop
Atlantic bluefin tuna
Atlantic bonito
Atlantic bumper
Atlantic butterfish
Atlantic cod
Atlantic croaker
Atlantic emperor
Atlantic goldeneye tilefish
Atlantic halibut
Atlantic herring
Atlantic horse mackerel
Atlantic lizardfish
Atlantic mackerel
Atlantic menhaden
Atlantic moonfish
Atlantic needlefish
Atlantic pomfret
Atlantic puffers nei
Atlantic redfishes nei
Atlantic rock crab
Atlantic sabretooth anchovy
Atlantic sailfish
Atlantic salmon
Atlantic saury
Atlantic seabob
Atlantic searobins
Atlantic sharpnose shark
Atlantic silverside
Atlantic surf clam
Atlantic thread herring
Atlantic tomcod
Atlantic weasel shark
Atlantic white marlin
Atlantic wolffish
Australian crayfish
Australian mussel
Australian pilchard
Australian salmon
Australian spiny lobster
Axillary seabream
Ayu sweetfish
Bagrid catfish
Baird's slickhead
Balao halfbeak
Bali sardinella
Ballan wrasse
Ballyhoo halfbeak
Baltic prawn
Banana prawn
Banded astyanax
Banded carpet shell
Banded jewelfish
Banded rudderfish
Banded yellowfish
Bar jack
Barbel
Barbeled houndshark
Barnacle
Barracudas nei
Barramundi(=Giant seaperch)
Barred grunt
Barred sorubim
Barrelfish
Bartail flathead
Basket cockle
Basketwork eel
Basking shark
Bastard grunt
Bastard halibut
Bastard halibuts nei
Batfishes
Bathyraja rays nei
Batwing coral crab
Bayad
Beaked redfish
Bean solen
Bearded brotula
Beardless barb
Beluga
Benguela hake
Bichique
Big-scale sand smelt
Bigeye croaker
Bigeye grenadier
Bigeye grunt
Bigeye lates
Bigeye scad
Bigeye thresher
Bigeye trevally
Bigeye tuna
Bigeyes nei
Bigfin reef squid
Bighead carp
Biglip grunt
Bigmouth sleeper
Bignose fanskate
Bigspined boarfish
Bigtooth corvina
Birdbeak dogfish
Black and Caspian Sea sprat
Black cardinal fish
Black carp
Black catfishes nei
Black corals and thorny corals
Black cusk-eel
Black dogfish
Black driftfish
Black drum
Black grouper
Black marlin
Black musselcracker
Black oreo
Black pomfret
Black rockcod
Black rockfish
Black scabbardfish
Black scorpionfish
Black seabass
Black seabream
Black skipjack
Black stone crab
Black teatfish
Black-streaked monocle bream
Blackbanded trevally
Blackbellied angler
Blackbelly rosefish
Blackchin guitarfish
Blackchin tilapia
Blackfin goosefish
Blackfin icefish
Blackfin snapper
Blackfin tuna
Blackhead seabream
Blacklip abalone
Blackmouth catshark
Blackmouth croaker
Blackmouth splitfin
Blacknose shark
Blackspot(=red) seabream
Blackspotted rubberlip
Blacktail comber
Blacktip grouper
Blacktip shark
Bleak
Bloch's gizzard shad
Blonde ray
Blood ark
Blood cockle
Blotched picarel
Blue and red shrimp
Blue antimora
Blue butterfish
Blue catfish
Blue crab
Blue grenadier
Blue jack mackerel
Blue king crab
Blue ling
Blue mackerel
Blue marlin
Blue mud shrimp
Blue mussel
Blue runner
Blue shark
Blue shrimp
Blue skate
Blue squat lobster
Blue swimming crab
Blue tilapia
Blue whiting(=Poutassou)
Blue-barred parrotfish
Blueback shad
Bluefin gurnard
Bluefin trevally
Bluefish
Bluenose warehou
Bluespine unicornfish
Bluespot mullet
Bluespotted cornetfish
Bluespotted seabream
Bluestripe herring
Blunt scalyhead
Bluntnose sixgill shark
Boarfish
Boarfishes nei
Bobo croaker
Bobo mullet
Bocaccio rockfish
Bocon toadfish
Boe drum
Bogue
Bombay-duck
Bonefish
Bonga shad
Bonnethead
"Bonnetmouths, rubyfishes nei"
Bowfin
Boxfishes nei
Bramble shark
Brazilian codling
Brazilian flathead
Brazilian groupers nei
Brazilian menhaden
Brazilian sandperch
Brazilian sardinella
Brill
Brine shrimp
Broad-striped anchovy
Broadgilled hagfish
Broadnose sevengill shark
Broadnose skate
Broadtail shortfin squid
Brook trout
Broomtail grouper
Brown bullhead
Brown king crab
Brown meagre
Brown ray
Brown smooth-hound
Brown wrasse
Brown-marbled grouper
Brownspotted grouper
Brownstripe red snapper
Brushtooth lizardfish
Bubu
Buccaneer anchovy
Buffalofishes nei
Bull shark
Bullet tuna
Burbot
Bushy hard coral
Butter catfish
Butter clam
"Butterfishes, pomfrets nei"
Butterfly kingfish
Cabezon
Cabinza grunt
Cachama
Calico scallop
California butterfly ray
California flounder
California pilchard
California sheephead
Californian anchovy
Camouflage grouper
Canary drum(=Baardman)
Canary rockfish
Cannonball jellyfish
Cape Hope squid
Cape bonnetmouth
Cape elephantfish
Cape fathead
Cape gurnard
Cape hakes
Cape horse mackerel
Cape rock lobster
Capelin
Capro dory
Caramote prawn
Carangids nei
Cardinal fishes nei
"Cardinalfishes, etc. nei"
Caribbean spiny lobster
Carpenter seabream
Carpet shells nei
Carrot squat lobster
Caspian shads
Cassava croaker
Castaneta
Catfishes nei
"Catsharks, etc. nei"
"Catsharks, nursehounds nei"
Cephalopods nei
Cero
Chaceon geryons nei
Chacunda gizzard shad
Channel bull blenny
Channel catfish
Characins nei
Chars nei
Charybdis crabs nei
Chilean flat oyster
Chilean grenadier
Chilean jack mackerel
Chilean knife shrimp
