id,sname,year,catch
1,Callophyllis variegata ,2002,12
1,Callophyllis variegata ,2003,5
1,Callophyllis variegata ,2004,10
1,Callophyllis variegata ,2005,683
1,Callophyllis variegata ,2006,17
1,Callophyllis variegata ,2007,213
1,Callophyllis variegata ,2008,
1,Callophyllis variegata ,2009,
1,Callophyllis variegata ,2010,
2,Lessonia nigrescens,2002,96428
2,Lessonia nigrescens,2003,108 899
2,Lessonia nigrescens,2004,151 752
2,Lessonia nigrescens,2005,203 897
2,Lessonia nigrescens,2006,161834
2,Lessonia nigrescens,2007,136766
2,Lessonia nigrescens,2008,202262
2,Lessonia nigrescens,2009,222628
2,Lessonia nigrescens,2010,190746
3,Durvillaea antarctica ,2002,2312
3,Durvillaea antarctica ,2003,1 842
3,Durvillaea antarctica ,2004,2 733
3,Durvillaea antarctica ,2005,2 562
3,Durvillaea antarctica ,2006,2292
3,Durvillaea antarctica ,2007,4274
3,Durvillaea antarctica ,2008,4872
3,Durvillaea antarctica ,2009,5872
3,Durvillaea antarctica ,2010,6048
4,Lessonia trabeculata,2002,25956
4,Lessonia trabeculata,2003,69 272
4,Lessonia trabeculata,2004,65 290
4,Lessonia trabeculata,2005,46 923
4,Lessonia trabeculata,2006,27552
4,Lessonia trabeculata,2007,31010
4,Lessonia trabeculata,2008,33754
4,Lessonia trabeculata,2009,54120
4,Lessonia trabeculata,2010,62734
5,Mazzaella laminarioides  ,2002,7329
5,Mazzaella laminarioides  ,2003,6 288
5,Mazzaella laminarioides  ,2004,5 954
5,Mazzaella laminarioides  ,2005,4 930
5,Mazzaella laminarioides  ,2006,3731
5,Mazzaella laminarioides  ,2007,5108
5,Mazzaella laminarioides  ,2008,4372
5,Mazzaella laminarioides  ,2009,4225
5,Mazzaella laminarioides  ,2010,1172
6,Sarcothalia crispata ,2002,20047
6,Sarcothalia crispata ,2003,21 135
6,Sarcothalia crispata ,2004,18 414
6,Sarcothalia crispata ,2005,24 942
6,Sarcothalia crispata ,2006,17135
6,Sarcothalia crispata ,2007,12297
6,Sarcothalia crispata ,2008,14941
6,Sarcothalia crispata ,2009,34289
6,Sarcothalia crispata ,2010,30194
7,Gigartina skottsbergii ,2002,21301
7,Gigartina skottsbergii ,2003,30 952
7,Gigartina skottsbergii ,2004,33 308
7,Gigartina skottsbergii ,2005,42 541
7,Gigartina skottsbergii ,2006,33331
7,Gigartina skottsbergii ,2007,41879
