"","Country","Stocks","TotalMSY","TotalCatch","MedianB","MedianF","PercBvBmsyBelowOne","PercFvFmsyAboveOne","NeiCatch","NeiStocks","FaoCatch","FaoFisheries","PercCatchCovered","PercFisheriesCovered"
"178","US Virgin Islands",11,326.18920363977,289,0.74377252123226,1.03461502392284,90.9090909090909,54.5454545454545,192,8,515,29,56.1165048543689,37.9310344827586
"30","China Macao SAR",1,314.512987830452,230,0.436237884690017,1.6763545318604,100,100,230,1,1500,4,15.3333333333333,25
"170","Turks and Caicos Is.",1,277.231557162437,200,0.402650587013341,1.79167401368972,100,100,NA,NA,3780,6,5.29100529100529,16.6666666666667
"84","Jamaica",1,270.775554127891,350,0.645410181024339,2.00273173287407,100,100,NA,NA,14600,6,2.3972602739726,16.6666666666667
"139","Saint Kitts and Nevis",11,255.7907501779,216,0.759132478535327,1.00957926911964,81.8181818181818,54.5454545454545,160,9,21802,28,0.990734794972938,39.2857142857143
"17","Bermuda",15,249.077852953226,194,0.78238948949093,0.963672204855651,73.3333333333333,46.6666666666667,83,8,516,47,37.5968992248062,31.9148936170213
"151","Solomon Islands",8,195.258351695368,123,0.865762007121445,0.72075957217305,50,37.5,105,3,38769,18,0.317263793236865,44.4444444444444
"43","Dominica",3,187.909481545865,168,0.94377484174538,0.806277167389096,66.6666666666667,0,NA,NA,561,13,29.9465240641711,23.0769230769231
"156","St. Pierre and Miquelon",3,168.29508600636,66,0.773458581279181,0.41679857812541,100,0,52,2,3261,40,2.02391904323827,7.5
"105","Micronesia",7,167.741959013514,128,1.0742469445558,0.719555996214909,42.8571428571429,28.5714285714286,40,2,45811,13,0.279408875597564,53.8461538461538
"166","Tonga",4,161.287732987584,84,1.13739141793538,0.513689283515468,50,0,61,1,1942,14,4.3254376930999,28.5714285714286
"86","Jordan",9,157.192914693747,128,1.45218800600189,0.601351533211241,22.2222222222222,11.1111111111111,24,3,150,12,85.3333333333333,75
"5","Anguilla",1,126.625852064815,144,0.659957411230242,1.72315443066739,100,100,NA,NA,1122,3,12.8342245989305,33.3333333333333
"8","Aruba",3,114.686352262614,93,0.710622601619998,1.19265047250026,100,66.6666666666667,48,2,138,5,67.3913043478261,60
"165","Tokelau",2,112.854988883238,123,1.13739141793538,0.828296929434111,50,0,0,1,248,10,49.5967741935484,20
"68","Guam",15,100.993588661421,94,0.761912891657692,0.961593446491387,66.6666666666667,46.6666666666667,60,12,345,23,27.2463768115942,65.2173913043478
"163","Timor-Leste",5,95.0245770947364,76,0.503168812716888,1.6763545318604,80,60,76,5,3199,7,2.3757424195061,71.4285714285714
"124","Palau",7,39.5257991702341,36,0.74377252123226,0.931212639554398,71.4285714285714,28.5714285714286,34,5,900,33,4,21.2121212121212
"119","Northern Mariana Is.",9,38.446229792809,32,0.931198428272899,0.931212639554398,55.5555555555556,33.3333333333333,28,8,222,19,14.4144144144144,47.3684210526316
"99","Marshall Islands",1,35.8249349073534,17,0.657277069687091,0.721963148131192,100,0,NA,NA,75356,13,0.0225595838420298,7.69230769230769
"111","Nauru",2,17.1199774116177,13,1.50282750574543,0.598596875157376,0,0,NA,NA,492,9,2.64227642276423,22.2222222222222
"183","Wallis and Futuna Is.",3,7.72169587582434,6,0.503168812716888,1.788205040778,66.6666666666667,66.6666666666667,6,3,849,5,0.706713780918728,60
"19","British Indian Ocean Ter",1,3.2445054336563,3,1.45218800600189,0.636722069730691,0,0,NA,NA,10,7,30,14.2857142857143
"118","Niue",1,2.94354457956818,2,0.706590645097778,0.961593446491387,100,0,2,1,7,11,28.5714285714286,9.09090909090909
