,IdOrig,SciName,CommName,Country,Year,Policy,Dbase,IdLevel,BvBmsy,FvFmsy,Catch,MSY,Profits,Biomass,Price,MarginalCost,SpeciesCatName,RegionFAO
371638,AFSC-SABLEFEBSAIGA-1958-2010-STACHURA,Anoplopoma fimbria,Sablefish Eastern Bering Sea / Aleutian Islands / Gulf of Alaska,USA,2012,Historic,RAM,Species,1.1,0.584,11300,18950,37457032.5,254976.6619,3836.258463,482227244.8,Miscellaneous demersal fishes,67
371673,AFSC-SNOWCRABBS-1978-2013-HIVELY,Chionoecetes opilio,Snow crab Bering Sea,USA,2012,Historic,RAM,Species,0.231,1.79,30100,72711.59368,-32715775.52,170239.2727,3411.590862,1288678342,"Crabs, sea-spiders",67
371758,AFSC-WPOLLAI-1976-2013-CHING,Theragra chalcogramma,Walleye pollock Aleutian Islands,USA,2012,Historic,RAM,Species,0.958,0.136,961,7781.389409,577866.1323,248382.9044,668.0475509,126870268.6,"Cods, hakes, haddocks",67
371807,AFSC-WPOLLEBS-1964-2013-CHING,Theragra chalcogramma,Walleye pollock Eastern Bering Sea,USA,2012,Historic,RAM,Species,1.08,1.18,1200000,1583847.495,1012722087,7421350.51,668.0475509,1824134640,"Cods, hakes, haddocks",67
371856,AFSC-WPOLLGA-1964-2012-CHING,Theragra chalcogramma,Walleye pollock Gulf of Alaska,USA,2012,Historic,RAM,Species,0.961,0.78,81300,119582.1116,45084027.17,1124552.887,668.0475509,396485706.5,"Cods, hakes, haddocks",67
371919,AFSC-YSOLEBSAI-1949-2010-STACHURA,Limanda aspera,Yellowfin sole Bering Sea and Aleutian Islands,USA,2012,Historic,RAM,Species,1.99,0.615,108000,96528.68764,77475531.64,2219215.497,737.7977255,438608748.6,"Flounders, halibuts, soles",67
371982,AFWG-CODNEAR-1946-2011-CHING,Gadus morhua,Atlantic cod Northeast Arctic,Multinational,2012,Historic,RAM,Species,1.26,0.741,720000,769532.1649,1229314624,3631814.603,2100.902985,2302521034,"Cods, hakes, haddocks",27
372035,AFWG-GHALNEAR-1960-2010-NEUBAUER,Reinhardtius hippoglossoides,Greenland halibut Northeast Arctic,Multinational,2012,Historic,RAM,Species,0.508,0.772,15700,40045.44643,26089522.91,211277.2222,3111.071907,668061341.7,"Flounders, halibuts, soles",27
372065,AFWG-GOLDREDNEAR-1983-2010-NEUBAUER,Sebastes norvegicus,Golden Redfish Northeast Arctic,Multinational,2012,Historic,RAM,Species,0.0684,4.89,7740,23166.35964,-28441871.14,39015.36,730.9367972,278896097.8,Miscellaneous demersal fishes,27
372128,AFWG-HADNEAR-1947-2012-CHING,Melanogrammus aeglefinus,Haddock Northeast Arctic,Multinational,2012,Historic,RAM,Species,1.99,1.13,310000,102304.0707,259534094.7,774129.2676,1301.7755,193420869.6,"Cods, hakes, haddocks",27
372184,AFWG-POLLNEAR-1957-2012-CHING,Pollachius virens,Pollock Northeast Arctic,Multinational,2012,Historic,RAM,Species,1.08,0.774,157000,187225.9076,148476242.4,742332.6692,1215.299399,315709275.6,"Cods, hakes, haddocks",27
