,IdOrig,SciName,CommName,Country,Year,Policy,Dbase,IdLevel,BvBmsy,FvFmsy,Catch,MSY,Profits,Biomass,Price,MarginalCost,SpeciesCatName,RegionFAO
59859,12803-FAO-51-33,Acanthurus sohal,Sohal surgeonfish,Saudi Arabia,2012,Historic,FAO,Species,1.215001615,0.938928908,51,44.70546438,74188.02367,430.2566471,1833.536062,309074.9478,Miscellaneous coastal fishes,51
59985,12806-FAO-51-45,Metapenaeus monoceros,Speckled shrimp,Saudi Arabia,2012,Historic,FAO,Species,0.686175435,2.976883805,1500,734.334968,2097565.674,4028.069824,2896.543384,8116311.825,"Shrimps, prawns",51
60111,12808-FAO-51-33,Grammoplites suppositus,Spotfin flathead,Saudi Arabia,2012,Historic,FAO,Species,0.814848677,1.766814151,48,33.34059943,55230.59001,209.8976299,1833.536062,223148.3882,Miscellaneous coastal fishes,51
60174,12809-FAO-51-33,Plectropomus areolatus,Squaretail coralgrouper,Saudi Arabia,2012,Historic,FAO,Species,1.278345844,0.710440529,410,451.4480321,1127822.895,4605.463831,3357.209607,5770257.872,Miscellaneous coastal fishes,51
60300,12810-FAO-51-33,Epinephelus summana,Summan grouper,Saudi Arabia,2012,Historic,FAO,Species,0.725685571,1.94253608,36,25.53788451,68856.38086,145.6212804,3357.209607,319910.7428,Miscellaneous coastal fishes,51
60426,12815-FAO-51-33,Lethrinus harak,Thumbprint emperor,Saudi Arabia,2012,Historic,FAO,Species,0.973562826,1.379489283,43,32.01740593,56023.08227,250.748484,1833.536062,225837.8992,Miscellaneous coastal fishes,51
60489,12818-FAO-51-33,Plectorhinchus pictus,Trout sweetlips,Saudi Arabia,2012,Historic,FAO,Species,0.537033634,0.20155554,1,9.238549163,1293.288307,42.33862135,1833.536062,70364.02855,Miscellaneous coastal fishes,51
60552,12820-FAO-51-33,Lutjanus bohar,Two-spot red snapper,Saudi Arabia,2012,Historic,FAO,Species,1.391924408,0.602642193,420,500.6959805,1202904.117,5615.301377,3401.099221,6564751.547,Miscellaneous coastal fishes,51
60615,12821-FAO-51-33,Acanthopagrus bifasciatus,Twobar seabream,Saudi Arabia,2012,Historic,FAO,Species,1.81756383,0.144926049,590,2239.834281,1547525.027,19998.94818,2847.466768,12922698.29,Miscellaneous coastal fishes,51
60741,12823-FAO-51-33,Epinephelus multinotatus,White-blotched grouper,Saudi Arabia,2012,Historic,FAO,Species,1.093521072,1.48265367,800,493.4272311,1978571.709,4277.542323,3357.209607,6252812.531,Miscellaneous coastal fishes,51
60804,12824-FAO-51-35,Chirocentrus nudus,Whitefin wolf-herring,Saudi Arabia,2012,Historic,FAO,Species,0.7064851,1.264495404,23,19.30940259,3681.674309,113.7234179,349.062214,27159.99791,"Herrings, sardines, anchovies",51
60930,12827-FAO-51-33,Variola louti,Yellow-edged lyretail,Saudi Arabia,2012,Historic,FAO,Species,1.374335049,0.580153657,420,526.7610246,1187089.772,5885.690609,3357.209607,6897587.113,Miscellaneous coastal fishes,51
60993,12828-FAO-51-33,Pomacanthus maculosus,Yellowbar angelfish,Saudi Arabia,2012,Historic,FAO,Species,1.095762792,1.518506481,80,48.07915073,107861.1923,410.0467634,1833.536062,324893.3996,Miscellaneous coastal fishes,51
61056,12829-FAO-51-33,Cephalopholis hemistiktos,Yellowfin hind,Saudi Arabia,2012,Historic,FAO,Species,1.025496732,1.198310228,250,203.4400537,618226.4296,1640.024943,3357.209607,2549911.581,Miscellaneous coastal fishes,51
61119,12830-FAO-51-33,Acanthopagrus latus,Yellowfin seabream,Saudi Arabia,2012,Historic,FAO,Species,1.535060609,0.409801729,320,508.6870297,794979.8131,5908.898385,2847.466768,5146421.296,Miscellaneous coastal fishes,51
61182,12831-FAO-51-33,Lethrinus xanthochilus,Yellowlip emperor,Saudi Arabia,2012,Historic,FAO,Species,0.683111576,2.109313289,35,24.29043603,34106.43933,134.428289,1833.536062,172919.5812,Miscellaneous coastal fishes,51
61245,12833-FAO-51-33,Mulloidichthys flavolineatus,Yellowstripe goatfish,Saudi Arabia,2012,Historic,FAO,Species,1.133047885,0.886025459,130,129.4937735,81961.98528,1092.368013,805.9859018,363074.9451,Miscellaneous coastal fishes,51
61308,12836-FAO-34-33,Drepane africana,African sicklefish,Senegal,2012,Historic,FAO,Species,1.569789373,1.1744363,1551,841.2807413,2357412.504,9477.967502,1833.536062,5115990.508,Miscellaneous coastal fishes,34
61371,12844-FAO-34-33,Lethrinus atlanticus,Atlantic emperor,Senegal,2012,Historic,FAO,Species,1.608192323,1.657773861,5467,2050.622894,8168083.792,31051.31621,1833.536062,17749042.61,Miscellaneous coastal fishes,34
61434,12847-FAO-34-34,Brotula barbata,Bearded brotula,Senegal,2012,Historic,FAO,Species,1.347164026,0.43423151,916,1565.862637,1367154.617,15018.1196,1751.526554,9001830.1,Miscellaneous demersal fishes,34
61497,12848-FAO-34-33,Brachydeuterus auritus,Bigeye grunt,Senegal,2012,Historic,FAO,Species,0.965968798,0.663628521,1270,1981.141885,1783217.125,5966.428404,1833.536062,4075473.711,Miscellaneous coastal fishes,34
61560,12855-FAO-34-33,Spondyliosoma cantharus,Black seabream,Senegal,2012,Historic,FAO,Species,1.020198172,0.92328281,1431,1519.218858,3077023.135,11880.09289,2847.466768,15629137.92,Miscellaneous coastal fishes,34
61623,12861-FAO-34-33,Pseudotolithus elongatus,Bobo croaker,Senegal,2012,Historic,FAO,Species,1.566219946,0.438999476,251,365.0538808,329128.1532,1619.244736,1503.069022,543320.4828,Miscellaneous coastal fishes,34
61686,12862-FAO-34-33,Pteroscion peli,Boe drum,Senegal,2012,Historic,FAO,Species,0.612940368,1.2521309,788,1026.734745,1018574.157,6035.324059,2335.514355,11593077.02,Miscellaneous coastal fishes,34
61749,12863-FAO-34-33,Boops boops,Bogue,Senegal,2012,Historic,FAO,Species,1.567949845,3.093653548,435,89.67789677,955023.4835,1031.546259,2847.466768,871451.3013,Miscellaneous coastal fishes,34
61875,12865-FAO-34-35,Ethmalosa fimbriata,Bonga shad,Senegal,2012,Historic,FAO,Species,0.968740256,0.891918053,14595,12668.72943,6392592.423,99955.27702,784.0985138,38834273.46,"Herrings, sardines, anchovies",34
61938,12867-FAO-34-33,Pseudotolithus senegalensis,Cassava croaker,Senegal,2012,Historic,FAO,Species,1.181093393,0.666097053,2065,2624.812608,2508638.011,9099.857366,1503.069022,4092714.591,Miscellaneous coastal fishes,34
62064,12871-FAO-34-56,Cerastoderma edule,Common edible cockle,Senegal,2012,Historic,FAO,Species,1.569646012,0.546844651,583,679.2081142,488816.1824,8234.038883,970.4297157,2404940.608,"Clams, cockles, arkshells",34
62608,12881-FAO-34-33,Epinephelus marginatus,Dusky grouper,Senegal,2012,Historic,FAO,Species,1.411808991,0.450543424,223,350.5841393,641846.9956,6896.408462,3357.209607,9247588.552,Miscellaneous coastal fishes,34
62671,12882-FAO-34-35,Engraulis encrasicolus,European anchovy,Senegal,2012,Historic,FAO,Species,0.643898826,6.017826181,1965,380.3352212,450149.8301,2148.176948,956.8205335,1566733.918,"Herrings, sardines, anchovies",34
62858,12887-FAO-34-33,Polydactylus quadrifilis,Giant African threadfin,Senegal,2012,Historic,FAO,Species,1.095724213,1.49337711,622,380.1190505,840117.4725,1231.96994,1833.536062,730245.1004,Miscellaneous coastal fishes,34
63047,12892-FAO-34-33,Gerres nigri,Guinean striped mojarra,Senegal,2012,Historic,FAO,Species,0.839835975,1.37138667,1916,1663.570104,2336465.395,11126.61186,1833.536062,11581977.2,Miscellaneous coastal fishes,34
63299,12901-FAO-34-34,Zeus faber,John dory,Senegal,2012,Historic,FAO,Species,1.247255165,0.699087717,208,238.5483143,506088.0439,2692.759401,2982.64717,3190292.23,Miscellaneous demersal fishes,34
63362,12902-FAO-34-33,Dentex macrophthalmus,Large-eye dentex,Senegal,2012,Historic,FAO,Species,1.444164778,0.333236304,375,779.2238014,931754.139,8716.004048,2847.466768,8125637.743,Miscellaneous coastal fishes,34
63425,12903-FAO-34-34,Trichiurus lepturus,Largehead hairtail,Senegal,2012,Historic,FAO,Species,1.566784358,0.951910178,14704,9858.941654,10219049.47,43760.58514,828.2497344,8089000.386,Miscellaneous demersal fishes,34
63551,12909-FAO-34-35,Sardinella maderensis,Madeiran sardinella,Senegal,2012,Historic,FAO,Species,1.731648179,0.317791358,128894,175667.824,25379201.49,2184426.254,293.2523318,170986345.9,"Herrings, sardines, anchovies",34
64307,12929-FAO-34-33,Pagellus bellottii,Red pandora,Senegal,2012,Historic,FAO,Species,1.103620154,0.656750664,2654,3661.683264,6012823.382,33151.49995,2847.466768,41146191.02,Miscellaneous coastal fishes,34
64370,1293-FAO-31-33,Ocyurus chrysurus,Yellowtail snapper,British Virgin Islands,2012,Historic,FAO,Species,1.700515366,0.198367698,250,741.1199333,771532.774,7039.39013,3401.099221,6035039.936,Miscellaneous coastal fishes,31
64433,12930-FAO-34-35,Sardinella aurita,Round sardinella,Senegal,2012,Historic,FAO,Species,1.38749728,0.59985358,119582,107758.0392,22140361.11,1115113.057,293.2523318,110180804,"Herrings, sardines, anchovies",34
64496,12931-FAO-34-33,Lithognathus mormyrus,Sand steenbras,Senegal,2012,Historic,FAO,Species,0.900035986,1.071854821,21,21.76824693,42440.96951,167.7528615,2847.466768,258601.6478,Miscellaneous coastal fishes,34
65000,12949-FAO-34-45,Penaeus notialis,Southern pink shrimp,Senegal,2012,Historic,FAO,Species,0.617768774,1.295683099,2660,3323.203148,5871593.304,20546.43522,3996.106162,67864119.5,"Shrimps, prawns",34
65126,12950-FAO-34-33,Dicentrarchus punctatus,Spotted seabass,Senegal,2012,Historic,FAO,Species,0.730131131,2.477913653,144,79.5931069,315634.5662,1420.476357,4059.514366,5271583.745,Miscellaneous coastal fishes,34
66515,13-FAO-37-31,Solea solea,Common sole,Albania,2012,Historic,FAO,Species,0.692122505,2.218762513,79,51.44383073,227882.8876,281.7785747,5437.513478,1053487.606,"Flounders, halibuts, soles",37
67077,13031-FAO-51-76,Holothuria nobilis,Black teatfish,Seychelles,2012,Historic,FAO,Species,1.556113759,0.136220739,8,37.74030561,18084.10756,462.9652598,2485.201401,351451.7606,Sea-urchins and other echinoderms,51
67493,13059-FAO-51-76,Thelenota ananas,Prickly redfish,Seychelles,2012,Historic,FAO,Species,1.555310668,0.468752901,174,238.664667,375753.7072,2862.731337,2485.201401,2160051.983,Sea-urchins and other echinoderms,51
68040,13085-FAO-51-76,Holothuria fuscogilva,White teatfish,Seychelles,2012,Historic,FAO,Species,1.548658742,0.27141516,142,337.8302336,313473.6614,3864.064924,2485.201401,2890373.097,Sea-urchins and other echinoderms,51
68103,13091-FAO-34-33,Drepane africana,African sicklefish,Sierra Leone,2012,Historic,FAO,Species,1.674419839,0.382060096,580,906.6338955,941698.0559,11105.8976,1833.536062,5652525.677,Miscellaneous coastal fishes,34
68166,13099-FAO-34-33,Brachydeuterus auritus,Bigeye grunt,Sierra Leone,2012,Historic,FAO,Species,1.567160876,0.454806174,5150,7225.489873,8225635.028,32290.09454,1833.536062,13236047.02,Miscellaneous coastal fishes,34
68229,13101-FAO-34-33,Pseudotolithus elongatus,Bobo croaker,Sierra Leone,2012,Historic,FAO,Species,1.567861326,0.434622839,12000,17610.06884,15744520.82,78743.97956,1503.069022,26449642.81,Miscellaneous coastal fishes,34
68292,13102-FAO-34-33,Pteroscion peli,Boe drum,Sierra Leone,2012,Historic,FAO,Species,0.824091531,2.100753018,530,306.1437677,757666.9657,1978.891961,2335.514355,2661779.745,Miscellaneous coastal fishes,34
68355,13103-FAO-34-33,Albula vulpes,Bonefish,Sierra Leone,2012,Historic,FAO,Species,1.551670218,0.41097285,920,1442.69747,1473839.064,16615.85819,1833.536062,9165661.439,Miscellaneous coastal fishes,34
68418,13104-FAO-34-35,Ethmalosa fimbriata,Bonga shad,Sierra Leone,2012,Historic,FAO,Species,1.816965436,0.205678041,84400,169382.7258,45284623.94,1992954.335,784.0985138,385382828.7,"Herrings, sardines, anchovies",34
68595,13110-FAO-34-33,Epinephelus goreensis,Dungat grouper,Sierra Leone,2012,Historic,FAO,Species,0.686409054,1.496229939,90,87.63168567,175055.1586,527.5712347,3357.209607,1266409.682,Miscellaneous coastal fishes,34
68658,13111-FAO-34-35,Engraulis encrasicolus,European anchovy,Sierra Leone,2012,Historic,FAO,Species,0.633835373,0.931796294,80,101.590664,34721.65395,642.487992,956.8205335,494784.4371,"Herrings, sardines, anchovies",34
68770,13113-FAO-34-33,Polydactylus quadrifilis,Giant African threadfin,Sierra Leone,2012,Historic,FAO,Species,1.621871552,0.386661659,3160,5038.943816,5106674.509,22916.85091,1833.536062,9031381.91,Miscellaneous coastal fishes,34
68896,13116-FAO-34-34,Trichiurus lepturus,Largehead hairtail,Sierra Leone,2012,Historic,FAO,Species,1.569948383,0.444408058,1330,1906.269686,960822.0415,8483.109216,828.2497344,1565175.967,Miscellaneous demersal fishes,34
68959,13117-FAO-34-33,Pseudotolithus senegallus,Law croaker,Sierra Leone,2012,Historic,FAO,Species,1.426883375,0.838435458,2350,1964.308733,2931473.27,20730.46764,1503.069022,10183319.87,Miscellaneous coastal fishes,34
69022,13118-FAO-34-33,Galeoides decadactylus,Lesser African threadfin,Sierra Leone,2012,Historic,FAO,Species,1.546497834,0.449374748,2950,4244.866493,4704998.368,18973.19074,1833.536062,7913073.455,Miscellaneous coastal fishes,34
69590,13131-FAO-34-33,Pentanemus quinquarius,Royal threadfin,Sierra Leone,2012,Historic,FAO,Species,0.675923049,0.530564875,460,1282.691099,579454.4088,2811.10006,1833.536062,2776592.67,Miscellaneous coastal fishes,34
69952,13140-FAO-34-31,Cynoglossidae,Tonguefishes,Sierra Leone,2012,Historic,FAO,Species,0.899279547,1.66113511,1230,823.3897146,1514861.04,5649.395977,1841.757112,5445989.413,"Flounders, halibuts, soles",34
70267,13146-FAO-34-33,Pseudupeneus prayensis,West African goatfish,Sierra Leone,2012,Historic,FAO,Species,1.004717128,0.839909072,270,319.9541048,165026.1338,1037.137416,805.9859018,302494.8346,Miscellaneous coastal fishes,34
70330,13147-FAO-34-24,Ilisha africana,West African ilisha,Sierra Leone,2012,Historic,FAO,Species,1.566326013,0.457559057,7650,10674.12091,5223409.077,48061.84754,784.0985138,8449896.016,Shads,34
70393,13150-FAO-71-25,Lates calcarifer,Barramundi(=Giant seaperch),Singapore,2012,Historic,FAO,Species,0.495721506,1.705168505,27,31.94174965,8428.293526,143.8362819,791.7390036,113941.2298,Miscellaneous diadromous fishes,71
70956,13163-FAO-71-42,Scylla serrata,Indo-Pacific swamp crab,Singapore,2012,Historic,FAO,Species,1.255177429,1.170067091,40,27.23604891,107305.3734,249.8060339,3411.590862,315476.8045,"Crabs, sea-spiders",71
71646,13178-FAO-71-33,Sillaginidae,Sillago-whitings,Singapore,2012,Historic,FAO,Species,0.401582498,0.1188431,3,62.8597292,3650.85108,270.6435301,1833.536062,644130.7277,Miscellaneous coastal fishes,71
72211,13195-FAO-37-33,Boops boops,Bogue,Slovenia,2012,Historic,FAO,Species,1.065069392,0.798589845,1,1.175704858,2208.078779,10.10445167,2847.466768,12930.96838,Miscellaneous coastal fishes,37
72274,13198-FAO-37-57,Sepia officinalis,Common cuttlefish,Slovenia,2012,Historic,FAO,Species,1.694567445,0.143119141,11,45.35614204,24626.46513,624.1034627,2444.773569,431808.753,"Squids, cuttlefishes, octopuses",37
72398,13201-FAO-37-33,Pagellus erythrinus,Common pandora,Slovenia,2012,Historic,FAO,Species,1.573993491,0.929287982,17,11.62239599,40709.67201,148.4916678,2847.466768,128814.7042,Miscellaneous coastal fishes,37
72461,13202-FAO-37-31,Solea solea,Common sole,Slovenia,2012,Historic,FAO,Species,1.143453311,1.120440388,9,7.024821896,37607.68093,59.44426663,5437.513478,131842.469,"Flounders, halibuts, soles",37
72524,13203-FAO-37-35,Engraulis encrasicolus,European anchovy,Slovenia,2012,Historic,FAO,Species,0.626648811,0.470205111,44,111.9959644,21295.08059,564.2975293,956.8205335,411988.8476,"Herrings, sardines, anchovies",37
72587,13206-FAO-37-31,Platichthys flesus,European flounder,Slovenia,2012,Historic,FAO,Species,1.031871954,1.267034043,5,3.824334859,8873.37014,31.48294308,2418.449201,35199.87691,"Flounders, halibuts, soles",37
72650,13208-FAO-37-35,Sardina pilchardus,European pilchard(=Sardine),Slovenia,2012,Historic,FAO,Species,0.575348983,0.03927499,18,597.429051,5711.878937,3318.492307,508.7684931,1482290.041,"Herrings, sardines, anchovies",37
72713,13209-FAO-37-33,Dicentrarchus labrax,European seabass,Slovenia,2012,Historic,FAO,Species,0.79734589,1.467192935,3,2.564408854,7794.434295,16.22640832,4059.514366,39347.10761,Miscellaneous coastal fishes,37
72776,13210-FAO-37-35,Sprattus sprattus,European sprat,Slovenia,2012,Historic,FAO,Species,0.630954572,0.25318601,2,9.389737739,83.58213023,48.72996783,76.17909082,2832.459882,"Herrings, sardines, anchovies",37
72839,13213-FAO-37-33,Sparus aurata,Gilthead seabream,Slovenia,2012,Historic,FAO,Species,1.57099035,0.794731031,11,8.810468387,30639.44698,112.7614441,3284.72301,113179.7883,Miscellaneous coastal fishes,37
73152,13229-FAO-37-33,Sarpa salpa,Salema,Slovenia,2012,Historic,FAO,Species,1.298303259,0.742630748,5,5.185861696,11671.24919,54.42796364,2847.466768,57171.38114,Miscellaneous coastal fishes,37
73341,13235-FAO-37-47,Squilla mantis,Spottail mantis squillid,Slovenia,2012,Historic,FAO,Species,0.417322508,0.938942169,1,2.552050991,1287.434802,8.567254684,3231.497276,31725.20216,Miscellaneous marine crustaceans,37
73579,13243-FAO-71-45,Penaeus merguiensis,Banana prawn,Solomon Islands,2012,Historic,FAO,Species,0.626667532,2.527594784,15,9.469926627,27620.21243,47.36048761,3996.106162,144082.8443,"Shrimps, prawns",71
74109,13281-FAO-47-33,Cymatoceps nasutus,Black musselcracker,South Africa,2012,Historic,FAO,Species,1.573245068,0.386162395,5,8.230072209,12496.93068,88.78560682,2847.466768,73254.48067,Miscellaneous coastal fishes,47
74172,13282-FAO-51-33,Cymatoceps nasutus,Black musselcracker,South Africa,2012,Historic,FAO,Species,0.848591964,1.822495893,2,1.293196506,3639.155172,8.794685155,2847.466768,14096.90205,Miscellaneous coastal fishes,51
74235,13283-FAO-47-34,Helicolenus dactylopterus,Blackbelly rosefish,South Africa,2012,Historic,FAO,Species,1.551353896,0.514569124,1048,1312.824517,1240775.43,15057.74112,1368.908302,6195303.139,Miscellaneous demersal fishes,47
74479,13294-FAO-47-33,Umbrina canariensis,Canary drum(=Baardman),South Africa,2012,Historic,FAO,Species,1.685531237,0.223035533,12,31.92055121,25313.94687,331.5218793,2335.514355,202794.4251,Miscellaneous coastal fishes,47
74542,13295-FAO-47-57,Loligo reynaudii,Cape Hope squid,South Africa,2012,Historic,FAO,Species,1.568813021,0.31941029,6337,12646.30403,9471739.61,145445.4212,1690.429407,72889011.55,"Squids, cuttlefishes, octopuses",47
74668,13297-FAO-47-38,Callorhinchus capensis,Cape elephantfish,South Africa,2012,Historic,FAO,Species,1.715234474,0.32278498,781,1410.633586,338063.0602,36487.11639,484.3191007,5949147.933,"Sharks, rays, chimaeras",47
74731,13299-FAO-47-34,Chelidonichthys capensis,Cape gurnard,South Africa,2012,Historic,FAO,Species,1.046783544,0.602280203,516,818.4539084,423685.6614,8609.333936,1039.266915,4369803.207,Miscellaneous demersal fishes,47
74857,13305-FAO-47-33,Argyrozona argyrozona,Carpenter seabream,South Africa,2012,Historic,FAO,Species,0.732061352,1.404115879,371,360.9304135,647627.4241,2638.612361,2847.466768,5237146.773,Miscellaneous coastal fishes,47
75224,13321-FAO-47-34,Lophius vomerinus,Devil anglerfish,South Africa,2012,Historic,FAO,Species,1.537139423,0.408646892,6766,10771.35979,19026196.25,282059.938,3222.055635,354123739.8,Miscellaneous demersal fishes,47
75413,13327-FAO-47-33,Atractoscion aequidens,Geelbek croaker,South Africa,2012,Historic,FAO,Species,0.974384398,0.957240964,334,358.0922074,371921.8377,8594.872399,1503.069022,8870107.584,Miscellaneous coastal fishes,47
75476,13328-FAO-51-33,Atractoscion aequidens,Geelbek croaker,South Africa,2012,Historic,FAO,Species,0.536862576,1.383593557,6,8.077548764,4280.838227,105.5088532,1503.069022,196895.2002,Miscellaneous coastal fishes,51
75829,13343-FAO-47-34,Zeus faber,John dory,South Africa,2012,Historic,FAO,Species,1.577893443,0.552114516,1457,1672.448353,3756087.581,19492.9681,2982.64717,17176039.75,Miscellaneous demersal fishes,47
75955,13349-FAO-47-34,Genypterus capensis,Kingklip,South Africa,2012,Historic,FAO,Species,1.050127566,0.900880381,3515,3715.490379,4702875.928,97152.16056,1751.526554,108760698.4,Miscellaneous demersal fishes,47
76018,13350-FAO-51-45,Haliporoides triarthrus,Knife shrimp,South Africa,2012,Historic,FAO,Species,0.445794508,0.617499209,161,584.8638209,234738.0746,2784.926737,2896.543384,9421780.202,"Shrimps, prawns",51
76638,13381-FAO-48-34,Dissostichus eleginoides,Patagonian toothfish,South Africa,2012,Historic,FAO,Species,0.826667828,0.04499744,5,134.4160589,22112.47088,2714.217058,5037.415671,11037395.91,Miscellaneous demersal fishes,48
76701,13383-FAO-58-34,Dissostichus eleginoides,Patagonian toothfish,South Africa,2012,Historic,FAO,Species,1.112267776,1.072607687,253,212.0656173,975075.8102,5990.168432,5037.415671,18316895.66,Miscellaneous demersal fishes,58
77060,13397-FAO-47-33,Petrus rupestris,Red steenbras,South Africa,2012,Historic,FAO,Species,0.461937407,0.292711547,2,14.79132256,3513.087692,64.75845423,2847.466768,200525.9045,Miscellaneous coastal fishes,47
77123,13401-FAO-47-33,Cheimerius nufar,Santer seabream,South Africa,2012,Historic,FAO,Species,0.856107971,2.546555439,35,16.05411496,60236.42901,332.3398683,2847.466768,735426.7217,Miscellaneous coastal fishes,47
77186,13402-FAO-51-33,Cheimerius nufar,Santer seabream,South Africa,2012,Historic,FAO,Species,1.029989051,1.53925781,46,29.01441763,93952.60469,740.1411346,2847.466768,1371158.306,Miscellaneous coastal fishes,51
77755,13422-FAO-47-38,Mustelus mustelus,Smooth-hound,South Africa,2012,Historic,FAO,Species,1.738613347,0.109614947,133,697.8769482,108993.4649,7412.065664,886.7251575,1664558.55,"Sharks, rays, chimaeras",47
77919,13426-FAO-47-34,Thyrsites atun,Snoek,South Africa,2012,Historic,FAO,Species,1.636045621,0.356040272,10394,17843.83418,4069078.87,213531.146,442.2144925,26824934.09,Miscellaneous demersal fishes,47
77982,13427-FAO-47-35,Engraulis capensis,Southern African anchovy,South Africa,2012,Historic,FAO,Species,0.777038869,1.182922676,307272,250717.7892,156929667,2155672.768,1041.671533,1520701410,"Herrings, sardines, anchovies",47
78168,13432-FAO-47-33,Argyrosomus hololepidotus,Southern meagre(=Mulloway),South Africa,2012,Historic,FAO,Species,0.585026285,0.561974187,328,997.6589356,311631.033,5346.840512,1503.069022,6830763.972,Miscellaneous coastal fishes,47
78231,13433-FAO-51-33,Argyrosomus hololepidotus,Southern meagre(=Mulloway),South Africa,2012,Historic,FAO,Species,0.499353164,0.77494078,14,36.17859643,11055.24796,169.571486,1503.069022,255657.4862,Miscellaneous coastal fishes,51
78294,13434-FAO-47-43,Palinurus gilchristi,Southern spiny lobster,South Africa,2012,Historic,FAO,Species,0.511813577,1.705516571,609,697.669194,2648289.066,3410.709877,10522.15395,35306058.42,"Lobsters, spiny-rock lobsters",47
78357,13444-FAO-47-31,Cynoglossidae,Tonguefishes,South Africa,2012,Historic,FAO,Species,0.582961583,0.723135944,4,9.488555605,4433.400905,44.22105879,1841.757112,66687.56549,"Flounders, halibuts, soles",47
78420,13446-FAO-47-38,Galeorhinus galeus,Tope shark,South Africa,2012,Historic,FAO,Species,1.253809944,0.359488051,144,319.4819468,108518.881,7159.793227,886.7251575,3076883.926,"Sharks, rays, chimaeras",47
78707,13454-FAO-47-33,Rhabdosargus globiceps,White stumpnose,South Africa,2012,Historic,FAO,Species,0.807756273,1.181615835,97,101.6284009,184227.2155,2059.5821,2847.466768,4884151.366,Miscellaneous coastal fishes,47
78770,13455-FAO-47-35,Etrumeus whiteheadi,Whitehead's round herring,South Africa,2012,Historic,FAO,Species,1.222094533,0.892736742,68687,47218.00144,14343400.95,162776.6344,349.062214,16236431.31,"Herrings, sardines, anchovies",47
78833,13476-FAO-27-34,Beryx decadactylus,Alfonsino,Spain,2012,Historic,FAO,Species,1.162365993,0.123897605,21,145.8187898,31098.41279,1379.149563,1678.317498,955576.9505,Miscellaneous demersal fishes,27
79022,13486-FAO-27-31,Hippoglossoides platessoides,Amer. plaice(=Long rough dab),Spain,2012,Historic,FAO,Species,0.407609128,0.339288157,6,43.38490469,5271.903426,420.5761596,1608.811067,1098932.465,"Flounders, halibuts, soles",27
79274,13508-FAO-41-57,Illex argentinus,Argentine shortfin squid,Spain,2012,Historic,FAO,Species,1.57908676,0.524870596,14186,17115.978,14075855.24,220536.3443,1145.154249,76811542.07,"Squids, cuttlefishes, octopuses",41
79526,13520-FAO-21-31,Hippoglossus hippoglossus,Atlantic halibut,Spain,2012,Historic,FAO,Species,0.203048251,3.779045994,82,106.8642452,-513969.7548,548.6496273,7142.157841,13012803.82,"Flounders, halibuts, soles",21
80076,13591-FAO-27-34,Aphanopus carbo,Black scabbardfish,Spain,2012,Historic,FAO,Species,1.154017366,0.333400086,177,460.0395972,123222.6787,4451.592472,828.2497344,1547046.226,Miscellaneous demersal fishes,27
80139,13593-FAO-34-33,Spondyliosoma cantharus,Black seabream,Spain,2012,Historic,FAO,Species,0.771797434,0.243673787,35,186.104083,78031.53206,1227.681709,2847.466768,2205848.41,Miscellaneous coastal fishes,34
80202,13595-FAO-37-33,Spondyliosoma cantharus,Black seabream,Spain,2012,Historic,FAO,Species,0.92572597,0.792013957,31,42.28111304,65523.41115,335.8114732,2847.466768,503614.6166,Miscellaneous coastal fishes,37
80390,13606-FAO-37-38,Galeus melastomus,Blackmouth catshark,Spain,2012,Historic,FAO,Species,1.440377079,0.214779942,51,164.8542898,28514.15681,1860.110371,629.5983471,385745.9259,"Sharks, rays, chimaeras",37
80453,13608-FAO-27-33,Pagellus bogaraveo,Blackspot(=red) seabream,Spain,2012,Historic,FAO,Species,0.578373308,0.085090452,236,4795.37894,530059.3951,82166.39397,2847.466768,286042222.6,Miscellaneous coastal fishes,27
80516,13610-FAO-37-45,Aristeus antennatus,Blue and red shrimp,Spain,2012,Historic,FAO,Species,0.825246075,1.667566009,1069,776.8035536,1977261.411,5064.553741,2896.543384,8455090.999,"Shrimps, prawns",37
80579,13625-FAO-27-54,Mytilus edulis,Blue mussel,Spain,2012,Historic,FAO,Species,0.214128442,2.338359216,63,125.821531,-9773.028683,232.8814532,303.8440137,158219.0902,Mussels,27
80642,13626-FAO-34-38,Prionace glauca,Blue shark,Spain,2012,Historic,FAO,Species,1.496016188,0.676731103,27159,26826.33506,20419222.62,682399.4116,886.7251575,242125349.7,"Sharks, rays, chimaeras",34
80705,13627-FAO-27-38,Prionace glauca,Blue shark,Spain,2012,Historic,FAO,Species,1.507560299,0.309306088,8891,19067.22321,6942920.081,420298.76,886.7251575,141435299.6,"Sharks, rays, chimaeras",27
80768,13629-FAO-47-38,Prionace glauca,Blue shark,Spain,2012,Historic,FAO,Species,1.501891372,0.69069794,11797,11372.21067,8865937.493,291832.6703,886.7251575,103291870.5,"Sharks, rays, chimaeras",47
81009,13632-FAO-57-38,Prionace glauca,Blue shark,Spain,2012,Historic,FAO,Species,0.823266793,1.282332654,147,139.243854,86701.78339,2785.413155,886.7251575,1998925.137,"Sharks, rays, chimaeras",57
81072,13633-FAO-51-38,Prionace glauca,Blue shark,Spain,2012,Historic,FAO,Species,1.4352357,0.454837346,3539,5421.272245,2696458.594,113090.7568,886.7251575,39902516.87,"Sharks, rays, chimaeras",51
