"","stock","sigR","startbio.1.","startbio.2.","interbio.1.","interbio.2.","finalbio.1.","finalbio.2.","min.yr.","max.yr.","res","max.ct.","ct.1.","ct.nyr.","length.r.","exp.mean.log.r...","sd.log.r..","min.r.","quantile.r..0.05.","quantile.r..0.25.","median.r.","quantile.r..0.75.","quantile.r..0.95.","max.r.","exp.mean.log.k...","sd.log.k..","min.k.","quantile.k..0.05.","quantile.k..0.25.","median.k.","quantile.k..0.75.","quantile.k..0.95.","max.k.","exp.mean.log.msy...","sd.log.msy..","min.msy.","quantile.msy..0.05.","quantile.msy..0.25.","median.msy.","quantile.msy..0.75.","quantile.msy..0.95.","max.msy."
"5%","10",0,0.07938,0.97902,0.0374565,0.4619635,0.03414375,0.42110625,1987,2009,0.340403868,0.754,0.564,0.154,76,0.128638814334188,0.387470421826763,0.0558340912287562,0.0660097990588374,0.0944230293321506,0.137374166172375,0.177811398121431,0.232657022816408,0.25442009596091,4.56557673527676,0.0688985308750857,3.91701703713138,4.05367376979972,4.3784012005565,4.54897346507969,4.85275466760956,5.03375438562799,5.14900231625905,0.146827594494439,0.38565185194109,0.0671132774171618,0.0784800590814607,0.107578567135966,0.158216006582955,0.196725889617541,0.257901320354829,0.292801725597043
"5%1","20",0,0.0181815,0.2242385,0.1151475,1,0.04284075,0.52836925,2004,2009,0.340403868,0.258,0.013,0.208,85,0.205541221998304,0.746011680645226,0.0512693680756378,0.068178913325832,0.108521356043265,0.226140109700683,0.399148823144181,0.613532962538123,0.699209734261826,5.40959195338874,0.441307553141624,2.05126040846843,2.71672098699029,3.85037716110513,5.28897121623238,7.44581164543924,10.8769442851574,12.2386080540133,0.277973535152929,0.779830841044405,0.0655584413157322,0.0790139218441309,0.159186982278435,0.281718498498724,0.508163947017786,0.963564680018654,1.19543143156826
"5%2","30",0,0.15,1,0.119205,1,0.13878,1,1999,2008,0.188406553,0.023,0.019,0.002,89,0.102654194275673,0.77730461932183,0.0294095231243673,0.0329727000038238,0.0512262440931503,0.102229233772145,0.211227106596567,0.342281372778407,0.394297493914027,0.153080701843336,0.543476449573442,0.0495532849907823,0.0608815479098449,0.103533404398202,0.146497492339032,0.247218902445087,0.346773386479502,0.361671891759934,0.00392859402672056,0.859447152679828,0.000866881808176794,0.00103423220214855,0.00222005718272886,0.00363579805708063,0.0063824445666292,0.0188678166829779,0.0226002588025204
"5%3","56",0,0.051375,0.633625,0.04779225,0.58943775,0.03580875,0.44164125,2001,2009,0.442508535,0.037,0.015,0.017,66,0.306028677640138,0.593294489704598,0.0671719342570156,0.0991974758490266,0.217135598016552,0.311727080609317,0.504449768484603,0.64992383716678,0.753045494954237,0.219947272121258,0.279461042320216,0.122420527180792,0.136623333260601,0.179164870167509,0.235567589636053,0.271208267481575,0.324025173121569,0.33549432258099,0.016827543209456,0.525635027958147,0.00422710827843323,0.00610024671254995,0.0122322371237656,0.0184325327809,0.0234925248277584,0.0353941414330007,0.0483385428515317
"5%4","67",0,0.091725,1,0.03228525,0.39818475,0.0320145,0.3948455,1987,2009,0.39917462,4.673,4.673,0.12,93,0.0995191063646006,0.302223674036619,0.0603430312501235,0.0626400564374224,0.076452282030029,0.101116632437906,0.127347048107421,0.158362136464028,0.172968063262506,18.8215180043598,0.0308913491741331,17.8124118677333,17.8772567740925,18.3613617753089,18.8535489679116,19.2890562046611,19.7228363394931,19.7879553679019,0.468275163054782,0.300729430159736,0.286179169867829,0.292665836844054,0.360221868795988,0.46828677606072,0.613017203417982,0.735077089637089,0.810543103906625
"5%5","76",0,0.15,1,0.02905875,0.35839125,0.0334155,0.4121245,2002,2009,0.442508535,0.195,0.195,0.069,62,0.201876342182594,0.710312238423026,0.0672573792895642,0.0748073349755142,0.110501047266712,0.197438386677255,0.345189940008585,0.682299132798253,0.812567671920353,1.31074611826431,0.672162071976899,0.307211632268484,0.390758722193744,0.887562982779528,1.35023066934819,1.83288257429344,3.94235261567385,4.71885759476042,0.0661521579713083,0.579499851477365,0.0200946096211911,0.0240897383474828,0.049541987427328,0.0655614485865922,0.0884031849415351,0.17248611227263,0.223709514772895
"5%6","95",0,0.0998775,1,0.09465,1,0.0938625,1,1999,2009,0.340403868,7.661,3.452,6.618,85,0.201884579657411,0.737932805096501,0.0512399646363964,0.057617423207352,0.114910327582896,0.208872752795,0.368421474544505,0.558007159571059,0.690183282015467,87.0247138025802,0.34953601150477,42.7959144149417,51.8857927641815,64.9353836460695,85.5098598081885,118.75209701882,148.107594608885,157.406457300408,4.39223694146011,0.80941690358747,1.0121502493963,1.24746866295427,2.40429695688859,4.40376371136359,7.4207738709671,18.3436736375346,22.1899148491402
"5%7","105",0,0.0886575,1,0.0791625,0.9763375,0.05427075,0.66933925,1954,2009,0.39917462,6.8,4.4,3.184,52,0.110841529058838,0.323699258310271,0.0629209492234692,0.068100082363039,0.0845906406512441,0.1130737479434,0.142430340568323,0.191977799256931,0.211984107582662,105.910130851392,0.284770446615243,59.8698301102363,65.5917519480175,91.1289087683091,110.27339998695,130.907289420697,157.079242245776,166.786840070574,2.93481021159748,0.250486118744888,1.7876866490333,1.99111973274833,2.52026695704061,2.98062047253619,3.50254395338729,4.27379278722168,5.25111356516897
"5%8","136",0,0.08481,1,0.15,1,0.06312675,0.77856325,1965,2009,0.39917462,87,10.6,55.289,32,0.194556175210478,0.540779960473168,0.0674840240035711,0.0935967293653099,0.136267599451045,0.160002255945831,0.321741987301939,0.422206785106996,0.646598629933318,1156.58390937371,0.418610582679569,448.040091927232,634.313125659161,798.685253797678,1156.87008024653,1573.31683389696,2032.85586324692,2138.78956902663,56.2551354294326,0.317812565397074,30.7709799555643,31.9188433219738,43.8223089204974,58.4481176887143,72.4974332739738,86.1063355616033,90.4741911972323
"5%9","146",0,0.05963025,0.73543975,0.06543525,0.80703475,0.04447275,0.54849725,1954,2009,0.442508535,0.798,0.1,0.245,34,0.117061312700796,0.363203888713036,0.0670662769899691,0.0692732800841569,0.0931966724025462,0.110500261489055,0.153237186536266,0.200831316534973,0.332995759806496,10.5661634679706,0.325676580990284,4.22710992232605,6.29283194384418,8.82810310198504,10.463372839293,14.1350946123357,16.3934745841227,16.5160172923909,0.309222241442958,0.273748722848777,0.187337769835173,0.204927657442461,0.274220539554582,0.317542243281838,0.348264493520841,0.483012464533411,0.645266115106446
