"stock","b0","f0","msy","mean_r","price","bOA"
"10","0.45525","2.46961776640247","156.388043406594","0.136990924424097","1","0.270055563"
"20","0.57121","1.58294960019956","384.90095474905","0.285673815660876","1","0.270055563"
"56","0.47745","2.42300104140366","19.8567570953401","0.362669475699073","1","0.556295177"
"67","0.42686","0.615339452267441","498.203910057278","0.105975058215544","1","0.447923999"
"76","0.44554","2.93627676338196","72.9519937703321","0.25382831105839","1","0.556295177"
"95","1.2515","1.67473921968791","5833.30216119076","0.265058480783434","1","0.270055563"
"105","0.72361","1.55493063296252","3012.0715400256","0.111581692509015","1","0.447923999"
"136","0.84169","1.27359566980293","57526.5482119403","0.200740728271497","1","0.447923999"
"146","0.59297","1.3768510667521","325.763271941317","0.121163764405523","1","0.556295177"
"227","1.0401","0.116385012705619","1563.93584907947","0.146658799627245","1","0.270055563"
"320","2","1.19226507152742","1685.14239485281","0.204137857204648","1","0.177693885"
"334","0.47712","2.16783115794495","13477.3284712862","0.102369833681479","1","0.270055563"
"336","0.23202","2.42393657209274","22.7214057288697","0.181137631886652","1","0.270055563"
"347","0.42288","1.04826053742795","399.9584916365","0.053497858060796","1","0.177693885"
"375","1.0424","2.05345844162152","15552.8781532263","0.14765733812228","1","0.270055563"
"379","0.62943","1.8504295451185","569.741642817167","0.253752331974317","1","0.270055563"
"381","1.4878","0.711140617000184","13971.2209735977","0.20920263875276","1","0.177693885"
"403","0.50573","2.9166664730313","4930.101155048","0.111444522555814","1","0.270055563"
"411","0.58591","2.21459920923752","6656.62420764437","0.11176093814095","1","0.270055563"
"448","1.3464","1.4343748304391","3302.90983983828","0.242536273820969","1","0.177693885"
"495","1.0074","0.238665654862817","1508.73626537186","0.127667930802941","1","0.270055563"
"496","0.62067","0.940954055613116","3383.36317233743","0.116414989517759","1","0.270055563"
"497","1.3347","1.34556968913328","876.959605596934","0.155368606787693","1","0.270055563"
"510","1.8722","2.03783324634537","61.1293324347094","0.147451999892711","1","0.177693885"
"567","0.29639","3.50873393547025","497.353328470382","0.185231930120253","1","0.270055563"
"647","0.82735","1.8526823792633","23.5905317031928","0.313037793884882","1","0.270055563"
"764","0.53637","2.36579756305064","1082.80580054162","0.127925924672373","1","0.270055563"
"841","0.15074","3.17538778219478","531.534860398831","0.122872975292299","1","0.270055563"
"924","2","0.55322682898846","352591.271570244","0.50124872714526","1","0.45951432"
"986","1.3264","0.320408340546708","2159.00093496799","0.417311541066137","1","0.556295177"
"993","0.73636","1.0996477272969","895.532545167638","0.130903491502025","1","0.556295177"
"1010","0.50416","2.10506408119291","369.921014407366","0.116230971326717","1","0.556295177"
"1022","1.6601","0.355197731584239","697.792181368718","0.484227844171486","1","0.556295177"
"1026","0.65585","1.54119688723238","4090.11579688658","0.135177038157943","1","0.556295177"
"1161","0.70159","0.986259219123528","905.039673151147","0.185826905803613","1","0.447923999"
"1173","2","0.54295195144772","1155.12175437551","0.557801853898485","1","0.45951432"
"1267","0.19047","2.20345936856042","63.113213572145","0.172824192189534","1","0.177693885"
"1353","1.3942","1.25249516744654","2122.22335262896","0.234024749189047","1","0.270055563"
"1355","0.90831","2.40526808223127","8977.16295841101","0.292397439700974","1","0.270055563"
"1364","0.82235","1.43573363142825","43806.6986371768","0.129788807793317","1","0.270055563"
"1373","1.4628","0.846623935570406","5227.95012762121","0.37573263454392","1","0.270055563"
"1377","1.0274","1.16395110189342","14045.2852885897","0.398188260418647","1","0.447923999"
"1383","1.1302","1.36849592268302","2076.15251457168","0.294295647993389","1","0.270055563"
"1394","0.57221","2.64950645855498","677.538318244266","0.254376007682353","1","0.270055563"
"1407","0.66956","1.43328707818302","979.321458709885","0.120700705053112","1","0.177693885"
"1414","0.36293","1.15441060499613","1220.15475116286","0.112929763294891","1","0.177693885"
"1417","0.61689","1.55155296018411","92251.1161919573","0.115812025255029","1","0.447923999"
"1437","0.17731","3.55449137595648","207.199728574255","0.113831166525234","1","0.177693885"
"1597","0.5137","1.92474655396372","7.61035722604463","0.115553775456841","1","0.270055563"
"1628","0.24251","1.86319988643926","35.4042345226771","0.187603690143094","1","0.270055563"
"1722","0.53328","1.45206490883411","6413.98711127829","0.142281883567472","1","0.447923999"
"1723","0.16554","1.03681225676156","58.0975283463599","0.0663498579551955","1","0.177693885"
"1773","1.4575","0.94537171375738","42702.4160943898","0.382216697795807","1","0.447923999"
"1774","0.35982","1.43892465645437","523.130173817714","0.113853545197287","1","0.270055563"
"1784","0.43609","0.366675165073086","987.779237563812","0.215982985199817","1","0.270055563"
"1787","0.34978","2.82285465941868","776.906368618529","0.217196362724279","1","0.270055563"
"1788","0.23723","0.0573271323594435","2136.12485499388","0.0941521888131374","1","0.270055563"
"1789","0.20079","0.358034688752935","1063.52449515612","0.154533934028255","1","0.270055563"
"1861","0.20807","3.46086321522746","94.180067911632","0.151846084818034","1","0.177693885"
"1893","0.20252","0.324345488132425","8.17691069742317","0.108373160828483","1","0.322497082"
"1920","0.68467","0.748076424226937","3101.6827518881","0.133349731470146","1","0.556295177"
"1943","0.51438","2.29277986438164","3921.94131779191","0.11236910203688","1","0.177693885"
"2010","0.4086","2.61809405065176","106.061021339592","0.241989501987148","1","0.270055563"
"2031","0.2433","2.42090452104832","11.1002179972941","0.227301779302003","1","0.270055563"
"2045","0.39333","1.46257781909036","8.14266765955504","0.148231174020784","1","0.556295177"
"2053","0.97076","0.700591169837236","18.9076144445077","0.326543510455915","1","0.556295177"
"2057","0.7556","1.7693836497759","1.89555888345253","0.193973890294972","1","0.556295177"
