MaxNPV,SQ,CatchShare
0,0,0
-83.9491554208171,0.745623576894028,-73.2361831917392
-79.6058837323059,1.55714608584085,-66.4379515312914
-74.3688881405803,2.43330193321649,-58.5367941233265
-68.0871101824511,3.37265781081113,-54.7859579068937
-61.7588108749894,4.37360227321397,-53.0780517445326
-58.8157586720645,5.43433698644109,-50.4190130045473
-55.5033980550305,6.55286985879897,-46.969362012406
-51.7961604894852,7.72701025555111,-42.9095429852429
-47.6072359349798,8.95436648291026,-38.256296836871
-43.0183132916724,10.232345703996,-33.1653041709053
-38.1272895149071,11.5581564196804,-19.4387032601375
-28.1882684700182,12.928813610953,-3.8282451849917
-13.8238541600981,14.341146597119,12.3673049550094
1.21095260871629,15.7918096166158,28.3180307014664
16.5866658978181,17.2772950856285,33.7700089932811
29.0853096462095,18.7939494353621,38.4177850535685
34.8799624193461,20.3379913734044,42.5323605627595
40.1880607227497,21.9055323598465,46.1195509981132
44.974588891018,23.4925990365985,49.205991896729
49.2312371094733,22.4628802749578,51.8319726548052
52.971133850769,21.0234774877593,54.0523118546088
56.231317673692,19.6264197833663,55.9483632526588
59.0526301633283,18.2697930577986,57.5427095890992
61.4716665846026,16.9518008002583,58.8621440069946
63.5295326129217,15.6707549856975,59.9410537029702
65.2685607756607,14.4250678143784,60.8153523929771
66.7299752964764,13.213244206951,61.5190238384167
67.9523806496501,12.0338749747758,62.0824405453508
68.9709038885453,10.8856305948887,62.5317788801825
69.8168194789107,9.76725552738087,62.8890538434742
