MaxNPV,SQ,CatchShare
0,0,0
-94.5123097262309,1.12235235469451,-92.5245006600422
-88.6771830631839,3.33373493902664,-85.9765568022249
-80.522569415938,5.42665408571879,-71.5630715380543
-68.5595239955688,6.52518333781658,-54.4305681010666
-53.1664837195974,7.76096024149173,-33.4687415116679
-31.4707182262681,10.8354745774801,-6.14935264818617
-10.738843848551,12.842978224917,20.142611429006
7.8370535641014,14.1540322705982,35.8325792333199
26.4842572404464,15.0999303308865,53.6616969353119
43.7665567726297,16.9562924306691,67.9403759583544
58.2005211401178,19.1187516770732,76.9078335536822
69.2812325590247,19.8276139141313,83.6194989657462
77.0733921017992,20.784521575219,87.649746953165
83.4335150189735,21.610458294933,90.6764551318558
88.9851335985043,20.1337824435894,92.5429405043495
90.4773368213671,20.3603952181172,93.997211212065
92.0649939610496,18.9609937270294,95.1529456296234
92.8400393399272,17.1138572079508,95.8737213494878
94.0737635066352,17.8903788437518,96.4328525004884
95.4380062019341,18.5174191114756,96.834021587588
96.2832259808111,19.3254603980455,97.3126223676459
96.9114116047448,19.3380830964852,97.481779794456
97.5233185656845,19.1912439541326,97.7325851089183
97.9428736145878,18.918826367459,97.9202987202404
98.1044240086723,19.8698490143932,98.0753887726794
98.3687036356295,19.9587121453695,98.1210447546543
98.535756939878,20.2206109299327,98.1976123002402
98.6596374265334,20.090977592765,98.2492037744392
98.6985075411925,20.0249357027307,98.2767091049646
98.7776790687621,21.0469688667583,98.3066935748175
