MaxNPV,SQ,CatchShare
0,0,0
3.7176421123051,3.7176421123051,3.7176421123051
16.5108332791568,5.47511887251604,16.0423862326688
28.8881789156527,8.76906483529853,28.3450186470997
41.9595293726063,12.4029719234334,41.3645528926849
53.7243708894801,12.6513313926985,51.2411147159017
63.4082573808027,16.2782257669399,59.313807255835
73.6505175820794,17.1001502108731,68.6299895355027
82.6462901704809,17.9926333122321,75.0747633349068
88.4975116866503,19.6416499743311,78.270185719823
92.5639849122478,24.023695303723,80.2827560744858
95.331072890826,26.5763471927211,83.0565612087662
98.2457972761565,27.9625787061846,84.7976613715044
101.174575843454,29.7985376715899,85.9734769674799
102.912111336789,32.009930604612,87.2341321443519
104.803656644396,33.2755888444116,87.7985237353335
105.741134651097,36.2200881161154,89.0519365658713
106.739205300465,38.1938437228215,89.7774260911016
107.768555687109,40.6529046413775,89.7847267812947
107.88801986794,45.2409452279676,89.95044681031
108.1194709077,46.2379997056412,90.1935674949651
108.132224591447,50.208072896062,90.1959365478594
108.803794319054,51.7079438074625,90.2714840322854
108.83104073433,52.6289786836861,90.2714192533018
109.655286313133,53.66978706742,90.2795504631066
110.731353799908,54.2748849002304,90.279550463464
110.73135513694,54.8551638651447,90.2795504635712
111.141587315941,55.659117786023,90.2795504636033
111.141592642211,56.7930072327668,90.279550463613
111.141595293449,57.1065533800343,90.2795504636159
111.141596613146,57.4018533609964,90.6657670294524
