"stock","b0","f0","catch0","msy","mean_r","SciName","CommName","Spcat","Country","Price","boa"
"10",0.45525,1.48521299783425,154,227.762397178438,0.126012753408648,"Boops boops","Bogue","Miscellaneous coastal fishes","Albania",1000,0.270055563
"20",0.57121,1.26792244501249,208,287.193656605918,0.30349536551541,"Dicentrarchus labrax","European seabass","Miscellaneous coastal fishes","Albania",1000,0.270055563
"56",0.47745,2.01019580064022,17,17.7126141582253,0.372432628122155,"Platichthys flesus","European flounder","Flounders, halibuts, soles","Albania",1000,0.556295177
"76",0.44554,2.34708319569827,69,65.9832808858984,0.362806026025478,"Solea solea","Common sole","Flounders, halibuts, soles","Albania",1000,0.556295177
"95",1.2515,1.21477485681114,6618,4353.11473986195,0.330475626483205,"Boops boops","Bogue","Miscellaneous coastal fishes","Algeria",1000,0.270055563
"146",0.59297,1.35797968933612,245,304.256656284553,0.124427318600525,"Solea solea","Common sole","Flounders, halibuts, soles","Algeria",1000,0.556295177
"227",1.0401,0.113597077769234,140,1184.91113254088,0.222334527752893,"Pagellus bellottii","Red pandora","Miscellaneous coastal fishes","Angola",1000,0.270055563
"320",2,0.450267488741548,2781,3088.16433512956,0.207878734334097,"Callorhinchus callorynchus","Plownose chimaera","Sharks, rays, chimaeras","Argentina",1000,0.177693885
"334",0.47712,2.19447128924836,13213,12619.5511993046,0.111743639592715,"Cynoscion striatus","Striped weakfish","Miscellaneous coastal fishes","Argentina",1000,0.270055563
"336",0.23202,1.60463280631563,9,24.1736049212128,0.194552360959035,"Diplodus argenteus","South American silver porgy","Miscellaneous coastal fishes","Argentina",1000,0.270055563
"347",0.42288,0.935143325635537,170,429.886292283339,0.0535645510903845,"Galeorhinus galeus","Tope shark","Sharks, rays, chimaeras","Argentina",1000,0.177693885
"375",1.0424,1.74097405682565,26601,14657.8833427945,0.163972571851775,"Micropogonias furnieri","Whitemouth croaker","Miscellaneous coastal fishes","Argentina",1000,0.270055563
"379",0.62943,1.79969093593013,447,394.604610601173,0.25837474829963,"Mullus argentinae","Argentine goatfish","Miscellaneous coastal fishes","Argentina",1000,0.270055563
"381",1.4878,0.420978931434767,8990,14353.3996041219,0.215431443369032,"Mustelus schmitti","Narrownose smooth-hound","Sharks, rays, chimaeras","Argentina",1000,0.177693885
"403",0.50573,2.59619129939706,6984,5319.23066628651,0.118920079608812,"Pagrus pagrus","Red porgy","Miscellaneous coastal fishes","Argentina",1000,0.270055563
"411",0.58591,1.72121945878678,7873,7806.80072577006,0.0967633007738242,"Percophis brasiliensis","Brazilian flathead","Miscellaneous coastal fishes","Argentina",1000,0.270055563
"448",1.3464,0.923194970751355,5001,4023.36396296777,0.188665238179468,"Squatina argentina","Argentine angelshark","Sharks, rays, chimaeras","Argentina",1000,0.177693885
"462",0.36818,3.14230349745483,3041,2628.50070574523,0.0725252080806994,"Umbrina canosai","Argentine croaker","Miscellaneous coastal fishes","Argentina",1000,0.270055563
"495",1.0074,0.214344536133623,324,1500.48150381288,0.178952537353696,"Arripis georgianus","Ruff","Miscellaneous coastal fishes","Australia",1000,0.270055563
"496",0.62067,0.9708489585439,1833,3041.93578268028,0.130236275061895,"Arripis trutta","Australian salmon","Miscellaneous coastal fishes","Australia",1000,0.270055563
