"stock","b0","f0","catch0","msy","mean_r","SciName","CommName","Spcat","Country","Price","boa"
"497",1.3347,1.14048099446163,1404,922.349241489887,0.135883996052646,"Arripis trutta","Australian salmon","Miscellaneous coastal fishes","Australia",1000,0.270055563
"510",1.8722,1.17724050111933,145,65.788588159199,0.238527793434306,"Callorhinchus milii","Ghost shark","Sharks, rays, chimaeras","Australia",1000,0.177693885
"567",0.29639,2.54350918594032,347,460.291142364351,0.262886813992702,"Girella tricuspidata","Parore","Miscellaneous coastal fishes","Australia",1000,0.270055563
"647",0.82735,0.816319418158163,26,38.4967395947355,0.287225073773171,"Notothenia squamifrons","Grey rockcod","Miscellaneous coastal fishes","Australia",1000,0.270055563
"664",0.31149,2.74388980742334,1602,1874.35451452579,0.0780156793739839,"Pagrus auratus","Silver seabream","Miscellaneous coastal fishes","Australia",1000,0.270055563
"763",0.36733,2.4962290966713,1236,1347.96194260637,0.101830900188062,"Sillaginidae","Sillago-whitings","Miscellaneous coastal fishes","Australia",1000,0.270055563
"764",0.53637,2.02808380859788,1202,1104.9791688247,0.15417338131154,"Sillaginidae","Sillago-whitings","Miscellaneous coastal fishes","Australia",1000,0.270055563
"841",0.15074,2.62066116402166,199,503.748414909276,0.138061468575574,"Epinephelus striatus","Nassau grouper","Miscellaneous coastal fishes","Bahamas",1000,0.270055563
"924",2,0.206454176389148,202960,491537.6466336,0.464378794536799,"Tenualosa ilisha","Hilsa shad","Shads","Bangladesh",1000,0.45951432
"986",1.3264,0.283528868033442,570,1515.66442953329,0.481784662463325,"Limanda limanda","Common dab","Flounders, halibuts, soles","Belgium",1000,0.556295177
"993",0.73636,0.957862801998463,679,962.667427010299,0.271770503564476,"Microstomus kitt","Lemon sole","Flounders, halibuts, soles","Belgium",1000,0.556295177
"1006",0.66731,1.57375540115129,325,309.46995681682,0.113908919039006,"Platichthys flesus","European flounder","Flounders, halibuts, soles","Belgium",1000,0.556295177
"1010",0.50416,2.11819172031201,384,359.581692645921,0.109918282208432,"Psetta maxima","Turbot","Flounders, halibuts, soles","Belgium",1000,0.556295177
"1022",1.6601,0.271155018253305,335,744.205561401329,0.393028558115802,"Scophthalmus rhombus","Brill","Flounders, halibuts, soles","Belgium",1000,0.556295177
"1026",0.65585,1.37591969768592,4004,4437.07181435298,0.143748708234993,"Solea solea","Common sole","Flounders, halibuts, soles","Belgium",1000,0.556295177
"1173",2,0.402012140281559,889,1105.68800158295,0.499295923943182,"Ilisha africana","West African ilisha","Shads","Benin",1000,0.45951432
"1267",0.19047,1.16871722606918,17,76.3682597709824,0.171945671473637,"Alopias superciliosus","Bigeye thresher","Sharks, rays, chimaeras","Brazil",1000,0.177693885
"1303",0.26862,0.295041430587674,163,2056.67777251161,0.0666559187788411,"Conodon nobilis","Barred grunt","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1319",0.59226,1.69248014319754,147,146.649757906856,0.112837248813983,"Elops saurus","Ladyfish","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1322",0.43788,1.57130302932546,1171,1701.93056507179,0.104468240934578,"Epinephelus morio","Red grouper","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1339",0.14342,2.54684634172361,97,265.557928673467,0.0992081594205745,"Isurus oxyrinchus","Shortfin mako","Sharks, rays, chimaeras","Brazil",1000,0.177693885
"1353",1.3942,0.944910919536855,2046,1553.06518118892,0.367009818649306,"Lutjanus synagris","Lane snapper","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1355",0.90831,1.9781129092718,11139,6199.56233669679,0.318032908933901,"Macrodon ancylodon","King weakfish","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1364",0.82235,1.37420509675747,45750,40483.9469130082,0.151917453445784,"Micropogonias furnieri","Whitemouth croaker","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1373",1.4628,0.573088797666136,5233,6242.28889127278,0.322299178705378,"Ocyurus chrysurus","Yellowtail snapper","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1383",1.1302,0.78640863555751,2360,2655.26839480686,0.353550348841508,"Pagrus pagrus","Red porgy","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1394",0.57221,2.11297819815101,818,676.554589314119,0.349284226816008,"Percophis brasiliensis","Brazilian flathead","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1407",0.66956,1.34182425358142,690,768.004832118236,0.167747265263224,"Pristidae","Sawfishes","Sharks, rays, chimaeras","Brazil",1000,0.177693885
"1414",0.36293,0.936827067048474,404,1188.22604187709,0.107825323483028,"Rhinobatos percellens","Chola guitarfish","Sharks, rays, chimaeras","Brazil",1000,0.177693885
"1437",0.17731,2.37587664087806,87,206.520008927069,0.102520613638168,"Sphyrna lewini","Scalloped hammerhead","Sharks, rays, chimaeras","Brazil",1000,0.177693885
"1463",0.42434,1.78541200173219,12761,16843.4979022564,0.135137446253952,"Umbrina canosai","Argentine croaker","Miscellaneous coastal fishes","Brazil",1000,0.270055563
"1514",0.37434,1.82041432617753,37,54.2956758510395,0.128416959697808,"Alosa pontica","Pontic shad","Shads","Bulgaria",1000,0.45951432
"1597",0.5137,1.94986170678337,7,6.98851117573113,0.124786349344003,"Liza saliens","Leaping mullet","Miscellaneous coastal fishes","Bulgaria",1000,0.270055563
"1628",0.24251,1.60736422380487,11,28.2194623957448,0.170226317346682,"Mugil cephalus","Flathead grey mullet","Miscellaneous coastal fishes","Bulgaria",1000,0.270055563
"1723",0.16554,0.800071169738835,9,67.9533603031003,0.0715445480829032,"Squalus acanthias","Picked dogfish","Sharks, rays, chimaeras","Bulgaria",1000,0.177693885
"1769",0.45828,0.515658021310172,135,571.269563820445,0.105026131528649,"Cynoglossidae","Tonguefishes","Flounders, halibuts, soles","Cameroon",1000,0.556295177
"1774",0.35982,1.58095176984288,225,395.529242736046,0.121782056856396,"Galeoides decadactylus","Lesser African threadfin","Miscellaneous coastal fishes","Cameroon",1000,0.270055563
"1784",0.43609,0.240680627306968,130,1238.58577984831,0.152882817801136,"Pentanemus quinquarius","Royal threadfin","Miscellaneous coastal fishes","Cameroon",1000,0.270055563
"1787",0.34978,2.75241588662201,575,597.253653931041,0.311189937409926,"Pomadasys jubelini","Sompat grunt","Miscellaneous coastal fishes","Cameroon",1000,0.270055563
"1788",0.23723,0.0587492922682767,26,1865.52511389564,0.086044251779532,"Pseudotolithus elongatus","Bobo croaker","Miscellaneous coastal fishes","Cameroon",1000,0.270055563
"1789",0.20079,0.388897463480713,55,704.345102573679,0.15862855649847,"Pseudotolithus senegalensis","Cassava croaker","Miscellaneous coastal fishes","Cameroon",1000,0.270055563
"1804",0.4556,1.30181634613324,3560,6002.28430115591,0.132682534387665,"Alosa pseudoharengus","Alewife","Shads","Canada",1000,0.45951432
"1861",0.20807,2.57594473600943,53,98.8848731913701,0.154952233847463,"Isurus oxyrinchus","Shortfin mako","Sharks, rays, chimaeras","Canada",1000,0.177693885
"1893",0.20252,0.327581639257667,0.5,7.53672265296228,0.136379573892441,"Oncorhynchus mykiss","Rainbow trout","Salmons, trouts, smelts","Canada",1000,0.322497082
"1920",0.68467,0.750187535057079,1516,2951.53582290193,0.120783907117817,"Pseudopleuronectes americanus","Winter flounder","Flounders, halibuts, soles","Canada",1000,0.556295177
"1942",0.21229,0.337685345035829,152,2120.32208776345,0.0698161178544387,"Squalus acanthias","Picked dogfish","Sharks, rays, chimaeras","Canada",1000,0.177693885
"1943",0.51438,2.25008716804328,4301,3716.08830471004,0.171689590746763,"Squalus acanthias","Picked dogfish","Sharks, rays, chimaeras","Canada",1000,0.177693885
"2010",0.4086,2.24624143469613,103,112.223143163953,0.254367997988008,"Dicentrarchus labrax","European seabass","Miscellaneous coastal fishes","Channel Islands",1000,0.270055563
"2031",0.2433,2.0047286636507,5,10.2511430852244,0.224459097928783,"Mullus surmuletus","Surmullet","Miscellaneous coastal fishes","Channel Islands",1000,0.270055563
"2045",0.39333,1.37690759091543,4,7.38580989412983,0.159027597194436,"Psetta maxima","Turbot","Flounders, halibuts, soles","Channel Islands",1000,0.556295177
"2053",0.97076,0.584000074888774,10,17.6390513365219,0.325930920619999,"Scophthalmus rhombus","Brill","Flounders, halibuts, soles","Channel Islands",1000,0.556295177
"2057",0.7556,1.77821627733081,2,1.4885158555172,0.311929828514919,"Solea lascaris","Sand sole","Flounders, halibuts, soles","Channel Islands",1000,0.556295177
"2058",0.39448,0.825436174118728,4,12.2843308379291,0.198381064966508,"Solea solea","Common sole","Flounders, halibuts, soles","Channel Islands",1000,0.556295177
"2087",0.77842,0.923489001375195,1023,1423.08198381564,0.168591149002152,"Callorhinchus callorynchus","Plownose chimaera","Sharks, rays, chimaeras","Chile",1000,0.177693885
"2099",0.31244,2.58710181448485,1189,1470.96285139626,0.0921505733507309,"Cilus gilberti","Corvina drum","Miscellaneous coastal fishes","Chile",1000,0.270055563
"2104",0.1755,0.848866382615975,5,33.5624417145958,0.113524891783774,"Cynoscion analis","Peruvian weakfish","Miscellaneous coastal fishes","Chile",1000,0.270055563
"2141",0.29749,0.452014716290911,101,751.097692376668,0.0870916437852149,"Isacia conceptionis","Cabinza grunt","Miscellaneous coastal fishes","Chile",1000,0.270055563
"2142",0.14786,2.57237745369822,312,820.293363068913,0.0838690170340964,"Isurus oxyrinchus","Shortfin mako","Sharks, rays, chimaeras","Chile",1000,0.177693885
"2207",0.19546,3.25781435122295,268,420.872517257679,0.112389692702878,"Prionace glauca","Blue shark","Sharks, rays, chimaeras","Chile",1000,0.177693885
"2308",0.36124,2.1583936910384,62807,80552.9691857792,0.100009016106372,"Larimichthys croceus","Large yellow croaker","Miscellaneous coastal fishes","China",1000,0.270055563
"2309",0.84009,1.88499481896573,372900,235481.290602266,0.321325784175611,"Larimichthys polyactis","Yellow croaker","Miscellaneous coastal fishes","China",1000,0.270055563
"2335",0.40872,2.83819912806214,90160,77722.2117855767,0.228628463640589,"Mugil cephalus","Flathead grey mullet","Miscellaneous coastal fishes","China",1000,0.270055563
"2473",0.87937,1.37233188589304,1010,836.932772300618,0.15728012563282,"Cynoglossidae","Tonguefishes","Flounders, halibuts, soles","China, Hong Kong SAR",1000,0.556295177
"2478",0.24855,0.729726499059357,115,634.050654966664,0.0739114862929412,"Gymnocranius spp","Largeeye breams","Miscellaneous coastal fishes","China, Hong Kong SAR",1000,0.270055563
"2529",0.14534,0.269316331671164,3,76.6431610746366,0.112335977676877,"Epinephelus striatus","Nassau grouper","Miscellaneous coastal fishes","Colombia",1000,0.270055563
"2541",0.17804,0.214076042910196,15,393.55515464352,0.0860427813525244,"Lutjanus argentiventris","Yellow snapper","Miscellaneous coastal fishes","Colombia",1000,0.270055563
"2544",0.35789,0.536806382071684,36,187.385191357849,0.0968149416085675,"Lutjanus synagris","Lane snapper","Miscellaneous coastal fishes","Colombia",1000,0.270055563
"2557",0.19326,4.82567866668118,120,128.671057773315,0.145929717041971,"Mycteroperca xenarcha","Broomtail grouper","Miscellaneous coastal fishes","Colombia",1000,0.270055563
"2622",0.48403,1.69327064713708,270,329.431485273476,0.145482331773069,"Brachydeuterus auritus","Bigeye grunt","Miscellaneous coastal fishes","Congo, Dem. Rep. of the",1000,0.270055563
"2626",1.1139,0.486765441725081,120,221.317270029389,0.400888506484729,"Cynoglossidae","Tonguefishes","Flounders, halibuts, soles","Congo, Dem. Rep. of the",1000,0.556295177
"2627",0.30255,1.03737334442804,79,251.706742687463,0.228248538527637,"Cynoglossidae","Tonguefishes","Flounders, halibuts, soles","Congo, Dem. Rep. of the",1000,0.556295177
"2646",0.64492,2.99841796840129,699,361.475742650797,0.214378452875427,"Brachydeuterus auritus","Bigeye grunt","Miscellaneous coastal fishes","Congo, Republic of",1000,0.270055563
"2655",0.91598,1.35749738544847,509,409.348109837405,0.367248043499859,"Cynoglossidae","Tonguefishes","Flounders, halibuts, soles","Congo, Republic of",1000,0.556295177
"2657",0.3509,2.63675782378778,44,47.5553152430403,0.109424395891863,"Drepane africana","African sicklefish","Miscellaneous coastal fishes","Congo, Republic of",1000,0.270055563
"2661",0.96409,2.1064036881275,977,481.100024515647,0.21151426443831,"Galeoides decadactylus","Lesser African threadfin","Miscellaneous coastal fishes","Congo, Republic of",1000,0.270055563
"2672",0.54579,1.9845113301856,100,92.3253245497114,0.166836068220865,"Pagellus bellottii","Red pandora","Miscellaneous coastal fishes","Congo, Republic of",1000,0.270055563
"2675",1.0398,0.712860747150087,429,578.765689976087,0.364577337517637,"Pentanemus quinquarius","Royal threadfin","Miscellaneous coastal fishes","Congo, Republic of",1000,0.270055563
"2679",0.32754,1.88020333188439,435,706.350235525577,0.0933678194663406,"Pteroscion peli","Boe drum","Miscellaneous coastal fishes","Congo, Republic of",1000,0.270055563
"2747",0.1756,1.19020392085624,20,95.6938675844505,0.173805176083836,"Carcharhinus falciformis","Silky shark","Sharks, rays, chimaeras","Costa Rica",1000,0.177693885
"2748",0.25906,2.74085322231489,1050,1478.77860640997,0.16423012695776,"Carcharhinus falciformis","Silky shark","Sharks, rays, chimaeras","Costa Rica",1000,0.177693885
"2758",0.11081,2.67836493561707,20,67.3878018376178,0.10327717177906,"Isurus oxyrinchus","Shortfin mako","Sharks, rays, chimaeras","Costa Rica",1000,0.177693885
"2796",0.45717,2.35033088067815,145,134.946390194566,0.191813743457307,"Boops boops","Bogue","Miscellaneous coastal fishes","Croatia",1000,0.270055563
"2802",0.36988,2.05346404015642,16,21.0655126084729,0.200113173578408,"Dentex dentex","Common dentex","Miscellaneous coastal fishes","Croatia",1000,0.270055563
"2803",0.2877,2.1198954734753,12,19.675552509406,0.252704719773133,"Dicentrarchus labrax","European seabass","Miscellaneous coastal fishes","Croatia",1000,0.270055563
"2828",0.31284,0.186555638878335,31,531.166939233646,0.196943360319478,"Mullus surmuletus","Surmullet","Miscellaneous coastal fishes","Croatia",1000,0.270055563
"2831",0.56719,1.47359966020149,64,76.572335933005,0.303497252952107,"Oblada melanura","Saddled seabream","Miscellaneous coastal fishes","Croatia",1000,0.270055563
"2850",0.26678,1.9787950029809,50,94.7143822732855,0.172186976303892,"Sarpa salpa","Salema","Miscellaneous coastal fishes","Croatia",1000,0.270055563
"2861",0.50915,2.94457667720922,33,22.0112812923083,0.257618369905806,"Sparus aurata","Gilthead seabream","Miscellaneous coastal fishes","Croatia",1000,0.270055563
"2863",0.408,1.35612955942387,9,16.2660148332606,0.166624372584664,"Spondyliosoma cantharus","Black seabream","Miscellaneous coastal fishes","Croatia",1000,0.270055563
"2888",0.24115,1.84266658279178,216,486.093400664117,0.0838338758280952,"Calamus spp","Porgies","Miscellaneous coastal fishes","Cuba",1000,0.270055563
"2903",0.7129,1.77658868423325,235,185.546324569489,0.353097971017047,"Dentex macrophthalmus","Large-eye dentex","Miscellaneous coastal fishes","Cuba",1000,0.270055563
"2910",0.37162,0.0529175106990767,56,2847.66922448486,0.0810408624621204,"Epinephelus morio","Red grouper","Miscellaneous coastal fishes","Cuba",1000,0.270055563
"2952",0.56934,1.09058926680638,1268,2042.14388056781,0.127859101656377,"Lutjanus synagris","Lane snapper","Miscellaneous coastal fishes","Cuba",1000,0.270055563
"2967",0.33599,1.49462284439369,365,726.833434593362,0.0910091246598321,"Ocyurus chrysurus","Yellowtail snapper","Miscellaneous coastal fishes","Cuba",1000,0.270055563
"3056",0.9189,0.833304630800435,253,330.406417746181,0.297478990725981,"Boops boops","Bogue","Miscellaneous coastal fishes","Cyprus",1000,0.270055563
"3058",0.43702,0.56939356881051,7,28.1309351629816,0.1049194419813,"Dentex dentex","Common dentex","Miscellaneous coastal fishes","Cyprus",1000,0.270055563
"3073",0.32548,1.20572905458651,2,5.09631146124818,0.0755959036714435,"Mugil cephalus","Flathead grey mullet","Miscellaneous coastal fishes","Cyprus",1000,0.270055563
"3083",0.75685,0.7143011418298,15,27.7459819515097,0.166929287218077,"Pagellus acarne","Axillary seabream","Miscellaneous coastal fishes","Cyprus",1000,0.270055563
"3085",0.47888,0.926363588659505,16,36.0671483919047,0.134123754212888,"Pagellus erythrinus","Common pandora","Miscellaneous coastal fishes","Cyprus",1000,0.270055563
"3086",0.36903,1.13566293335216,12,28.6332154852732,0.109971040987373,"Pagrus pagrus","Red porgy","Miscellaneous coastal fishes","Cyprus",1000,0.270055563
"3174",0.08992,0.405381571479818,0.5,13.716702020623,0.134569806358741,"Argyrosomus regius","Meagre","Miscellaneous coastal fishes","Cute d'Ivoire",1000,0.270055563
"3178",0.41954,1.53840756120755,2220,3439.60201587865,0.0846545468212558,"Brachydeuterus auritus","Bigeye grunt","Miscellaneous coastal fishes","Cute d'Ivoire",1000,0.270055563
"3192",0.20813,0.372698559423924,15,193.374347257674,0.0721253231845976,"Drepane africana","African sicklefish","Miscellaneous coastal fishes","Cute d'Ivoire",1000,0.270055563
"3197",0.28675,0.432412796494351,100,806.488234007099,0.0732921243271848,"Galeoides decadactylus","Lesser African threadfin","Miscellaneous coastal fishes","Cute d'Ivoire",1000,0.270055563
"3200",0.15917,1.31604902337263,5,23.8691372013009,0.156793176852948,"Isurus oxyrinchus","Shortfin mako","Sharks, rays, chimaeras","Cute d'Ivoire",1000,0.177693885
"3212",0.24603,0.39555757432638,80,822.038608384512,0.0752547088408005,"Pomadasys jubelini","Sompat grunt","Miscellaneous coastal fishes","Cute d'Ivoire",1000,0.270055563
"3214",0.21083,2.71987020470847,5,8.71945651373682,0.125338205950845,"Pseudotolithus elongatus","Bobo croaker","Miscellaneous coastal fishes","Cute d'Ivoire",1000,0.270055563
"3215",0.31953,1.35464970928879,15,34.6539393934022,0.19250585189716,"Pseudotolithus senegalensis","Cassava croaker","Miscellaneous coastal fishes","Cute d'Ivoire",1000,0.270055563
"3217",0.32021,1.27865621517577,20,48.8473840994593,0.128137006270844,"Pseudupeneus prayensis","West African goatfish","Miscellaneous coastal fishes","Cute d'Ivoire",1000,0.270055563
"3265",1.6156,1.23979938130951,118,58.9110478393576,0.338026162072304,"Coregonus lavaretus","European whitefish","Salmons, trouts, smelts","Denmark",1000,0.322497082
"3274",0.20493,2.04093326102541,1,2.390923367181,0.125918419052122,"Dicentrarchus labrax","European seabass","Miscellaneous coastal fishes","Denmark",1000,0.270055563
"3277",0.63706,1.96636310018845,9,7.18453155064983,0.165067783834443,"Esox lucius","Northern pike","Miscellaneous freshwater fishes","Denmark",1000,0.391593261
"3281",0.61995,1.80395142737692,3,2.68250012388078,0.24996305471564,"Galeorhinus galeus","Tope shark","Sharks, rays, chimaeras","Denmark",1000,0.177693885
"3283",0.55424,1.46421964642388,943,1162.00393020896,0.160071167790083,"Glyptocephalus cynoglossus","Witch flounder","Flounders, halibuts, soles","Denmark",1000,0.556295177
"3285",0.20765,0.102769546285569,5,234.30072352737,0.0886040466190909,"Hippoglossoides platessoides","Amer. plaice(=Long rough dab)","Flounders, halibuts, soles","Denmark",1000,0.556295177
"3286",0.38223,3.57255840536021,110,80.5542720185451,0.113504505047623,"Hippoglossus hippoglossus","Atlantic halibut","Flounders, halibuts, soles","Denmark",1000,0.556295177
"3293",0.63205,0.595736585208424,1610,4275.82742675549,0.14118034371796,"Limanda limanda","Common dab","Flounders, halibuts, soles","Denmark",1000,0.556295177
"3304",0.99644,0.515765973459732,1134,2206.52683924655,0.372057973381776,"Microstomus kitt","Lemon sole","Flounders, halibuts, soles","Denmark",1000,0.556295177
"3326",0.59663,0.984150387090552,34,57.9045062111949,0.160210731165899,"Perca fluviatilis","European perch","Miscellaneous freshwater fishes","Denmark",1000,0.391593261
"3330",0.45721,0.817756220315888,1653,4421.12991298998,0.148591145212366,"Platichthys flesus","European flounder","Flounders, halibuts, soles","Denmark",1000,0.556295177
"3334",0.14566,1.69333461428502,1,4.05430958650216,0.085024505433914,"Prionace glauca","Blue shark","Sharks, rays, chimaeras","Denmark",1000,0.177693885
"3335",0.63414,1.24011292950401,800,1017.28725427755,0.163372389092892,"Psetta maxima","Turbot","Flounders, halibuts, soles","Denmark",1000,0.556295177
"3347",0.42826,0.312729382908619,1,7.46661570515387,0.199330641030886,"Sander lucioperca","Pike-perch","Miscellaneous freshwater fishes","Denmark",1000,0.391593261
"3352",1.2953,0.60975259922155,274,346.917762771119,0.258413306683987,"Scophthalmus rhombus","Brill","Flounders, halibuts, soles","Denmark",1000,0.556295177
"3358",0.45154,1.59298644840905,1049,1458.36817452224,0.12528363391794,"Solea solea","Common sole","Flounders, halibuts, soles","Denmark",1000,0.556295177
"3361",0.19089,0.391774000449735,83,1109.8372653655,0.0607583890768324,"Squalus acanthias","Picked dogfish","Sharks, rays, chimaeras","Denmark",1000,0.177693885
"3365",0.29228,0.323059248559806,38,402.441092573379,0.0907042178421845,"Trachinus draco","Greater weever","Miscellaneous coastal fishes","Denmark",1000,0.270055563
"3369",0.18395,0.370531349064968,2,29.3430494717348,0.0843862883852388,"Zoarces viviparus","Eelpout","Miscellaneous coastal fishes","Denmark",1000,0.270055563
"3398",0.41792,0.800077787929162,32,95.7027923566479,0.0931129081345469,"Albula vulpes","Bonefish","Miscellaneous coastal fishes","Dominican Republic",1000,0.270055563
"3404",0.26289,0.991999979323613,77,295.260258510402,0.101841006799163,"Calamus spp","Porgies","Miscellaneous coastal fishes","Dominican Republic",1000,0.270055563
"3415",0.32194,1.4793865198063,79,165.871012051598,0.102952413927275,"Epinephelus morio","Red grouper","Miscellaneous coastal fishes","Dominican Republic",1000,0.270055563
"3430",0.26583,0.991332661947841,33,125.224853782745,0.105924707561528,"Megalops atlanticus","Tarpon","Miscellaneous coastal fishes","Dominican Republic",1000,0.270055563
"3436",0.45442,1.42551820485707,160,246.995918832659,0.142904041627234,"Ocyurus chrysurus","Yellowtail snapper","Miscellaneous coastal fishes","Dominican Republic",1000,0.270055563
"3570",1.3736,0.492293527434898,3600,5323.75539037071,0.305629390028397,"Boops boops","Bogue","Miscellaneous coastal fishes","Egypt",1000,0.270055563
"3581",0.7222,1.49147274654005,1870,1736.07626845879,0.302330304492268,"Dicentrarchus labrax","European seabass","Miscellaneous coastal fishes","Egypt",1000,0.270055563
"3585",0.68524,2.61324048733545,880,491.428780788114,0.131236860192404,"Diplodus sargus","White seabream","Miscellaneous coastal fishes","Egypt",1000,0.270055563
"3606",0.26303,1.98498053223558,381,729.732080192982,0.0771345006846102,"Mugil cephalus","Flathead grey mullet","Miscellaneous coastal fishes","Egypt",1000,0.270055563
"3622",1.1483,1.595358106239,2750,1501.13290768489,0.11575375758923,"Pagrus pagrus","Red porgy","Miscellaneous coastal fishes","Egypt",1000,0.270055563
"3642",1.5276,0.989003089629842,1160,767.804567298772,0.208231104964674,"Solea solea","Common sole","Flounders, halibuts, soles","Egypt",1000,0.556295177
"3645",1.338,0.459783284588871,1330,2161.93358931086,0.337736514411276,"Sparus aurata","Gilthead seabream","Miscellaneous coastal fishes","Egypt",1000,0.270055563
"3736",0.20788,2.4340203209165,46,90.9119396666793,0.23595098032534,"Pomadasys argenteus","Silver grunt","Miscellaneous coastal fishes","Eritrea",1000,0.270055563
"3755",0.21387,1.74838601113675,7,18.7202156587618,0.135574696160134,"Upeneus spp","Goatfishes","Miscellaneous coastal fishes","Eritrea",1000,0.270055563
"3792",0.96788,0.835860628279559,28,34.6100834531163,0.348350754060986,"Coregonus lavaretus","European whitefish","Salmons, trouts, smelts","Estonia",1000,0.322497082
"3808",0.37454,1.0867917494902,15,36.8507830021893,0.143168840653749,"Esox lucius","Northern pike","Miscellaneous freshwater fishes","Estonia",1000,0.391593261
"3842",0.55472,1.35993615350118,1,1.32558522921877,0.323402872660523,"Lota lota","Burbot","Miscellaneous freshwater fishes","Estonia",1000,0.391593261
"3868",1.2968,1.71168556020572,773,348.243087912684,0.307936310467279,"Osmerus eperlanus","European smelt","Salmons, trouts, smelts","Estonia",1000,0.322497082
"3883",0.71277,1.62602454820476,819,706.654927476099,0.273366699209255,"Perca fluviatilis","European perch","Miscellaneous freshwater fishes","Estonia",1000,0.391593261
"3886",0.43148,1.80169857866375,336,432.211652533719,0.176948060749402,"Platichthys flesus","European flounder","Flounders, halibuts, soles","Estonia",1000,0.556295177
"3907",0.1899,1.79562834922728,8,23.4611107084009,0.130561391620107,"Salmo salar","Atlantic salmon","Salmons, trouts, smelts","Estonia",1000,0.322497082
"3909",1.1482,0.715708270166663,18,21.9037728468255,0.419429952875089,"Salmo trutta","Sea trout","Salmons, trouts, smelts","Estonia",1000,0.322497082
"3967",0.20558,0.538971809669207,0.5,4.51256106712633,0.116322872329401,"Zoarces viviparus","Eelpout","Miscellaneous coastal fishes","Estonia",1000,0.270055563
