Year,BvBmsy,FvFmsy,Catch,RAM
2012,1.47,0.843,6100000,TRUE
2012,1.09,0.169,24500,TRUE
2012,2.28,0.0353,3270,TRUE
2012,0.373,1.68,81200,TRUE
2012,0.169,1.79,362000,TRUE
2012,2.15,0.595,152000,TRUE
2012,0.103,1.91,39500,TRUE
2012,1.08,0.94,42900,TRUE
2012,1.2,0.79,109000,TRUE
2012,2.50011387690351,0.81,460000,TRUE
2012,1.59,0.43,20800,TRUE
2012,0.993,1.15,285000,TRUE
2012,1.18,0.73,78000,TRUE
2012,0.548,1.16,21300,TRUE
2012,0.44,2.71,22700,TRUE
2012,0.41,1.37,2560,TRUE
2012,2.4,0.54,1920,TRUE
2012,1.71,0.196506343942786,20800,TRUE
2012,2.43,0.171,29700,TRUE
2012,0.98,0.932441942294159,106000,TRUE
2012,2.50011387690351,0.00783,256,TRUE
2012,0.0213,1.1,2830,TRUE
2012,0.0357,0,0,TRUE
2012,0.527,1.07,13900,TRUE
2012,0.188,0.184,819,TRUE
2012,0.299,2.21,24000,TRUE
2012,1.85,0.0407,1660,TRUE
2012,0.524,0.246,4120,TRUE
2012,1.63,0.146,4620,TRUE
2012,0.866,0.133,1160,TRUE
2012,0.704,0.316,1230,TRUE
2012,0.0264,0.89,84.2,TRUE
2012,1.05,0.789,15600,TRUE
2012,0.916,1.15,2810,TRUE
2012,1.74,0.0247,1710,TRUE
2012,0.119,1.29,4530,TRUE
2012,0.181,4.88,6860,TRUE
2012,0.585,1.78,1310,TRUE
2012,1.34,0.462,25900,TRUE
2012,1.66,0.339,106000,TRUE
2012,2.15,0.233,3780,TRUE
2012,2.50011387690351,0.152,6110,TRUE
2012,2.15,0.28,8740,TRUE
2012,1.16,0.833,25900,TRUE
2012,1.3,0.305,7870,TRUE
2012,2.2,0.0946,7770,TRUE
2012,0.821,0.922,6050,TRUE
2012,1.97,0.143,21900,TRUE
2012,1.01,0.743,834,TRUE
2012,0.131,0.954,899,TRUE
2012,0.352,1.17,2210,TRUE
2012,0.173,3.91,1030,TRUE
2012,0.562,1.26,390,TRUE
2012,0.822,0.367,1540,TRUE
2012,0.162,0.172,363,TRUE
2012,0.3,1.45,1170,TRUE
2012,0.247,1.73,627,TRUE
2012,0.221,1.14,1690,TRUE
2012,0.128,1.61,396,TRUE
2012,1.64,0.328,2240,TRUE
2012,0.429,4.16,980,TRUE
2012,1.43,3.5,3350,TRUE
2012,1.43,1.28,958,TRUE
2012,1.99,0.382,43400,TRUE
2012,1.42,0.547,86600,TRUE
2012,2.50011387690351,0.123,3700,TRUE
2012,2.50011387690351,0.0412,5400,TRUE
2012,1.96,0.417,1680,TRUE
2012,0.371,2.5,1530,TRUE
2012,1.45,0.643,74.3,TRUE
2012,0.792,1.3,200,TRUE
2012,1.16,1.06,53,TRUE
2012,1.89,0.253,111,TRUE
2012,1.65,0.335,125,TRUE
2012,1.35,1.42,670,TRUE
2012,1.59,1.03,6120,TRUE
2012,0.888,3.35,1370,TRUE
2012,0.793,0.718,260,TRUE
2012,1.4,0.494,1530,TRUE
2012,0.357,0.0767,1140,TRUE
2012,2.4,0.108,2000,TRUE
2012,2.22,0.766,957,TRUE
2012,0.539,0.933,185000,TRUE
2012,0.387,2.68,3950,TRUE
2012,2.50011387690351,0.106891156059291,2380,TRUE
2012,1.29,0.517,149,TRUE
2012,1.77,0.260694108151735,323,TRUE
2012,2.15,0.327,627,TRUE
2012,0.748,1.19,263,TRUE
2012,1.38,0.559,43.2,TRUE
2012,1.92,0.0345,127,TRUE
2012,0.598,0.171,81.8,TRUE
2012,1.11,0.332,183,TRUE
2012,2.50011387690351,0.0741,1080,TRUE
2012,1.38,0.593,51.8,TRUE
2012,2.41,0.253,350,TRUE
2012,1.44,0.0932,171,TRUE
2012,1.76,0.8,899,TRUE
2012,2.19,0.143,871,TRUE
2012,1.17,0.866,286000,TRUE
2012,0.488,0.334,141,TRUE
2012,1.19,0.571,7340,TRUE
2012,1.87,0.0578,66,TRUE
2012,1.35,1.03,1160,TRUE
2012,1.68,0.265,705,TRUE
2012,1.27,0.0187,152,TRUE
2012,0.521,0.312,11.4,TRUE
2012,1.68,0.172,1610,TRUE
2012,1.18,0.00978,15000,TRUE
2012,0.53,1.35,9900,TRUE
2012,0.565,0.876,172000,TRUE
2012,0.143,1.05,3490,TRUE
2012,0.294,1.9,49400,TRUE
2012,1.39,0.591,43000,TRUE
2012,1.22,1.29,29100,TRUE
2012,0.879,0.929,51100,TRUE
2012,0.991,0.825,1770,TRUE
2012,0.658,2.71,2000,TRUE
2012,0.353,2.5,1950,TRUE
2012,1.44,0.83,2450,TRUE
2012,1.5,0.676,258,TRUE
2012,0.721,1.5,441,TRUE
2012,0.207,3.36,296,TRUE
2012,0.915,0.969,641,TRUE
2012,0.84,1.15,507,TRUE
2012,0.45,0.665,101,TRUE
2012,0.714,0.551,630,TRUE
2012,1.64,0.275,412,TRUE
2012,2.19,0.113,400,TRUE
2012,2.49,0.323,450,TRUE
2012,2.21,0.134,2400,TRUE
2012,1.36,0.709,30800,TRUE
2012,1.33,0.576,111,TRUE
2012,0.6,3.41,111,TRUE
2012,1.18,0.772,562,TRUE
2012,0.783,0.075,78,TRUE
2012,1.7,0.222,39,TRUE
2012,2.45,0.182,10,TRUE
2012,0.809,0.0182,0.8,TRUE
2012,2.50011387690351,0.0044,9.2,TRUE
2012,0.813,0.386,976,TRUE
2012,0.515,0.845,310,TRUE
2012,0.468,1.59,1240,TRUE
2012,0.282,1.16,154,TRUE
2012,0.284,2.26,190,TRUE
2012,1.44,0.782,167,TRUE
2012,1.4,0.5,138,TRUE
2012,2.23,0.159,20500,TRUE
2012,0.703,1.09,585,TRUE
2012,0.558,0.7,237,TRUE
2012,0.478,1.53,1670,TRUE
2012,2.50011387690351,1.23,863,TRUE
2012,0.938,0.39,9560,TRUE
2012,2.1,0.0694,1840,TRUE
2012,1.27,0.727,3710,TRUE
2012,0.814,1.55,665,TRUE
2012,0.474,0.775,155,TRUE
2012,0.143,5.04,653,TRUE
2012,0.542,1.28,110,TRUE
2012,1.65,0.389,567,TRUE
2012,1.27,3.63,1920,TRUE
2012,0.992,1.3,186,TRUE
2012,0.899,1.55,189,TRUE
2012,1.53,0.602,1330,TRUE
2012,0.899,1.27,461,TRUE
2012,0.388,0.472,27100,TRUE
2012,1.67,0.68,376,TRUE
2012,2.50011387690351,0.162,768,TRUE
2012,1.39,0.358,49300,TRUE
2012,1.09,1.21,117000,TRUE
2012,1.21,1.38,107000,TRUE
2012,2.34,0.52,1680000,TRUE
2012,0.91,0.81,1520,TRUE
2012,1.37,0.82,507000,TRUE
2012,0.0235,5.75,744000,TRUE
2012,1.97,0.449,91700,TRUE
2012,0.164,3.72,1320,TRUE
2012,2.50011387690351,0.441,81,TRUE
2012,0.68,0.39,13700,TRUE
2012,2.50011387690351,0.124,11300,TRUE
2012,2.50011387690351,0.191,50.3,TRUE
2012,1.22,0,0.4,TRUE
2012,1.59,0.117,11.3,TRUE
2012,1.75,0.389,150000,TRUE
2012,1.77,0,0,TRUE
2012,1.24,0.118,104,TRUE
2012,1.55,0.0749,46,TRUE
2012,0.447,4.77,57.1,TRUE
2012,1.02,1.06,380000,TRUE
2012,2.50011387690351,0.124,2150,TRUE
2012,0.521,1.68,16300,TRUE
2012,0.362,0.857,50400,TRUE
2012,0.537,2.98,1190,TRUE
2012,0.0431,0.572,361,TRUE
