Year,Policy,% Above 0.8 BvBmsy,total_profits,total_catch
2034,BAU (all stocks),14.44939529,1706039868,58072904.5
2034,RBFM,95.14109909,75239735335,58998324.61
2034,Fmsy,64.52365797,58294626183,60736128.65
2035,BAU (conservation concern),32.56948865,40526748881,59080917.24
2035,BAU (all stocks),14.2159983,3992290745,56706974.73
2035,RBFM,95.31084235,75291703821,59434211
2035,Fmsy,64.8843624,58289280922,60952014.39
2036,BAU (conservation concern),31.76320815,40691477396,58923932.99
2036,BAU (all stocks),14.00381922,5984804700,55775448.26
2036,RBFM,95.45936771,75317546290,59932393.96
2036,Fmsy,65.39359219,58277979575,61279866.22
2037,BAU (conservation concern),31.69955442,40935350610,58647514.78
2037,BAU (all stocks),13.74920433,8155012852,54863358.05
2037,RBFM,95.73520051,75370650641,60277579.39
2037,Fmsy,66.05134734,58271893171,61488059.25
2038,BAU (conservation concern),31.19032463,41285055772,58421244.71
2038,BAU (all stocks),13.49458943,10264347252,54238067.6
2038,RBFM,95.92616168,75401919717,60681543.48
2038,Fmsy,66.98493529,58269812055,61786004.79
2039,BAU (conservation concern),30.76596648,41584110393,58162994.67
2039,BAU (all stocks),13.32484617,12172461074,53720304.92
2039,RBFM,96.05346913,75443091777,60978614.95
2039,Fmsy,69.12794398,58271406767,61987784.61
2040,BAU (conservation concern),30.70231275,41828183092,58024748.1
2040,BAU (all stocks),13.133885,13914368575,53428286.76
2040,RBFM,96.09590494,75464132456,61328636.87
2040,Fmsy,70.61319754,58232652941,62245050.44
2041,BAU (conservation concern),30.40526204,42185042986,57820551.7
2041,BAU (all stocks),12.98535964,15671891476,53159244.16
2041,RBFM,96.60513473,75480486842,61601058.53
2041,Fmsy,71.3133885,58220727003,62433156.89
2042,BAU (conservation concern),30.32039041,42536638440,57717728.87
2042,BAU (all stocks),12.8792701,17318347970,53047162.27
2042,RBFM,96.69000637,75462741325,61925091.69
2042,Fmsy,73.30787184,58209163714,62673346.51
2043,BAU (conservation concern),30.21430087,42839669947,57639883.04
2043,BAU (all stocks),12.75196266,18846322582,52951179.62
2043,RBFM,96.85974963,75439581305,62201747.99
2043,Fmsy,76.23594314,58196076294,62850594.67
2044,BAU (conservation concern),30.06577551,43019738418,57704192.92
2044,BAU (all stocks),12.56100149,20129365281,53031383.41
2044,RBFM,97.17801825,75385065370,62520777.41
2044,Fmsy,76.97856991,58183632372,63064979.05
2045,BAU (conservation concern),29.34436665,43249351507,57744621.37
2045,BAU (all stocks),12.58221939,21398762993,53158795.02
2045,RBFM,97.28410779,75309809440,62796094.76
2045,Fmsy,78.8245279,58169808854,63232344.94
2046,BAU (conservation concern),29.34436665,43465054186,57806812.49
2046,BAU (all stocks),12.51856567,22546249045,53388797.16
2046,RBFM,97.30532569,75219160984,63099607.47
2046,Fmsy,79.8854233,58160176464,63426101.15
2047,BAU (conservation concern),29.32314874,43658247273,57848739.72
2047,BAU (all stocks),12.41247613,23597146560,53631428.75
2047,RBFM,97.47506896,75129803438,63366642.22
2047,Fmsy,81.37067685,58156423828,63587109.03
2048,BAU (conservation concern),29.17462338,43792434726,57955777.19
2048,BAU (all stocks),12.26395077,24554010517,53928771.62
2048,RBFM,97.49628687,75045600268,63625398.37
2048,Fmsy,82.74984087,58158945336,63766427.2
2049,BAU (conservation concern),29.02609803,43950363397,58089314.52
2049,BAU (all stocks),12.20029705,25354242778,54242912.09
2049,RBFM,97.53872268,74951160022,63872582.77
2049,Fmsy,83.06810948,58122228456,63908923.58
2050,BAU (conservation concern),28.9412264,44117152453,58184624.16
2050,BAU (all stocks),12.13664333,26129229743,54553801.93
2050,RBFM,97.60237641,74871453691,64092688.53
2050,Fmsy,85.10502864,58112557974,64066266.39
